id,title,mimeType,size_bytes,modifiedTime,parentId,parent_title,local_dir
1yYmrXVAVeqmVnqTZhGO-T8oXw4COL82U,Datos - 79284.txt,text/plain,18362912,2018-06-04T21:42:39Z,1-UPYArMlR1TW4m5xg5NdSArwLoGF1jJ0,TEC-2_Pressure_Data_Flow_and_Build_2018,pressures/TEC-2_Pressure_Data_Flow_and_Build_2018
15w395q4f68ntO_McbUgcTq3zaK5x8RAp,REPORT TECOLUTLA 10-RPFF_REC_SENSORES (03-04-AGOSTO-2018).xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,17581906,2018-09-03T17:29:24Z,1-UPYArMlR1TW4m5xg5NdSArwLoGF1jJ0,TEC-2_Pressure_Data_Flow_and_Build_2018,pressures/TEC-2_Pressure_Data_Flow_and_Build_2018
1EdJ8tOM5QEtOPUHjPHucg_7Exj8G3v9k,REPORT TECOLUTLA 2.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,9968484,2018-06-04T21:42:39Z,1-UPYArMlR1TW4m5xg5NdSArwLoGF1jJ0,TEC-2_Pressure_Data_Flow_and_Build_2018,pressures/TEC-2_Pressure_Data_Flow_and_Build_2018
1IF_ZFReO6XCrVfCsv5Pz2k--NZB8SI0o,PROGRAMA DE TERMINACIÓN TECOLUTLA-12DES VER1.0.pdf,application/pdf,1826395,2021-02-18T20:02:00Z,1050EwgEhR2nWTNRqZkpR9BEjylEwlPSd,Tecolutla-12DES,tec12_regulatory
1eMlvCy-DxgWmr4DNInsyMvBK2da9NqtU,Tecolutla-12DES Perforacion.pdf,application/pdf,5651649,2020-09-10T04:47:51Z,1050EwgEhR2nWTNRqZkpR9BEjylEwlPSd,Tecolutla-12DES,tec12_regulatory
1OKibAUwnsMsurgwqoHjJYyPncfi9fact,Tecolutla10 ReporteFinal V603-18.pdf,application/pdf,7675404,2018-10-09T21:05:23Z,1447LuczmcXdIO1qiT_NIZesLzmfSdC7L,Core,geology/Tecolutla-10 Core and Sample Descriptions/Core
1Xvks9NFussE2WnF2lfSn0-gUROBmkk47,Tecolutla10N1(3)PetrofBasicaV603-18 (1).xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,455635,2018-10-09T21:01:14Z,1447LuczmcXdIO1qiT_NIZesLzmfSdC7L,Core,geology/Tecolutla-10 Core and Sample Descriptions/Core
1Vg2ZEqPzgL4X7oSW5CjOM1s3g0E0A68n,Tecolutla10N1H1T1 2352-25 AL LB.jpg,image/jpeg,1591906,2018-06-14T21:05:49Z,1447LuczmcXdIO1qiT_NIZesLzmfSdC7L,Core,geology/Tecolutla-10 Core and Sample Descriptions/Core
1edEPekRKW0w-T-6Eq9cgsucsW4H2H2za,Tecolutla10N1H1T1 2352-25 AL LUV.jpg,image/jpeg,1509699,2018-06-14T21:05:49Z,1447LuczmcXdIO1qiT_NIZesLzmfSdC7L,Core,geology/Tecolutla-10 Core and Sample Descriptions/Core
1dfGuE9xIGle2XT3vIYszikdDJ9zAvg83,Tecolutla10N1H2T1 2352-70 AL LB.jpg,image/jpeg,1778494,2018-06-14T21:05:49Z,1447LuczmcXdIO1qiT_NIZesLzmfSdC7L,Core,geology/Tecolutla-10 Core and Sample Descriptions/Core
11LP7hd1gtITYU9sVt14DnxDlVMCThREt,Tecolutla10N1H2T1 2352-70 AL LUV.jpg,image/jpeg,1855955,2018-06-14T21:05:49Z,1447LuczmcXdIO1qiT_NIZesLzmfSdC7L,Core,geology/Tecolutla-10 Core and Sample Descriptions/Core
13smF0ytEf_uE3b4RarnC8LkoT3UNp3vi,Tecolutla10N1H3T1 2352-89 AL LB.jpg,image/jpeg,1653623,2018-06-14T21:05:52Z,1447LuczmcXdIO1qiT_NIZesLzmfSdC7L,Core,geology/Tecolutla-10 Core and Sample Descriptions/Core
1YUg7Mkraenwef8mFRrWjs8i5sHkO-G-4,Tecolutla10N1H3T1 2352-89 AL LUV.jpg,image/jpeg,1559653,2018-06-14T21:05:52Z,1447LuczmcXdIO1qiT_NIZesLzmfSdC7L,Core,geology/Tecolutla-10 Core and Sample Descriptions/Core
1R6987RGdPtox481Oe8ekDJ94G0lmMuMs,Tecolutla1N1Petrog1(6LD)2352.15-2352.83 V603-18 EngVr.pdf,application/pdf,2089963,2018-06-14T21:05:49Z,1447LuczmcXdIO1qiT_NIZesLzmfSdC7L,Core,geology/Tecolutla-10 Core and Sample Descriptions/Core
1aFsfmTm6zffHwFTWD8I3u7I6gqi85vqA,Tecolutla1N1Petrog1(6LD)2352.15-2352.83 V603-18.pdf,application/pdf,2111969,2018-06-14T21:05:49Z,1447LuczmcXdIO1qiT_NIZesLzmfSdC7L,Core,geology/Tecolutla-10 Core and Sample Descriptions/Core
1hsHIm4WHGiYDLjAnUGODIJGxKZcIv3Xu,Tonalli_SPA_reviewed_Legal Review_052226 TK comments.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,135210,2026-05-25T16:33:32.845Z,16cOhyEGfJqgqLmViFeJq08-XnYkooZoV,,unsorted/16cOhyEGfJqgqLmViFeJq08-XnYkooZoV
1heo4wxeuT-AYNPaQqm89PTHDFIzC0-BH,FMI.pdf,application/pdf,13768341,2016-10-26T16:49:45Z,17eGWJGkFO6gBFF-LOhNsbdwyxrE8LZ5j,,unsorted/17eGWJGkFO6gBFF-LOhNsbdwyxrE8LZ5j
1qTYFN70GAQ-mWI0sEALq_s8MeN2wPkP7,2021-02-12 Tecolutla YE Reserve Report - Draft.pdf,application/pdf,1021940,2021-02-12T16:58:06Z,18Khse1aIWHA4vKMFN0-r_siVXhdLuHhV,,ye2020_reserves
1Na8SDOPwnGg0pfLCYP5EwO0QjMEyROjV,2021-02-17 Tecolutla YE Reserve Report - Draft (100 ).pdf,application/pdf,1016584,2021-02-18T04:50:38Z,18Khse1aIWHA4vKMFN0-r_siVXhdLuHhV,,ye2020_reserves
1G0dtw977yJTVRZvs1eHj0QBnKpEROcgm,2021-02-17 Tecolutla YE Reserve Report - Draft (50 ).pdf,application/pdf,1022422,2021-02-18T04:50:51Z,18Khse1aIWHA4vKMFN0-r_siVXhdLuHhV,,ye2020_reserves
1TTauC1LC_wTGc057f0TWJqPkLE6kuJn0,2021-02-19 Tecolutla YE Reserve Report - Draft (100 ) Price Sensitivity.pdf,application/pdf,1014783,2021-02-19T22:20:08Z,18Khse1aIWHA4vKMFN0-r_siVXhdLuHhV,,ye2020_reserves
13pIwZ8QEJPq1zoyVdgc4w5LyMGsDTMB-,2021-02-19 Tecolutla YE Reserve Report - Draft (100 ).pdf,application/pdf,1008662,2021-02-19T18:12:30Z,18Khse1aIWHA4vKMFN0-r_siVXhdLuHhV,,ye2020_reserves
1n6m8ZL6UnctU8IA8A_7sBBzNQ_aT1xfW,2021-02-19 Tecolutla YE Reserve Report - Draft (100 ).xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,3729354,2021-02-19T22:21:31Z,18Khse1aIWHA4vKMFN0-r_siVXhdLuHhV,,ye2020_reserves
1xoecTqGNBEp-kOYOYePdFlljjoxzXWj5,2021-02-19 Tecolutla YE Reserve Report - Draft (50 ) Price Sensitivity.pdf,application/pdf,1014392,2021-02-19T22:20:52Z,18Khse1aIWHA4vKMFN0-r_siVXhdLuHhV,,ye2020_reserves
1GL7aTbNWqCkur3Quv-8y7m7TiIH7moom,2021-02-19 Tecolutla Year End Reserve Report - Draft (50 ).pdf,application/pdf,1014388,2021-02-19T18:12:20Z,18Khse1aIWHA4vKMFN0-r_siVXhdLuHhV,,ye2020_reserves
1yPy-o10CkyLTPquQzF21ufk-29wu3IDf,December 31 2020 Form 51-101F1 DRAFT.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,144432,2021-03-22T20:16:00Z,18Khse1aIWHA4vKMFN0-r_siVXhdLuHhV,,ye2020_reserves
1Wn64_JWFPgYgSZMjuIxjHez-DhgpUytb,December 31 2020 Form 51-101F1 FINAL.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,146954,2021-03-23T19:45:55Z,18Khse1aIWHA4vKMFN0-r_siVXhdLuHhV,,ye2020_reserves
1qTRBG8SyM4BXwvgpaWzgJonorj7lbi8p,FP-5 GLJ (2021-01).xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,42711,2021-02-25T19:32:04Z,18Khse1aIWHA4vKMFN0-r_siVXhdLuHhV,,ye2020_reserves
1PPg7NXlnRohuM9FvN5PHSrr6u96RdrGI,Form 51-101F2 (1).pdf,application/pdf,283916,2021-04-19T21:17:51Z,18Khse1aIWHA4vKMFN0-r_siVXhdLuHhV,,ye2020_reserves
1_TB8kzx7qguUwRCJGrPy4jBz6X0-mJyB,Form 51-101F2 (conformed).pdf,application/pdf,335299,2021-04-19T21:17:57Z,18Khse1aIWHA4vKMFN0-r_siVXhdLuHhV,,ye2020_reserves
185DuR0aPpueukLSgYWQ3D56yCTC0NLEm,Form 51-101F2 printable.pdf,application/pdf,297276,2021-02-25T17:23:28Z,18Khse1aIWHA4vKMFN0-r_siVXhdLuHhV,,ye2020_reserves
1FukQmddXwdn4hwf3LXc37-TGnsKep4z6,Form 51-101F2.pdf,application/pdf,348080,2021-02-25T17:23:28Z,18Khse1aIWHA4vKMFN0-r_siVXhdLuHhV,,ye2020_reserves
1niuJ62UCWH4Z48Kh3rwloPLpaMXMfr53,GLJ 2021-02-17 Draft Export_kevin.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,90301,2021-02-19T18:23:12Z,18Khse1aIWHA4vKMFN0-r_siVXhdLuHhV,,ye2020_reserves
1FzY9nRbKgg_wieylzRpUsyLrvwzbatsP,GLJ 2021-02-19 Draft Export_kevin.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,104160,2021-02-19T22:21:35Z,18Khse1aIWHA4vKMFN0-r_siVXhdLuHhV,,ye2020_reserves
1TXnAomMCgB48VO7Sol6KOxwhiNR48XQI,Gross Oil Monthly Forecast by Well (Kevin).xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,203307,2021-03-18T18:01:48Z,18Khse1aIWHA4vKMFN0-r_siVXhdLuHhV,,ye2020_reserves
1jAl8-RV-N7WfvlqKe7tCVm4A7E5jj0xM,Gross Oil Monthly Forecast by Well.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,156228,2021-02-26T20:11:17Z,18Khse1aIWHA4vKMFN0-r_siVXhdLuHhV,,ye2020_reserves
16dxQ5ZUoMy4GoTFKVTNCqJdmIAIldM0K,"IFR December 31, 2020 Managment Rep Letter (GLJ Consultants) MS SH (1).pdf",application/pdf,354955,2021-02-26T16:52:36Z,18Khse1aIWHA4vKMFN0-r_siVXhdLuHhV,,ye2020_reserves
1oyfkBktBuPNFZLEnhix0cIoNmPXApwKX,"IFR December 31, 2020 Managment Rep Letter (GLJ Consultants) MS SH.pdf",application/pdf,354955,2021-02-25T17:40:34Z,18Khse1aIWHA4vKMFN0-r_siVXhdLuHhV,,ye2020_reserves
1U39jg_hRWSMmjZhbMiDsf6G8ts6Hd3vO,International Frontier Dec 31 2019 AIF Final Draft.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,175724,2021-03-16T16:19:22Z,18Khse1aIWHA4vKMFN0-r_siVXhdLuHhV,,ye2020_reserves
1PVGZlIAi7VUgLP9kqG5XsE57S6_OqgPm,International Frontier Dec 31 2020 AIF DRAFT.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,218546,2021-03-18T22:36:15Z,18Khse1aIWHA4vKMFN0-r_siVXhdLuHhV,,ye2020_reserves
1wYTolKn9mZ4zIP52Vcy1kUsjw8YjEN_K,"NI 51-101 Working Copy - Dec 31, 2020.xlsx",application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,101778,2022-04-06T18:57:15Z,18Khse1aIWHA4vKMFN0-r_siVXhdLuHhV,,ye2020_reserves
1aWaFSTnU9jatgRaa8Z8QwwxzsKBaSiZE,PROGRAMA DE PERFORACIÓN TECOLUTLA-12DES VER1.1.pdf,application/pdf,5607995,2021-04-07T22:57:19Z,18Khse1aIWHA4vKMFN0-r_siVXhdLuHhV,,ye2020_reserves
1iRvumVMCvp9_5HzNRGgJuoT-wDsfgkO5,Presentation1.pptx,application/vnd.openxmlformats-officedocument.presentationml.presentation,1055691,2021-02-25T16:59:22Z,18Khse1aIWHA4vKMFN0-r_siVXhdLuHhV,,ye2020_reserves
19Q1gKaqawh_OMv-kNvhsE_q-4ybe4JJq,Securities Tables.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,22576,2021-02-25T19:31:54Z,18Khse1aIWHA4vKMFN0-r_siVXhdLuHhV,,ye2020_reserves
1JaY9tPAe0jRpeZUcAo-udZUDpsLccOCZ,TEC-12 Drilling & Completion Cost Estimate.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,43581,2021-04-07T22:56:43Z,18Khse1aIWHA4vKMFN0-r_siVXhdLuHhV,,ye2020_reserves
19tTqV3GcNluf92mTeOJ7GI2LSsoRGSDu,Tec-12 Drill.pptx,application/vnd.openxmlformats-officedocument.presentationml.presentation,1987901,2021-02-12T17:25:56Z,18Khse1aIWHA4vKMFN0-r_siVXhdLuHhV,,ye2020_reserves
1lICyY42pTUT5X-lDgkDERvcCQjwKDmu9,Tecolutla Work Program - Tec-12 Drill.pdf,application/pdf,14487956,2021-02-18T15:39:06Z,18Khse1aIWHA4vKMFN0-r_siVXhdLuHhV,,ye2020_reserves
1EIJTJ4nyxBiHjsAkHSUp_rnYw7Ig57DF,Tonalli - Management Reservoir Engineer Questions 2020.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,32247,2021-02-24T18:30:48Z,18Khse1aIWHA4vKMFN0-r_siVXhdLuHhV,,ye2020_reserves
1GVgDMB-qGh8LfE3dfzT4aMfBSGgxVgiA,Tonalli - Management Reservoir Engineer Questions 2020.pdf,application/pdf,182679,2021-02-24T18:31:54Z,18Khse1aIWHA4vKMFN0-r_siVXhdLuHhV,,ye2020_reserves
14zn5SCmd08aMt36jRAC7lBjCkllscz6c,YE 2020 Reserves (Tecolutla) - Corporate Summary Detail (Final).pdf,application/pdf,15925842,2021-04-19T20:55:36Z,18Khse1aIWHA4vKMFN0-r_siVXhdLuHhV,,ye2020_reserves
1WBQWnkzW3bG57vde9rfLHl8xojrkZrfR,YE 2020 Reserves (Tecolutla) - Corporate Summary.pdf,application/pdf,3907103,2021-04-19T20:55:59Z,18Khse1aIWHA4vKMFN0-r_siVXhdLuHhV,,ye2020_reserves
1KJpvJdFAyO1pFOzD_HWcjdKVW5YrQyUR,jan21.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,58876,2021-03-03T19:17:06Z,18Khse1aIWHA4vKMFN0-r_siVXhdLuHhV,,ye2020_reserves
1j_mAhx4skd3M1grzi5J5wD6qGvLbt_ml,BLOQUE_TECOLUTLA_5_CALI_500_2559_25_07_1956.LAS,application/octet-stream,359562,2015-01-14T22:48:12Z,18iGLnsuJGHD_iyY-BJbHXUpnMqQUMOav,Tecolutla 5,geology/Tecolutla Well Logs/Tecolutla 5
1CsbmbWw1r12qIfGouTvI2Z0jEL5NLF1W,BLOQUE_TECOLUTLA_5_CALI_502_2558_25_07_1956.TIF,image/tiff,908311,2015-01-14T22:40:18Z,18iGLnsuJGHD_iyY-BJbHXUpnMqQUMOav,Tecolutla 5,geology/Tecolutla Well Logs/Tecolutla 5
1jr9JOqpHGxE4KBE4hb27zYLYnHCyozRx,BLOQUE_TECOLUTLA_5_EL_500_2558_26_07_1956.TIF,image/tiff,519466,2015-01-14T22:40:24Z,18iGLnsuJGHD_iyY-BJbHXUpnMqQUMOav,Tecolutla 5,geology/Tecolutla Well Logs/Tecolutla 5
144UfpBMR5X7Gaip8eC_fPEr8mzxTPgr5,BLOQUE_TECOLUTLA_5_GN_1500_2558_25_07_1956.TIF,image/tiff,1706095,2015-01-14T22:40:30Z,18iGLnsuJGHD_iyY-BJbHXUpnMqQUMOav,Tecolutla 5,geology/Tecolutla Well Logs/Tecolutla 5
1E6EYVSPHILUu4Ti6LnlNvu7z2iKrmPHx,BLOQUE_TECOLUTLA_5_GR_NEUT_1500_2559_25_07_1956.LAS,application/octet-stream,272629,2015-01-14T22:48:12Z,18iGLnsuJGHD_iyY-BJbHXUpnMqQUMOav,Tecolutla 5,geology/Tecolutla Well Logs/Tecolutla 5
15uybxnzDhjGghPuetTRvmvfJqXlh4iUr,BLOQUE_TECOLUTLA_5_SP_SN_LN_INV_500_2342_17_07_1956.LAS,application/octet-stream,758445,2015-01-14T22:48:12Z,18iGLnsuJGHD_iyY-BJbHXUpnMqQUMOav,Tecolutla 5,geology/Tecolutla Well Logs/Tecolutla 5
