day,stage,date,daily_total_usd,cumulative_usd
PS1,"Pad & Cellar construction, Conductor hammering",2020-11-09,61342.0,61342.0
PS2 ,"Pad & Cellar construction, Conductor hammering",2020-11-10,250.0,61592.0
PS3,"Pad & Cellar construction, Conductor hammering",2020-11-11,30000.0,91592.0
PS4,"Pad & Cellar construction, Conductor hammering",2020-11-12,35000.0,126592.0
PS5,"Pad & Cellar construction, Conductor hammering",2020-11-13,36350.0,162942.0
PS6,"Pad & Cellar construction, Conductor hammering",2020-11-14,40175.0,203117.0
1,"12 1/4""",2020-11-15,90140.95,293257.95
2,"12 1/4""",2020-11-16,45745.95,339003.9
3,"12 1/4""",2020-11-17,45745.95,384749.85000000003
4,"12 1/4""",2020-11-21,291085.04,675834.89
5,"8 1/2""",2020-11-22,83416.35714285714,759251.2471428572
6,"8 1/2""",2020-11-23,62416.357142857145,821667.6042857143
7,"8 1/2""",2020-11-24,63416.357142857145,885083.9614285715
8,"8 1/2""",2020-11-27,70428.85714285714,955512.8185714287
9,"8 1/2""",2020-12-03,92666.35714285714,1048179.1757142858
10,"8 1/2""",2020-12-04,67666.35714285714,1115845.5328571429
11,"8 1/2""",2020-12-05,184952.98714285714,1300798.52
12,Completion,2020-12-06,78575.0,1379373.52
13,Completion,2020-12-07,73150.0,1452523.52
14,Completion,2020-12-08,120200.0,1572723.52
