row,code,description,vendor,sum_of_days,sub_cell,sub_formula,sub_cell_B,sub_formula_B,sum_of_days_B,category,usd_2020
11,007,Surveys / Pre-Site Assessment / EFR / Road Repairs,"Jose's Architect, Topographer or Kefren",7500.0,7500.0,=SUM(H11:AA11),7500.0,=SUM(H11:AA11),7500.0,site & civil,7500.0
12,011,Drilling Pad Maintenance,Kefren / Locals through José,5000.0,5000.0,=SUM(H12:AA12),,,5000.0,site & civil,5000.0
13,012,Cellar Construction,Kefren / Locals through José,7500.0,7500.0,=SUM(H13:AA13),7500.0,=SUM(H13:AA13),7500.0,site & civil,7500.0
14,022,Conductor Hammering,VYCSA (As in Tec-11),30000.0,30000.0,=SUM(H14:AA14),30000.0,=SUM(I14:AA14),30000.0,site & civil,30000.0
15,026,Rig move Trucking in/out,Simmons,190000.0,190000.0,=SUM(H15:AA15),190000.0,=SUM(J15:AA15),190000.0,rig & rig move,190000.0
16,038,Drilling Rig,Simmons,203362.5,203362.5,=SUM(H16:AA16),203362.5,=SUM(H16:AA16),203362.5,rig & rig move,203362.5
17,040,Camp / Subsistence (includes potable water),Simmons,28000.0,28000.0,=SUM(H17:AA17),28000.0,=SUM(H17:AA17),28000.0,rig & rig move,28000.0
18,,Campers for Co Man & Guests,ASSA,2800.0,2800.0,=SUM(H18:AA18),2800.0,=SUM(H18:AA18),2800.0,rig & rig move,2800.0
19,,"Special Tools (X-Overs, Jars, Stabilizers, Scrappers, etc )",TIDSA/IGNIS/WFT/HAL/SINOPEC,33000.0,33000.0,=SUM(H19:AA19),33000.0,=SUM(H19:AA19),33000.0,downhole tools & directional,33000.0
20,,Directional Tools,TIDSA/IGNIS/WFT/HAL/SINOPEC,70000.0,70000.0,=SUM(H20:AA20),70000.0,=SUM(H20:AA20),70000.0,downhole tools & directional,70000.0
21,062,Drill bits,Ulterra,23500.0,23500.0,=SUM(H21:AA21),23500.0,=SUM(H21:AA21),23500.0,downhole tools & directional,23500.0
