month,oil_bbl,water_bbl,api,gas_mmcf,origin,destination,source,db_oil_bbl,diff_pct
2020-01,2841.0,8209.882,28.9,1.843,"Pozos Tecolutla 2 y Tecolutla 10 (monthly column is gross oil; filing net total 16,132.29 bbl)",BSB Ezequiel Ordonez PEMEX (truck),Anexo III.8.III Consolidado Anual de Produccion de hidrocarburos 2020.pdf (Drive 17UZUZ-68OHV5EfE3Hl9IJc0MdlhMi55C),2851.63,-0.4
2020-02,2262.189,7321.297,29.9,1.478,"Pozos Tecolutla 2 y Tecolutla 10 (monthly column is gross oil; filing net total 16,132.29 bbl)",BSB Ezequiel Ordonez PEMEX (truck),Anexo III.8.III Consolidado Anual de Produccion de hidrocarburos 2020.pdf (Drive 17UZUZ-68OHV5EfE3Hl9IJc0MdlhMi55C),2208.0,2.5
2020-03,1803.337,4062.555,28.4,0.368,"Pozos Tecolutla 2 y Tecolutla 10 (monthly column is gross oil; filing net total 16,132.29 bbl)",BSB Ezequiel Ordonez PEMEX (truck),Anexo III.8.III Consolidado Anual de Produccion de hidrocarburos 2020.pdf (Drive 17UZUZ-68OHV5EfE3Hl9IJc0MdlhMi55C),1494.3768195932162,20.7
2020-04,0.0,0.0,,0.0,"Pozos Tecolutla 2 y Tecolutla 10 (monthly column is gross oil; filing net total 16,132.29 bbl)",BSB Ezequiel Ordonez PEMEX (truck),Anexo III.8.III Consolidado Anual de Produccion de hidrocarburos 2020.pdf (Drive 17UZUZ-68OHV5EfE3Hl9IJc0MdlhMi55C),,
2020-05,0.0,0.0,,0.0,"Pozos Tecolutla 2 y Tecolutla 10 (monthly column is gross oil; filing net total 16,132.29 bbl)",BSB Ezequiel Ordonez PEMEX (truck),Anexo III.8.III Consolidado Anual de Produccion de hidrocarburos 2020.pdf (Drive 17UZUZ-68OHV5EfE3Hl9IJc0MdlhMi55C),,
2020-06,0.0,0.0,,0.0,"Pozos Tecolutla 2 y Tecolutla 10 (monthly column is gross oil; filing net total 16,132.29 bbl)",BSB Ezequiel Ordonez PEMEX (truck),Anexo III.8.III Consolidado Anual de Produccion de hidrocarburos 2020.pdf (Drive 17UZUZ-68OHV5EfE3Hl9IJc0MdlhMi55C),,
2020-07,1474.22,5616.98,28.1,3.1,"Pozos Tecolutla 2 y Tecolutla 10 (monthly column is gross oil; filing net total 16,132.29 bbl)",BSB Ezequiel Ordonez PEMEX (truck),Anexo III.8.III Consolidado Anual de Produccion de hidrocarburos 2020.pdf (Drive 17UZUZ-68OHV5EfE3Hl9IJc0MdlhMi55C),1333.0,10.6
2020-08,2315.137,7363.497,29.5,7.797,"Pozos Tecolutla 2 y Tecolutla 10 (monthly column is gross oil; filing net total 16,132.29 bbl)",BSB Ezequiel Ordonez PEMEX (truck),Anexo III.8.III Consolidado Anual de Produccion de hidrocarburos 2020.pdf (Drive 17UZUZ-68OHV5EfE3Hl9IJc0MdlhMi55C),2234.0,3.6
2020-09,2426.123,6195.103,29.8,2.87,"Pozos Tecolutla 2 y Tecolutla 10 (monthly column is gross oil; filing net total 16,132.29 bbl)",BSB Ezequiel Ordonez PEMEX (truck),Anexo III.8.III Consolidado Anual de Produccion de hidrocarburos 2020.pdf (Drive 17UZUZ-68OHV5EfE3Hl9IJc0MdlhMi55C),2589.0,-6.3
2020-10,2210.234,2020.419,29.3,1.55,"Pozos Tecolutla 2 y Tecolutla 10 (monthly column is gross oil; filing net total 16,132.29 bbl)",BSB Ezequiel Ordonez PEMEX (truck),Anexo III.8.III Consolidado Anual de Produccion de hidrocarburos 2020.pdf (Drive 17UZUZ-68OHV5EfE3Hl9IJc0MdlhMi55C),2162.0,2.2
2020-11,1898.139,3545.264,29.3,1.5,"Pozos Tecolutla 2 y Tecolutla 10 (monthly column is gross oil; filing net total 16,132.29 bbl)",BSB Ezequiel Ordonez PEMEX (truck),Anexo III.8.III Consolidado Anual de Produccion de hidrocarburos 2020.pdf (Drive 17UZUZ-68OHV5EfE3Hl9IJc0MdlhMi55C),1908.0,-0.5
2020-12,1742.914,3397.277,29.7,1.45,"Pozos Tecolutla 2 y Tecolutla 10 (monthly column is gross oil; filing net total 16,132.29 bbl)",BSB Ezequiel Ordonez PEMEX (truck),Anexo III.8.III Consolidado Anual de Produccion de hidrocarburos 2020.pdf (Drive 17UZUZ-68OHV5EfE3Hl9IJc0MdlhMi55C),1811.761648591,-3.8
2021-01,2091.136,5155.174,30.4,1.55,Pozo Tecolutla 10,BSB Ezequiel Ordonez PEMEX (truck),Anexo III.8.III Consolidado Anual de Produccion 2021.pdf (Drive 1YS4wmTuUVcqnpGveGFqbhQRUZ5q3mmx7),2051.032415166,2.0
2021-02,2132.241,6713.451,29.1,1.4,Pozo Tecolutla 10,BSB Ezequiel Ordonez PEMEX (truck),Anexo III.8.III Consolidado Anual de Produccion 2021.pdf (Drive 1YS4wmTuUVcqnpGveGFqbhQRUZ5q3mmx7),2335.23323734,-8.7
2021-03,2112.845,6489.609,28.8,1.55,Pozo Tecolutla 10,BSB Ezequiel Ordonez PEMEX (truck),Anexo III.8.III Consolidado Anual de Produccion 2021.pdf (Drive 1YS4wmTuUVcqnpGveGFqbhQRUZ5q3mmx7),2224.162420265,-5.0
2021-04,1513.008,5430.433,28.4,1.5,Pozo Tecolutla 10,BSB Ezequiel Ordonez PEMEX (truck),Anexo III.8.III Consolidado Anual de Produccion 2021.pdf (Drive 1YS4wmTuUVcqnpGveGFqbhQRUZ5q3mmx7),1614.87103137,-6.3
2021-05,1435.0,4964.415,29.9,0.93,Pozo Tecolutla 10,BSB Ezequiel Ordonez PEMEX (truck),Anexo III.8.III Consolidado Anual de Produccion 2021.pdf (Drive 1YS4wmTuUVcqnpGveGFqbhQRUZ5q3mmx7),1462.161377923,-1.9
2021-06,1416.0,7189.66,29.0,0.9,Pozo Tecolutla 10,BSB Ezequiel Ordonez PEMEX (truck),Anexo III.8.III Consolidado Anual de Produccion 2021.pdf (Drive 1YS4wmTuUVcqnpGveGFqbhQRUZ5q3mmx7),1456.615823325,-2.8
2021-07,1247.0,7358.66,29.6,0.93,Pozo Tecolutla 10,BSB Ezequiel Ordonez PEMEX (truck),Anexo III.8.III Consolidado Anual de Produccion 2021.pdf (Drive 1YS4wmTuUVcqnpGveGFqbhQRUZ5q3mmx7),1268.400731376,-1.7
2021-08,727.0,4634.5,29.2,0.84,Pozo Tecolutla 10,BSB Ezequiel Ordonez PEMEX (truck),Anexo III.8.III Consolidado Anual de Produccion 2021.pdf (Drive 1YS4wmTuUVcqnpGveGFqbhQRUZ5q3mmx7),730.040495622,-0.4
2021-09,1465.0,6525.923,29.6,1.672,Pozo Tecolutla 10,BSB Ezequiel Ordonez PEMEX (truck),Anexo III.8.III Consolidado Anual de Produccion 2021.pdf (Drive 1YS4wmTuUVcqnpGveGFqbhQRUZ5q3mmx7),1469.731808692,-0.3
2021-10,948.592,6761.75,29.2,1.466,Pozo Tecolutla 10,BSB Ezequiel Ordonez PEMEX (truck),Anexo III.8.III Consolidado Anual de Produccion 2021.pdf (Drive 1YS4wmTuUVcqnpGveGFqbhQRUZ5q3mmx7),929.109602765,2.1
2021-11,1252.408,6150.923,29.5,1.157,Pozo Tecolutla 10,BSB Ezequiel Ordonez PEMEX (truck),Anexo III.8.III Consolidado Anual de Produccion 2021.pdf (Drive 1YS4wmTuUVcqnpGveGFqbhQRUZ5q3mmx7),1308.04905825,-4.3
2021-12,1062.0,6452.595,28.7,1.05,Pozo Tecolutla 10,BSB Ezequiel Ordonez PEMEX (truck),Anexo III.8.III Consolidado Anual de Produccion 2021.pdf (Drive 1YS4wmTuUVcqnpGveGFqbhQRUZ5q3mmx7),1121.29314,-5.3
2022-07,0.0,0.0,,0.0,"field (reported net monthly production, Informe Mensual obligacion 4.1)",CAB Poza Rica 100 %,"Tabla Informe Mensual de actividades e inversiones, Nov 2022 (Drive 1wDcqX4kqn-QhdLG81zcSpsLd_MFS0gLl)",,
2022-08,189.0,2218.0,,0.3,"field (reported net monthly production, Informe Mensual obligacion 4.1)",CAB Poza Rica 100 %,"Tabla Informe Mensual de actividades e inversiones, Nov 2022 (Drive 1wDcqX4kqn-QhdLG81zcSpsLd_MFS0gLl)",,
2022-09,49.0,511.0,,0.3,"field (reported net monthly production, Informe Mensual obligacion 4.1)",CAB Poza Rica 100 %,"Tabla Informe Mensual de actividades e inversiones, Nov 2022 (Drive 1wDcqX4kqn-QhdLG81zcSpsLd_MFS0gLl)",,
2022-10,0.0,0.0,,0.0,"field (reported net monthly production, Informe Mensual obligacion 4.1)",CAB Poza Rica 100 %,"Tabla Informe Mensual de actividades e inversiones, Nov 2022 (Drive 1wDcqX4kqn-QhdLG81zcSpsLd_MFS0gLl)",,
2022-11,678.0,1582.0,30.9,0.9,"TECOLUTLA-10DES, 15 producing days; gross 2260 bbl; 1.6 % S; salt 48.8 lb/Mbbl; gas flared (approved)","CAB Poza Rica, 916 bbl delivered to PEMEX in 4 truck days",Anexo I. Formatos mensuales Tonalli Nov-22.zip / CNH_DGM_VHP.xlsx (Drive 1z3aNg5UAOlPMqLBlId4WeAthavWKvuLi),916.0181071408356,-26.0
