# Extract of Drive file 1f0kuqLIQdhVw1b0BctZhFNd75AJ-63Pb "Oil Price History and Forecast - 5-4-2023.csv" (Kevin Gunning, 4 May 2023): monthly history columns for CADUSD, Brent, WTI and LLS (USD/bbl). Only 2018-01 to 2023-05 history is kept here; the forward curve and forecast columns are omitted.
month,cadusd,brent_usd_bbl,wti_usd_bbl,lls_usd_bbl
2018-01,0.8047,69.02,63.66,68.57
2018-02,0.7946,65.75,62.18,64.89
2018-03,0.7733,66.82,62.77,65.56
2018-04,0.7855,71.89,66.33,69.21
2018-05,0.7768,77.24,69.89,74.36
2018-06,0.7618,75.85,67.32,74.95
2018-07,0.7616,75.14,70.74,73.05
2018-08,0.7668,73.88,67.67,71.76
2018-09,0.7671,78.99,70.07,76.87
2018-10,0.7687,80.46,70.76,78.91
2018-11,0.7576,66.31,56.64,64.60
2018-12,0.7446,57.25,48.68,55.29
2019-01,0.7519,60.03,51.38,57.54
2019-02,0.7573,64.41,55.01,62.49
2019-03,0.7481,66.96,58.17,66.05
2019-04,0.7475,71.60,63.89,70.37
2019-05,0.7430,70.38,60.77,68.71
2019-06,0.7527,63.34,54.71,62.05
2019-07,0.7633,64.29,57.55,62.42
2019-08,0.7532,59.65,54.83,58.99
2019-09,0.7553,62.40,56.97,60.27
2019-10,0.7582,59.82,54.01,57.19
2019-11,0.7554,62.70,57.12,61.13
2019-12,0.7592,65.33,59.86,63.71
2020-01,0.7642,63.91,57.73,61.56
2020-02,0.7527,55.90,50.62,54.21
2020-03,0.7173,34.19,30.45,31.44
2020-04,0.7114,27.02,17.08,14.98
2020-05,0.7159,32.03,28.14,32.35
2020-06,0.7380,40.72,38.31,39.69
2020-07,0.7409,43.21,40.76,42.28
2020-08,0.7563,44.88,42.39,43.95
2020-09,0.7560,41.88,39.60,41.04
2020-10,0.7568,41.56,39.55,40.75
2020-11,0.7652,43.73,41.55,42.83
2020-12,0.7808,50.35,47.14,48.95
2021-01,0.7859,55.05,51.94,54.10
2021-02,0.7875,62.24,59.08,61.05
2021-03,0.7953,65.92,62.36,64.57
2021-04,0.8003,65.18,61.59,63.63
2021-05,0.8247,68.46,65.42,67.18
2021-06,0.8185,73.41,71.35,73.26
2021-07,0.7982,74.29,72.43,73.11
2021-08,0.7935,70.51,67.71,68.42
2021-09,0.7892,74.88,71.54,73.19
2021-10,0.8041,83.75,81.22,82.37
2021-11,0.7956,80.85,78.65,79.47
2021-12,0.7816,74.80,71.69,73.37
2022-01,0.7927,85.57,82.98,85.01
2022-02,0.7864,94.10,91.63,93.84
2022-03,0.7901,112.46,108.26,110.80
2022-04,0.7920,105.92,101.64,103.35
2022-05,0.7781,111.96,109.26,111.13
2022-06,0.7805,117.50,114.34,115.79
2022-07,0.7727,105.12,99.38,101.17
2022-08,0.7739,97.74,91.48,94.09
2022-09,0.7511,90.57,83.80,86.12
2022-10,0.7300,93.59,87.03,89.71
2022-11,0.7436,90.85,84.39,87.50
2022-12,0.7357,81.34,76.52,77.78
2023-01,0.7451,84.00,78.16,80.12
2023-02,0.7435,83.54,76.86,80.45
2023-03,0.7309,79.21,73.37,76.14
2023-04,0.7416,83.37,79.44,81.42
2023-05,0.7357,75.65,71.97,73.77
