Additional Royalties:,,,,,,,
,ADJUSTMENT FACTOR,ADJUSTMENT FACTOR,,,,,
,oil + condensate,gas (associated + non-associated),,,,,
"UP1 or UG1 applicable range min (mbbl/d, mmcf/d)",30.0,80.0,,,,,
"UP2 or UG2 applicable range min (mbbl/d, mmcf/d)",120.0,240.0,,,,,
"RP or RG (volume weighted avg calc'd royalty for streams for trailing 3 months, %)",0.2,0.1,<example,,,,
Mp or MG max royalty (%),0.2,0.2,,,,,
"QPt or QGt actual average production for trailing 3 months (mbbl/d, mmcf/d)",60.0,90.0,,,,,
"ARG,t adjustment factor (%)",0,0.00625,,,,,
Total adjusted royalty (%),0.2,0.10625,,,,,
,,,,,,,
Annex 3: Contractual Fee,,,,,,,
block fees:,,,,,,,
,from (month),to (month),pesos/km2 (per mth),,,,
,0.0,60.0,1150.0,,,,
,61.0,end of contract term,2750.0,,,,
,,,,,,,
,,,,,,,
,surface lease holder fees:,,,,,,
,type,min,max,,,,
,"oil, cond, associated gas",0.005,0.02,,,,
,non associated gas,0.005,0.03,,,,
,,,,,,,
,,,,,,,
Annex 3:,,,,,,,
,Commodity,API (from),API (to),LLSt factor,Brent factor,S factor,Constant
,Oil,0.0,21.0,0.481,0.508,-3.678,n/a
,Oil,21.0,31.1,0.198,0.814,-2.522,n/a
,Oil,31.1,39.0,0.167,0.84,-1.814,n/a
,Oil,39.0,100.0,0.08,0.92,0.0,n/a
,Condensate,,,,0.905,n/a,6.282
,,,,,,,
LLSt = Louisiana Light Sweet,,,,,,,
Brent = Brent Crude,,,,,,,
S = sulphur (i.e. 3% = 3.00),,,,,,,
section 1.4.c = adjustment required if commercial price 50% different than formula price,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,(kg/m3 *ideal gas),(kg/m3 *liq in air),GJ/e3m3,,,
,C2,1.2718,356.6,65.6159850308,,,
,C3,1.865,506.7,93.2234051,,,
,C4,2.4582,572.6,120.69,,,
