,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Updated: 2023-10-24,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Tecolutla field operations (USD/month),,,,Tecolutla field operations (USD/month),,
,,,,,,,,,,,,,USD per month,Tec 10,"Tec 10 & 
Tec-12 Drill",,USD per month,Tec 10,"Tec 10 & 
Tec-12 Drill"
,,,,,,,,,,,,,WTI PER BARREL,80.00000000000001,80.00000000000001,,WTI PER BARREL,85.0,85.0
,,,,,,,,,,,,,NET REALIZED PRICE PER BARREL,72.00000000000001,72.00000000000003,,NET REALIZED PRICE PER BARREL,76.5,76.5
,,,,,,,,,,,,,"ROYALTY, FEES AD TAXED PER BARREL",-32.2328291244236,-31.4936437886689,,"ROYALTY, FEES AD TAXED PER BARREL",-34.6543488744236,-33.9151635386689
,,,,,,,,,,,,,OPERATING COSTS PER BARREL,-18.929548187776,-11.7624787437881,,OPERATING COSTS PER BARREL,-18.929548187776,-11.7624787437881
,,,,,,,,,,,,,OPERATING NETBACK PER BARREL,=O12+O13+O14,=P12+P13+P14,,OPERATING NETBACK PER BARREL,=S12+S13+S14,=T12+T13+T14
,,,,,,,,,,,,,"% ROYALTY, FEES AND TAXES",0.4476781822836612,0.43741171928706807,,"% ROYALTY, FEES AND TAXES",0.45299802450226917,0.4433354710937112
,,,,,,,,,,,,,Revenue,162709.85360353842,535269.9057057445,,Revenue,172879.21945375955,568724.2748123533
,,,,,,,,,,,,,Royalties,72841.6515008727,234133.3297373765,,Royalties,78313.94489004734,252135.64429636393
,,,,,,,,,,,,,Operating Costs,42778.11131130769,87445.84566740644,,Operating Costs,42778.11131130769,87445.84566740644
,,,,,,,,,,,,,Net Operating Income,47090.09079135802,213690.73030096153,,Net Operating Income,51787.16325240452,229142.78484858293
