,,,,,,,,,,,
,,,,,,,,,,,
,Ptbg (psi),Oil (bbl/d),Gas (mcf/d),Wat (bbl/d),gor (scf/bbl),oil cut (%),TF (bbl/d),Month,,Month,Oil (bbl/d)
2018-09-20 00:00:00,153.33333333333334,2.4,20.958333333333332,57.599999999999994,8732.638888888889,0.04,59.99999999999999,1.0,,1.0,"=SUMIF(I:I,K4,C:C)/30"
2018-09-21 00:00:00,464.1666666666667,56.77,226.16666666666666,174.58,3983.911690446832,0.2453857791225416,231.35000000000002,1.0,,2.0,"=SUMIF(I:I,K5,C:C)/30"
2018-09-22 00:00:00,502.7916666666667,78.62249999999999,241.375,177.50749999999996,3070.0499220960924,0.30696326084410264,256.12999999999994,1.0,,3.0,"=SUMIF(I:I,K6,C:C)/30"
2018-09-23 00:00:00,591.7083333333334,109.81729999999999,218.70833333333334,182.8427,1991.5653848103475,0.37523850201599124,292.65999999999997,1.0,,4.0,"=SUMIF(I:I,K7,C:C)/30"
2018-09-24 00:00:00,613.125,125.61,207.58333333333334,192.17999999999998,1652.6019690576654,0.3952610214292458,317.78999999999996,1.0,,5.0,"=SUMIF(I:I,K8,C:C)/30"
2018-09-25 00:00:00,631.5,118.30999999999999,206.75,180.16000000000005,1747.5276815146651,0.3963882467249639,298.47,1.0,,6.0,"=SUMIF(I:I,K9,C:C)/30"
2018-09-26 00:00:00,640.125,116.64,207.63016874999997,178.76999999999998,1780.0940393518515,0.3948410683456891,295.40999999999997,1.0,,7.0,"=SUMIF(I:I,K10,C:C)/30"
2018-09-27 00:00:00,656.25,117.19999999999999,194.6650125,178.59,1660.9642704778157,0.3962270529767741,295.78999999999996,1.0,,8.0,"=SUMIF(I:I,K11,C:C)/30"
2018-09-28 00:00:00,812.5,123.66000000000001,196.6739177083333,192.13,1590.4408677691517,0.39158934735108775,315.79,1.0,,9.0,"=SUMIF(I:I,K12,C:C)/30"
2018-09-29 00:00:00,962.5,129.01000000000002,238.7695077083334,194.25999999999996,1850.7829447975612,0.3990781699508152,323.27,1.0,,10.0,"=SUMIF(I:I,K13,C:C)/30"
2018-09-30 00:00:00,1017.0833333333334,132.07,259.27533750000003,186.11999999999998,1963.1660293783602,0.41506646971935013,318.18999999999994,1.0,,11.0,"=SUMIF(I:I,K14,C:C)/30"
2018-10-01 00:00:00,1028.3333333333333,134.60999999999999,253.3280750000001,189.22,1881.9409776391064,0.41568106722663123,323.83,1.0,,12.0,"=SUMIF(I:I,K15,C:C)/30"
2018-10-02 00:00:00,1053.3333333333333,146.17000000000002,266.2349,162.77,1821.405897242936,0.47313394186573443,308.94000000000005,1.0,,13.0,"=SUMIF(I:I,K16,C:C)/30"
2018-10-03 00:00:00,1044.5833333333333,150.08,278.635575,153.48999999999998,1856.580323827292,0.49438350298119055,303.57,1.0,,14.0,"=SUMIF(I:I,K17,C:C)/30"
2018-10-04 00:00:00,1038.3333333333333,158.58,295.66800000000006,171.84,1864.4721906923953,0.4799346286544398,330.42,1.0,,,
2018-10-05 00:00:00,1051.6666666666667,149.03,293.88692499999996,161.10999999999999,1971.9984231362812,0.4805249242277681,310.14,1.0,,,
