year,days,oil_bbl,water_bbl,revenue_usd,royalties_usd,opex_usd,netback_usd,capital_usd,noi_btax_usd,tax_usd,noi_atax_usd,disc_noi_btax_usd,econ_months,tec10_oil_bpd,tec12_oil_bpd,oil_bpd,wcut,royalty_pct_rev,opex_per_bbl
2024,366,27118.308933,44064.491067,2074550.6335,-939767.33868,-513337.33573,621445.95902,-55512.02076,565933.93824,-186433.78772,379500.15054999996,541710.64966,12,74.28859558916666,0.0,74.09374025409836,0.6190328431446923,0.45299802449001064,18.929548188210397
2025,365,23340.944806,47841.855194,1785582.2778,-812876.85467,-498227.87922,474477.5438,-57139.044,417338.49979,-142343.26316,274995.23664,361632.7093,12,63.94078678166667,0.0,63.947793989041095,0.6720985293357384,0.4552446923205008,21.34566031328458
2026,365,20089.737373,51093.062627,1536864.909,-703661.20292,-485223.04948,347980.65655,-43822.74512,304157.9114,-104394.196968,199763.714463,238678.91926,12,55.03434520166667,0.0,55.04037636438356,0.7177725887012031,0.4578549479523577,24.15278211312633
2027,365,17291.397202,53891.402798,1322791.8857,-609658.42037,-474029.68880999996,239103.7767,0.0,239103.7767,-71731.133008,167372.64368,170098.69455000001,12,47.368499892500004,0.0,47.37369096438356,0.7570846159184522,0.46088763240891717,27.414192345033378
2028,366,12554.776391,46764.223609,960440.39388,-446944.26377,-411525.85557,101970.27452,0.0,101970.27452,-38127.082356,63843.192165,67039.287824,12,34.39287856166667,0.0,34.30266773497267,0.7883515165292739,0.4653534634923346,32.77842971898774
2029,365,0.0,0.0,0.0,-7200.0,-150560.0,-157760.0,0.0,-38960.0,0.0,-38960.0,-23481.078862000002,3,0.0,0.0,0.0,,inf,inf
2030,365,0.0,0.0,0.0,-7200.0,-151200.0,-158400.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,inf,inf
2031,365,0.0,0.0,0.0,-7200.0,-151200.0,-158400.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,inf,inf
2032,366,0.0,0.0,0.0,-7200.0,-151200.0,-158400.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,inf,inf
2033,365,0.0,0.0,0.0,-7200.0,-151200.0,-158400.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,inf,inf
2034,365,0.0,0.0,0.0,-7200.0,-151200.0,-158400.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,inf,inf
2035,365,0.0,0.0,0.0,-7200.0,-151200.0,-158400.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,inf,inf
2036,366,0.0,0.0,0.0,-7200.0,-151200.0,-158400.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,inf,inf
2037,365,0.0,0.0,0.0,-7200.0,-151200.0,-158400.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,inf,inf
2038,365,0.0,0.0,0.0,-7200.0,-151200.0,-158400.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,inf,inf
2039,365,0.0,0.0,0.0,-7200.0,-151200.0,-158400.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,inf,inf
2040,366,0.0,0.0,0.0,-7200.0,-151200.0,-158400.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,inf,inf
2041,365,0.0,0.0,0.0,-7200.0,-151200.0,-158400.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,inf,inf
2042,365,0.0,0.0,0.0,-7200.0,-151200.0,-158400.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,inf,inf
2043,365,0.0,0.0,0.0,-7200.0,-151200.0,-158400.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,inf,inf
2044,366,0.0,0.0,0.0,-7200.0,-151200.0,-158400.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,inf,inf
2045,365,0.0,0.0,0.0,-7200.0,-151200.0,-158400.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,inf,inf
