year,days,oil_bbl,water_bbl,revenue_usd,royalties_usd,opex_usd,netback_usd,capital_usd,noi_btax_usd,tax_usd,noi_atax_usd,disc_noi_btax_usd,econ_months,tec10_oil_bpd,tec12_oil_bpd,oil_bpd,wcut,royalty_pct_rev,opex_per_bbl
2024,366,89211.650952,61244.824189,6824691.2977,-3025627.7315,-1049350.14803,2749713.4183,-1832291.853212,917421.5650000001,-689914.02543,227507.53959999996,817043.4073000001,12,74.28859558916666,170.10010413333333,243.7476801967213,0.4070600758897517,0.4433354710885856,11.762478743887376
2025,365,56137.530160999995,73441.004203,4294521.0572999995,-1914590.7614,-849200.35734,1530729.9388000001,-20974.105376,1509755.8333,-324218.9816,1185536.85171,1310191.99788,12,63.94078678166667,89.84381261166668,153.8014524958904,0.5667682889258212,0.4458217193150099,15.127141413320649
2026,365,44747.661232,82221.792012,3423196.0843,-1531978.4602,-795161.36797,1096056.25617,-16111.241552,1079945.0145999999,-193816.87683,886128.13778,847797.87456,12,55.03434520166667,67.54855320083333,122.59633214246576,0.647571442668124,0.4475286902863089,17.76989782432167
2027,365,37685.059833,89402.05418,2882907.0771,-1294729.1828,-767293.35988,820884.53472,-13220.95902,807663.5757,-111265.36042,696398.21528,573854.14607,12,47.368499892500004,55.86692590916667,103.24673926849314,0.7034706458977019,0.4491054162253491,20.36067776673921
2028,366,30232.197289,85991.25162,2312763.0924,-1044370.12178,-697174.9981,571217.97269,-10284.432604,560933.54007,-45668.75723,515264.78285,362094.29952,12,34.39287856166667,48.425983175,82.60163193715847,0.739878677041575,0.45156813735566687,23.060679031545863
2029,365,15760.818944999999,42496.650944,1205702.6491,-558242.72165,-432940.05290999997,214519.87461,-5023.955896,209495.91873,0.0,209495.91873,122018.93888,12,0.0,43.17559430083333,43.180325876712324,0.7294626942256566,0.46300198649036867,27.469388134006003
2030,365,14319.302147,45440.623923,1095426.61435,-509818.80547,-432696.96832,152910.84055,-4533.924652,148376.91591,0.0,148376.91591,78238.66252700001,12,0.0,39.2266659775,39.23096478630137,0.7603862138278579,0.4654066267803018,30.21774133110622
2031,365,13186.516155,48134.15683,1008768.48597,-471765.87811,-433238.25183,103764.35604,-4151.874428,99612.481612,0.0,99612.481612,47573.993677,12,0.0,36.12348278666666,36.12744152054794,0.7849580653130531,0.467665162692275,32.854640811684504
2032,366,12267.355598099999,50627.666441,938452.70322,-440889.128,-434678.24402,62885.331208,-3843.7906084,59041.540599,0.0,59041.540599,25559.524418,12,0.0,33.60551062416667,33.517365022131145,0.8049550632087584,0.4698043135122635,35.43373635368686
2033,365,11503.059528,52956.852832,879984.0539,-415214.63782,-436706.95328,28062.462805,-3588.8823872,24473.5804167,0.0,24473.5804167,9637.9134538,12,0.0,31.511778239166663,31.515231583561643,0.8215470808623359,0.4718433657744261,37.96441739843181
2034,365,10855.1439994,55148.06235,830418.51596,-393449.64186,-439130.99664,-2162.12252205,-3373.652444,-4294.2362991400005,0.0,-4294.2362991400005,-1463.5194370499999,11,0.0,29.736861713333337,29.74012054630137,0.8355361110498736,0.4737968076315772,40.45372375200848
2035,365,10297.2326287,57221.378155,787738.29609,-374708.09575,-441824.41557,-28794.215227,-3188.9172096,-3188.9172096,0.0,0.0,0.0,0,0.0,28.208504899999998,28.211596243013698,0.8474904547179174,0.4756758654617817,42.90710247125681
2036,366,9814.8754763,59219.579925,750837.97392,-358504.59234,-444821.48196999996,-52488.100371,-3029.6038944,-3029.6038944,0.0,0.0,0.0,0,0.0,26.887123265,26.816599662021858,0.8578264227732986,0.47747264362284075,45.32115389992581
2037,365,9445.9068512,61496.169408,722611.8741,-346110.07442,-449545.37526,-73043.575539,-2907.9252308,-2907.9252308,0.0,0.0,0.0,0,0.0,25.876361086666666,25.87919685260274,0.8668504313760479,0.47897092038665134,47.591552864285354
2038,365,9107.1215032,63629.354145,696694.795,-334729.48325,-454022.03187,-92056.720122,-2796.269348,-2796.269348,0.0,0.0,0.0,0,0.0,24.948283759166667,24.9510178169863,0.8747929230548941,0.48045354386492867,49.853516471748925
2039,365,8780.4986883,65530.503288,671708.14966,-323757.46001,-457832.75117,-109882.061508,-2688.6601824,-2688.6601824,0.0,0.0,0.0,0,0.0,24.053524786666667,24.056160789863014,0.8818412017765503,0.4819912638753557,52.14199869764361
2040,366,8465.6013463,67213.530102,647618.503,-313179.32274,-461019.58258,-126580.402337,-2584.9343496,-2584.9343496,0.0,0.0,0.0,0,0.0,23.19088687916667,23.130058323224045,0.8881382332977321,0.4835861256113616,54.4579839897014
2041,365,8162.008137299999,68691.647255,624393.62252,-302980.91775,-463622.41255999997,-142209.7078,-2484.9324296,-2484.9324296,0.0,0.0,0.0,0,0.0,22.359215804166666,22.36166612958904,0.8937980490890515,0.48524025041638735,56.80249330324323
2042,365,7869.3128767,69977.399256,602002.43508,-293148.60028,-465679.06594,-156825.23116,-2388.4983076,-2388.4983076,0.0,0.0,0.0,0,0.0,21.557398850833334,21.559761306027397,0.8989127137022085,0.4869558380458105,59.17658545751999
2043,365,7587.123989199999,71082.693423,580414.9851899999,-283669.21644,-467225.40255,-170479.63379,-2295.4783732,-2295.4783732,0.0,0.0,0.0,0,0.0,20.78436332833333,20.786641066301367,0.903557371317562,0.4887351699700523,61.58135852466346
2044,366,7315.0639823,72018.829513,559602.39463,-274530.08533,-468295.40979,-183223.10048,-2205.7205204,-2205.7205204,0.0,0.0,0.0,0,0.0,20.039075120833335,19.98651361284153,0.9077939622018758,0.49058061217110194,64.01795130201427
2045,365,7052.7689406,72796.528044,539536.82395,-265718.98223,-468921.29095,-195103.44924,-2119.0728496,-2119.0728496,0.0,0.0,0.0,0,0.0,19.3205373125,19.32265463178082,0.9116740008123024,0.4924946184111147,66.48754480677876
2046,365,6799.888035,73425.957339,520191.43468,-257224.12193999998,-469133.54962,-206166.23685,-2035.3819272,-2035.3819272,0.0,0.0,0.0,0,0.0,18.627788831666667,18.629830232876714,0.9152406808142687,0.4944797334047484,68.99136385853741
2047,365,6556.0830544,73916.75941299999,501540.35366,-249034.14318,-468961.07024000003,-216454.85975,-1954.4903576,-1954.4903576,0.0,0.0,0.0,0,0.0,17.959903172500002,17.96187138191781,0.9185304898723329,0.4965385962718029,71.53067866113518
2048,366,6321.0279485,74278.074676,483558.63805,-241138.09313,-468431.19533,-226010.65039999998,-1876.2332776,-1876.2332776,0.0,0.0,0.0,0,0.0,17.31598714833333,17.270568165300546,0.9215744624608441,0.4986739438724829,74.10680654262258
2049,365,6094.4083924999995,74518.565548,466222.24204,-233525.41294,-467569.79888,-234872.96977,-1800.4330648,-1800.4330648,0.0,0.0,0.0,0,0.0,16.695179686666666,16.697009294520548,0.924399161889273,0.5008886146619416,76.72111364499439
