date,revenue_calc,royalties_calc,opex_calc,netback_calc,noi_calc
2024-01-01,185010.463548,-83640.96222100001,-43412.42473,57957.07659699999,44079.071406999996
2024-02-01,182712.22668000002,-82631.77077999999,-43292.25548,56788.20042000003,56788.20042000003
2024-03-01,180442.5389235,-81635.115714,-43173.579,55633.84420949999,55633.84420949999
2024-04-01,178201.04570100002,-80650.841305,-43056.37674,54493.82765600003,40615.82246600003
2024-05-01,175987.3967955,-79678.7937365,-42940.63039,53367.97266900002,53367.97266900002
2024-06-01,173801.246274,-78718.8211506,-42826.32186,52256.103263400015,52256.103263400015
2024-07-01,171642.2524875,-77770.7735215,-42713.433300000004,51158.04566599999,37280.040475999995
2024-08-01,169510.0781475,-76834.5027379,-42601.94706,50073.6283496,50073.6283496
2024-09-01,167404.390173,-75909.86249249999,-42491.84573,49002.6819505,49002.6819505
2024-10-01,165324.859461,-74996.70832120001,-42383.112089999995,47945.039049799976,34067.03385979998
2024-11-01,163271.1610395,-74094.8975229,-42275.72917,46900.5343466,46900.5343466
2024-12-01,161242.974144,-73204.2891999,-42169.680179999996,45869.00476410001,45869.00476410001
2025-01-01,159239.9817585,-72324.7441865,-42064.94855,44850.28902200001,30565.528022000013
2025-02-01,157261.8709215,-71456.1250796,-41961.51792,43844.227921900005,43844.227921900005
2025-03-01,155308.332573,-70598.2961082,-41859.37213,42850.66433479999,42850.66433479999
2025-04-01,153379.061478,-69751.1232628,-41758.49521,41869.44300519999,27584.68200519999
2025-05-01,151473.75615,-68914.4741856,-41658.8714,40900.410564399994,40900.410564399994
2025-06-01,149592.11892749998,-68088.2181099,-41560.485140000004,39943.41567759997,39943.41567759997
2025-07-01,147733.855821,-67272.2259601,-41463.32106,38998.308800900006,24713.547800900007
2025-08-01,145898.67636,-66466.370221,-41367.36396,38064.942179000005,38064.942179000005
2025-09-01,144086.293899,-65670.52499810001,-41272.59886,37143.170040900004,37143.170040900004
2025-10-01,142296.425235,-64884.5659071,-41179.01096,36232.848367900006,21948.087367900007
2025-11-01,140528.7906075,-64108.370163399995,-41086.58562,35333.83482410002,35333.83482410002
2025-12-01,138783.113928,-63341.8164822,-40995.30841,34445.98903580001,34445.98903580001
2026-01-01,137059.1223975,-62584.7850782,-40905.16506,33569.1722593,22613.4859793
2026-02-01,135356.5466595,-61837.1576652,-40816.14149,32703.24750429998,32703.24750429998
2026-03-01,133675.120647,-61098.817445999994,-40728.223790000004,31848.079411,31848.079411
2026-04-01,132014.58165900002,-60369.6490122,-40641.39822,31003.534426800004,20047.848146800003
2026-05-01,130374.670131,-59649.53847380001,-40555.65122,30169.480437199993,30169.480437199993
2026-06-01,128755.1300175,-58938.373279,-40470.969379999995,29345.787358500005,29345.787358500005
2026-07-01,127155.7081035,-58236.0423241,-40387.33947,28532.326309400007,17576.640029400005
2026-08-01,125576.15454,-57542.435873400005,-40304.748439999996,27728.97022660001,27728.97022660001
2026-09-01,124016.2224615,-56857.44552840001,-40223.183359999995,26935.59357309999,26935.59357309999
2026-10-01,122475.6682155,-56180.9642782,-40142.63151,26152.0724273,15196.386147300002
2026-11-01,120954.25105650001,-55512.886419200004,-40063.080279999995,25378.284357300014,25378.284357300014
2026-12-01,119451.733146,-54853.1075443,-39984.51726,24614.108341699997,24614.108341699997
2027-01-01,117967.87993499999,-54201.5245737,-39906.93016,23859.425201299986,23859.425201299986
2027-02-01,116502.459399,-53558.03570359999,-39830.30686,23114.11683540001,23114.11683540001
2027-03-01,115055.24257350001,-52922.540376900004,-39754.6354,22378.06679660001,22378.06679660001
2027-04-01,113626.00340100001,-52294.939292300005,-39679.903940000004,21651.1601687,21651.1601687
2027-05-01,112214.5185015,-51675.1344047,-39606.10081,20933.283286799997,20933.283286799997
2027-06-01,110820.567402,-51063.0288646,-39533.21447,20224.324067400004,20224.324067400004
2027-07-01,109443.9322305,-50458.5270078,-39461.233550000004,19524.171672699988,19524.171672699988
2027-08-01,108084.39786900001,-49861.5343959,-39390.146779999995,18832.71669310001,18832.71669310001
2027-09-01,106741.751877,-49271.957755300005,-39319.94307,18149.851051699996,18149.851051699996
2027-10-01,105415.784568,-48689.704937300005,-39250.61145,17475.4681807,17475.4681807
2027-11-01,104106.288627,-48114.6849883,-39182.14107,16809.4625687,16809.4625687
2027-12-01,102813.05956950001,-47546.8080489,-39114.521250000005,16151.730270600005,16151.730270600005
2028-01-01,101535.89520599999,-46985.9853843,-39047.74142,15502.168401699986,15502.168401699986
2028-02-01,100274.59610099999,-46432.129384,-38981.79113,14860.67558699999,14860.67558699999
2028-03-01,99028.96503749999,-45885.1534914,-38916.6601,14227.15144609999,14227.15144609999
2028-04-01,97798.807476,-45344.9722437,-38852.33814,13601.4970923,13601.4970923
2028-05-01,96583.931172,-44811.501222,-38788.81519,12983.614759999997,12983.614759999997
2028-06-01,95384.146329,-44284.6571009,-38726.081340000004,12373.407888099988,12373.407888099988
2028-07-01,94199.2654455,-43764.357528199995,-38664.126789999995,11770.781127300012,11770.781127300012
2028-08-01,93029.103315,-43250.521225000004,-38602.94184,11175.640249999997,11175.640249999997
2028-09-01,91873.47725550001,-42743.0679054,-38542.516950000005,10587.892400100005,10587.892400100005
2028-10-01,90732.206574,-42241.9182665,-38482.84267,10007.4456375,10007.4456375
2028-11-01,0.0,-600.0,-11960.0,-12560.0,-12560.0
2028-12-01,0.0,-600.0,-11960.0,-12560.0,-12560.0
2029-01-01,0.0,-600.0,-11960.0,-12560.0,-12560.0
2029-02-01,0.0,-600.0,-12600.0,-13200.0,-13200.0
2029-03-01,0.0,-600.0,-12600.0,-13200.0,-13200.0
2029-04-01,0.0,-600.0,-12600.0,-13200.0,-13200.0
2029-05-01,0.0,-600.0,-12600.0,-13200.0,-13200.0
2029-06-01,0.0,-600.0,-12600.0,-13200.0,-13200.0
2029-07-01,0.0,-600.0,-12600.0,-13200.0,-13200.0
2029-08-01,0.0,-600.0,-12600.0,-13200.0,-13200.0
2029-09-01,0.0,-600.0,-12600.0,-13200.0,-13200.0
2029-10-01,0.0,-600.0,-12600.0,-13200.0,-13200.0
2029-11-01,0.0,-600.0,-12600.0,-13200.0,-13200.0
