date,revenue_calc,royalties_calc,opex_calc,netback_calc,noi_calc
2024-01-01,883501.961625,-390359.405664,-115076.77895,378065.77701099997,-1430007.185989
2024-02-01,756260.4832515,-334485.70025800006,-103552.16253,318222.6204634999,318222.6204634999
2024-03-01,675403.7637285,-298980.261373,-96354.11264,280069.3897155,280069.3897155
2024-04-01,618184.3240305,-273854.318578,-91349.66122,252980.3442325,244907.3808285
2024-05-01,574873.7794155,-254835.98705700002,-87629.35392,232408.43843849996,232408.43843849996
2024-06-01,540540.643293,-239759.77480400002,-84733.54514,216047.3233489999,216047.3233489999
2024-07-01,512389.93729050003,-227398.36349,-82402.49799999999,202589.07580050002,194516.11239650002
2024-08-01,488706.65595,-216998.667589,-80477.31025000001,191230.67811099996,191230.67811099996
2024-09-01,468373.8434265,-208070.21442,-78854.79942,181448.82958649998,181448.82958649998
2024-10-01,450629.43953850004,-200278.37163,-77464.77825,172886.28965850003,164813.32625450002
2024-11-01,434933.757747,-193386.15453499998,-76257.69013,165289.91308200004,165289.91308200004
2024-12-01,420892.7085315,-187220.51215,-75197.45756000001,158474.7388215,158474.7388215
2025-01-01,408211.054065,-181651.80113699997,-74257.13518,152302.11774800002,147058.591404
2025-02-01,396662.7496995,-176580.76170799998,-73416.15626,146665.8317315,146665.8317315
2025-03-01,386071.45911,-171929.961772,-72658.52674999999,141482.970588,141482.970588
2025-04-01,376297.367607,-167638.006756,-71971.60508000001,136687.755771,131444.22942699998
2025-05-01,367228.023174,-163655.516975,-71345.25606,132227.25013899995,132227.25013899995
2025-06-01,358771.831137,-159942.272029,-70771.25089,128058.30821799999,128058.30821799999
2025-07-01,350853.3394695,-156465.139605,-70242.83306,124145.3668045,118901.8404605
2025-08-01,343409.76186749997,-153196.54933600003,-69754.39879,120458.81374149994,120458.81374149994
2025-09-01,336388.37231249997,-150113.34827400002,-69301.25787,116973.76616849995,116973.76616849995
2025-10-01,329744.5241805,-147195.931552,-68879.45219000001,113669.1404385,108425.61409450001
2025-11-01,323440.12513799994,-144427.572309,-68485.61631,110526.93651899994,110526.93651899994
2025-12-01,317442.449556,-141793.89996799998,-68116.8689,107531.68068800002,107531.68068800002
2026-01-01,311723.20214999997,-139282.48978200002,-67770.72751,104669.98485799995,100642.17446999995
2026-02-01,306257.7743235,-136882.53569,-67445.04079,101930.1978435,101930.1978435
2026-03-01,301024.64655,-134584.58819500002,-67137.93427,99302.12408499999,99302.12408499999
2026-04-01,296004.9055815,-132380.342123,-66847.76651,96776.79694849996,92748.98656049996
2026-05-01,291181.84993799997,-130262.463611,-66573.09339,94346.29293699999,94346.29293699999
2026-06-01,286540.6660065,-128224.447843,-66312.63887,92003.57929350002,92003.57929350002
2026-07-01,282068.1608265,-126260.501475,-66065.27084,89742.38851149999,85714.57812349999
2026-08-01,277752.5384805,-124365.444817,-65829.98097,87557.11269349998,87557.11269349998
2026-09-01,273583.2142755,-122534.62991999999,-65605.868,85442.7163555,85442.7163555
2026-10-01,269550.6570765,-120763.871558,-65392.12364,83394.66187850002,79366.85149050002
2026-11-01,265646.2569615,-119049.388959,-65188.02061,81408.84739249997,81408.84739249997
2026-12-01,261862.212078,-117387.756172,-64992.90257,79481.55333600001,79481.55333600001
2027-01-01,258191.431947,-115775.85972799998,-64806.17552,77609.39669900003,74304.15694400003
2027-02-01,254627.45514900002,-114210.862287,-64627.30037,75789.29249200002,75789.29249200002
2027-03-01,251164.3776435,-112690.17127199999,-64455.78665,74018.41972149999,74018.41972149999
2027-04-01,247796.7913395,-111211.41192099999,-64291.18696,72294.19245850001,68988.9527035
2027-05-01,244519.7303925,-109772.403673,-64133.0923,70614.23441950002,70614.23441950002
2027-06-01,241328.6248455,-108371.13976399999,-63981.1279,68976.3571815,68976.3571815
2027-07-01,238219.259625,-107005.76931599999,-63834.94962,67378.54068900002,64073.30093400001
2027-08-01,235187.7391215,-105674.581666,-63694.2408,65818.9166555,65818.9166555
2027-09-01,232230.4555185,-104375.992586,-63558.70951,64295.75342250001,64295.75342250001
2027-10-01,229344.0610995,-103108.532068,-63428.08611,62807.44292149999,59502.20316649999
2027-11-01,226525.444074,-101870.83364299999,-63302.12106,61352.48937100001,61352.48937100001
2027-12-01,223771.70646900003,-100661.62477299999,-63180.58308,59929.49861600004,59929.49861600004
2028-01-01,221080.14500400002,-99479.718432,-63063.25743,58537.16914200003,55966.06099100003
2028-02-01,218448.233955,-98324.00545899999,-62949.94437,57174.28412600001,57174.28412600001
2028-03-01,215873.60939549998,-97193.447934,-62840.45791,55839.70355149999,55839.70355149999
2028-04-01,213354.0560385,-96087.072984,-62734.62451,54532.35854450001,51961.25039350001
2028-05-01,210887.4942315,-95003.967479,-62632.28209,53251.244662499994,53251.244662499994
2028-06-01,208471.969476,-93943.273103,-62533.27902,51995.417353,51995.417353
2028-07-01,206105.64179400002,-92904.181954,-62437.47326,50763.986580000026,48192.878429000026
2028-08-01,203786.7772365,-91885.93257599999,-62344.7316,49556.11306050001,49556.11306050001
2028-09-01,201513.7393155,-90887.80639999999,-62254.92894,48371.0039755,48371.0039755
2028-10-01,199284.981966,-89909.124495,-62167.94766,47207.909811,44636.80166
2028-11-01,107493.9293295,-49602.2505267,-35619.76736,22271.911442799996,22271.911442799996
2028-12-01,106462.5148665,-49149.340447899995,-35596.30395,21716.870468600006,21716.870468600006
2029-01-01,105457.3923825,-48707.9755663,-35574.625400000004,21174.791416199987,19918.802442199987
2029-02-01,104477.486823,-48277.6838818,-36194.647710000005,20005.15523119999,20005.15523119999
2029-03-01,103521.7834155,-47858.0196839,-36176.291840000005,19487.4718916,19487.4718916
2029-04-01,102589.3227735,-47448.56177829999,-36159.48334,18981.277655200007,17725.288681200007
2029-05-01,101679.19776000001,-47048.9117648,-36144.15206,18486.133935200007,18486.133935200007
2029-06-01,100790.5493565,-46658.6924672,-36130.23178,18001.625109300003,18001.625109300003
2029-07-01,99922.563756,-46277.546524699996,-36117.66,17527.357231300004,16271.368257300004
2029-08-01,99074.469303,-45905.1351157,-36106.37767,17062.9565173,17062.9565173
2029-09-01,98245.53373950001,-45541.1366613,-36096.32893,16608.068148200007,16608.068148200007
2029-10-01,97435.061604,-45185.2457915,-36087.460940000004,16162.3548725,14906.3658985
2029-11-01,96642.392013,-44837.1722919,-36079.72364,15725.496081100006,15725.496081100006
2029-12-01,95866.896366,-44496.6401415,-36073.0696,15297.186624499998,15297.186624499998
2030-01-01,95107.97650949999,-44163.38665090001,-36067.45384,14877.13601859998,13743.65485559998
2030-02-01,94365.0626715,-43837.1616725,-36062.833679999996,14465.067319000002,14465.067319000002
2030-03-01,93637.6119315,-43517.7267905,-36059.16857,14060.716570999997,14060.716570999997
2030-04-01,92925.106614,-43204.8546616,-36056.42001,13663.8319424,12530.3507794
2030-05-01,92227.0527585,-42898.3283673,-36054.55139,13274.173001199997,13274.173001199997
2030-06-01,91542.97858950001,-42597.9408252,-36053.52786,12891.509904300008,12891.509904300008
2030-07-01,90872.433675,-42303.494142899995,-36053.31629,12515.623242099995,11382.142079099995
2030-08-01,90214.9872435,-42014.7992303,-36053.885089999996,12146.302923200004,12146.302923200004
2030-09-01,89570.227419,-41731.6752136,-36055.20417,11783.348035400006,11783.348035400006
2030-10-01,88937.76007349999,-41453.9489898,-36057.24485,11426.566233699981,10293.08507069998
2030-11-01,88317.207756,-41181.4548507,-36059.979770000005,11075.773135299998,11075.773135299998
2030-12-01,87708.20900399999,-40914.034068299996,-36063.3828,10730.792135699994,10730.792135699994
2031-01-01,87110.41734900001,-40651.5344695,-36067.429019999996,10391.453859500012,9353.485252500011
2031-02-01,86523.500475,-40393.810172,-36072.09459,10057.595712999995,10057.595712999995
2031-03-01,85947.13968299999,-40140.7212199,-36077.35675,9729.061713099989,9729.061713099989
2031-04-01,85381.02904950001,-39892.133260099996,-36083.193719999996,9405.702069400017,8367.733462400016
2031-05-01,84824.874738,-39647.917298,-36089.58469,9087.372749999995,9087.372749999995
2031-06-01,84278.3946165,-39407.9493948,-36096.509699999995,8773.935521699997,8773.935521699997
2031-07-01,83741.3173395,-39172.1104435,-36103.94967,8465.257226000002,7427.288619000002
2031-08-01,83213.3821185,-38940.2858964,-36111.88633,8161.2098921,8161.2098921
2031-09-01,82694.33803350001,-38712.3655921,-36120.30216,7861.670281400009,7861.670281400009
2031-10-01,82183.94357399999,-38488.2434835,-36129.180349999995,7566.519740499993,6528.551133499993
2031-11-01,81681.9664095,-38267.8175156,-36138.504799999995,7275.6440939000095,7275.6440939000095
2031-12-01,81188.18247150001,-38050.989356,-36148.26005,6988.933065500016,6988.933065500016
2032-01-01,80702.3762595,-37837.6642895,-36158.43129,6706.2806800000035,5745.333027900004
2032-02-01,80224.339617,-37627.7510051,-36169.00426,6427.584351900005,6427.584351900005
2032-03-01,79753.8721905,-37421.1614801,-36179.96529,6152.745420399995,6152.745420399995
2032-04-01,79290.7806645,-37217.8107797,-36191.30124,5881.668644799996,4920.720992699997
2032-05-01,78834.878226,-37017.616980700004,-36202.99948,5614.261765299998,5614.261765299998
2032-06-01,78385.98494699999,-36820.5009848,-36215.047869999995,5350.436092199998,5350.436092199998
2032-07-01,77943.9268665,-36626.3864086,-36227.43473,5090.105727899994,4129.158075799995
2032-08-01,77508.53591400001,-36435.1994982,-36240.14884,4833.187575800002,4833.187575800002
2032-09-01,77079.649833,-36246.868965,-36253.179359999995,4579.601508000007,4579.601508000007
2032-10-01,76657.1116455,-36061.325913,-36266.5159,4329.269832500002,3368.322180400002
2032-11-01,76240.76973615,-35878.503722,-36280.148440000004,4082.1175741499974,4082.1175741499974
2032-12-01,75830.477355,-35698.3379795,-36294.06732,3838.0720554999934,3838.0720554999934
2033-01-01,75426.0925563,-35520.7663394,-36308.26323,3597.0629869000113,2699.8423901000115
2033-02-01,75027.4779537,-35345.7284984,-36322.72722,3359.022235299999,3359.022235299999
2033-03-01,74634.50058255,-35173.1660391,-36337.450639999995,3123.883903450005,3123.883903450005
2033-04-01,74247.03166275,-35003.0224369,-36352.425149999995,2891.5840758500053,1994.3634790500055
2033-05-01,73864.9464687,-34835.2429042,-36367.64271,2662.0608544999996,2662.0608544999996
2033-06-01,73488.12415335,-34669.7743814,-36383.09558,2435.25419195,2435.25419195
2033-07-01,73116.44760284999,-34506.5654459,-36398.776249999995,2211.105906949997,1313.8853101499972
2033-08-01,72749.80326825,-34345.5662364,-36414.67751,1989.559521850002,1989.559521850002
2033-09-01,72388.08106605,-34186.7284133,-36430.792369999996,1770.5602827500043,1770.5602827500043
2033-10-01,72031.17421755,-34030.0050815,-36447.1141,1554.0550360499983,656.8344392499984
2033-11-01,71678.9791188,-33875.3507542,-36463.636190000005,1339.992174599989,1339.992174599989
2033-12-01,71331.39524115,-33722.721282700004,-36480.35233,1128.3216284500013,1128.3216284500013
2034-01-01,70988.3250012,-33572.0738323,-36497.256460000004,918.9947089000052,75.58159790000525
2034-02-01,70649.67366135,-33423.3667771,-36514.3427,711.9641842499987,711.9641842499987
2034-03-01,70315.34919975,-33276.559721900005,-36531.60536,507.184117849989,507.184117849989
2034-04-01,69985.26225675001,-33131.6134323,-36549.03894,304.6098844500084,-538.8032265499916
2034-05-01,69659.32598955,-32988.4897574,-36566.63812,104.19811214999208,104.19811214999208
2034-06-01,69337.45601865,-32847.1516691,-36584.397769999996,-94.09342044999357,-94.09342044999357
2034-07-01,69019.57030545,-32707.563125599998,-36602.312900000004,-290.3057201499978,-1133.7188311499976
2034-08-01,68705.589114,-32569.6891151,-36620.37869,-484.4786910999974,-484.4786910999974
2034-09-01,68395.43488095,-32433.4955853,-36638.59048,-676.6511843500048,-676.6511843500048
2034-10-01,68089.0321773,-32298.949402800004,-36656.94375,-866.8609754999998,-1710.2740864999996
2034-11-01,67786.3076013,-32166.0183527,-36675.434120000005,-1055.1448714000144,-1055.1448714000144
2034-12-01,67487.18974785,-32034.671070499997,-36694.05735,-1241.53867265,-1241.53867265
2035-01-01,67191.6091167,-31904.8770364,-36712.809330000004,-1426.077249700007,-2223.306552100007
2035-02-01,66899.49803595,-31776.606533100003,-36731.6861,-1608.794597149994,-1608.794597149994
2035-03-01,66610.7906238,-31649.8306273,-36750.68378,-1789.723783500005,-1789.723783500005
2035-04-01,66325.42272735,-31524.521157500003,-36769.798630000005,-1968.897060150004,-2766.126362550004
2035-05-01,66043.3318461,-31400.6506826,-36789.02704,-2146.345876499996,-2146.345876499996
2035-06-01,65764.4570937,-31278.192464699998,-36808.36549,-2322.100860999999,-2322.100860999999
2035-07-01,65488.73915205,-31157.120433599997,-36827.81056,-2496.1918415499968,-3293.421143949997
2035-08-01,65216.12018715,-31037.4092209,-36847.35895,-2668.647983750001,-2668.647983750001
2035-09-01,64946.5438338,-30919.0340741,-36867.007450000005,-2839.497690300006,-2839.497690300006
2035-10-01,64679.95515735,-30801.9708489,-36886.75294,-3008.768631549996,-3805.997933949996
2035-11-01,64416.30055425,-30686.1960228,-36906.5924,-3176.4878685499934,-3176.4878685499934
2035-12-01,64155.527767349995,-30571.6866546,-36926.522899999996,-3342.681787249996,-3342.681787249996
2036-01-01,63897.58581705,-30458.4203425,-36946.541580000005,-3507.3761054500064,-4264.777079050006
2036-02-01,63642.424963050005,-30346.375255599996,-36966.645690000005,-3670.595982549996,-3670.595982549996
2036-03-01,63389.99667375,-30235.530082100002,-36986.83253,-3832.3659383500053,-3832.3659383500053
2036-04-01,63140.25356505,-30125.864011600002,-37007.09951,-3992.709956550003,-4750.110930150003
2036-05-01,62893.1494233,-30017.356755,-37027.44408,-4151.651411700004,-4151.651411700004
2036-06-01,62549.5127238,-29866.4605523,-37013.13658,-4330.084408499999,-4330.084408499999
2036-07-01,62359.407653400005,-29782.982472,-37051.71598,-4475.2907985999955,-5232.691772199995
2036-08-01,62169.88093065,-29699.7583534,-37089.85866,-4619.7360827500015,-4619.7360827500015
2036-09-01,61980.930811349994,-29616.787424500002,-37127.56692,-4763.423533150006,-4763.423533150006
2036-10-01,61792.555536,-29534.068921399998,-37164.843049999996,-4906.356435399994,-5663.7574089999935
2036-11-01,61604.7533451,-29451.602063100003,-37201.68934,-5048.538058000002,-5048.538058000002
2036-12-01,61417.52249445,-29369.3860967,-37238.108049999995,-5189.971652249995,-5189.971652249995
2037-01-01,61230.86125515,-29287.4202514,-37274.10145,-5330.660446250004,-6057.6417539500035
2037-02-01,61044.767883,-29205.7037684,-37309.671780000004,-5470.607665400003,-5470.607665400003
2037-03-01,60859.24064910001,-29124.235886899998,-37344.82129,-5609.816527799991,-5609.816527799991
2037-04-01,60674.2778322,-29043.0158481,-37379.5522,-5748.290215899997,-6475.271523599997
2037-05-01,60489.877718699994,-28962.0428952,-37413.86675,-5886.031926500007,-5886.031926500007
2037-06-01,60306.0385797,-28881.3162896,-37447.76715,-6023.044859900001,-6023.044859900001
2037-07-01,60122.758724549996,-28800.8352546,-37481.25558,-6159.33211005,-6886.31341775
2037-08-01,59940.03643965,-28720.599074399997,-37514.33426,-6294.89689475,-6294.89689475
2037-09-01,59757.8700267,-28640.6069736,-37547.005359999996,-6429.742306899992,-6429.742306899992
2037-10-01,59576.2578027,-28560.858226599998,-37579.271049999996,-6563.871473899995,-7290.852781599995
2037-11-01,59395.1980617,-28481.3520996,-37611.13351,-6697.2875478999995,-6697.2875478999995
2037-12-01,59214.68914365,-28402.0878303,-37642.594880000004,-6829.993566650002,-6829.993566650002
2038-01-01,59034.729357899996,-28323.0646932,-37673.657309999995,-6961.992645300001,-7661.059982300001
2038-02-01,58855.3170291,-28244.281968600004,-37704.32294,-7093.287879500003,-7093.287879500003
2038-03-01,58676.4504972,-28165.7389033,-37734.5939,-7223.8823061,-7223.8823061
2038-04-01,58498.128102149996,-28087.4347668,-37764.472290000005,-7353.77895465001,-8052.84629165001
2038-05-01,58320.34817625,-28009.368849600003,-37793.96024,-7482.980913350002,-7482.980913350002
2038-06-01,58143.1090824,-27931.5404205,-37823.05984,-7611.491178100005,-7611.491178100005
2038-07-01,57966.40916055001,-27853.9487421,-37851.77319,-7739.312771549994,-8438.380108549994
2038-08-01,57790.24678125,-27776.5931051,-37880.10235,-7866.448673849998,-7866.448673849998
2038-09-01,57614.6202921,-27699.4728023,-37908.04941,-7992.901920199998,-7992.901920199998
2038-10-01,57439.528078949996,-27622.5870953,-37935.61642,-8118.675436350004,-8817.742773350004
2038-11-01,57264.96849705,-27545.935279,-37962.80545,-8243.772231949999,-8243.772231949999
2038-12-01,57090.9399399,-27469.516638200002,-37989.61853,-8368.1952283,-8368.1952283
2039-01-01,56917.44077805,-27393.3304657,-38016.057700000005,-8491.947387650009,-9164.11243325001
2039-02-01,56744.46941265,-27317.3760574,-38042.12499,-8615.031634749994,-8615.031634749994
2039-03-01,56572.0242219,-27241.6527002,-38067.82241,-8737.450888300002,-8737.450888300002
2039-04-01,56400.1036146,-27166.1597,-38093.15199,-8859.208075400002,-9531.373121000002
2039-05-01,56228.70598425,-27090.8963448,-38118.115699999995,-8980.306060549992,-8980.306060549992
2039-06-01,56057.8297473,-27015.861941400002,-38142.71556,-9100.7477541,-9100.7477541
2039-07-01,55887.47331255,-26941.0557891,-38166.95354,-9220.536016550002,-9892.701062150003
2039-08-01,55717.63509645,-26866.477197700002,-38190.83161,-9339.673711250001,-9339.673711250001
2039-09-01,55548.3135231,-26792.125465299996,-38214.35174,-9458.163682199996,-9458.163682199996
2039-10-01,55379.5070166,-26717.999913,-38237.515889999995,-9576.008786399994,-10248.173831999995
2039-11-01,55211.2140087,-26644.099842,-38260.326010000004,-9693.211843300003,-9693.211843300003
2039-12-01,55043.4329388,-26570.424573300003,-38282.784029999995,-9809.7756645,-9809.7756645
