Sensitivities,,,,,,,,,,Water (Mbbl),"=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!L$4,'Model (Tec-10)'!$K$409:$PT$409)/1000","=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!M$4,'Model (Tec-10)'!$K$409:$PT$409)/1000","=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!N$4,'Model (Tec-10)'!$K$409:$PT$409)/1000","=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!O$4,'Model (Tec-10)'!$K$409:$PT$409)/1000","=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!P$4,'Model (Tec-10)'!$K$409:$PT$409)/1000","=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!Q$4,'Model (Tec-10)'!$K$409:$PT$409)/1000","=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!R$4,'Model (Tec-10)'!$K$409:$PT$409)/1000","=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!S$4,'Model (Tec-10)'!$K$409:$PT$409)/1000","=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!T$4,'Model (Tec-10)'!$K$409:$PT$409)/1000","=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!U$4,'Model (Tec-10)'!$K$409:$PT$409)/1000",=SUM(L1:P1),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,WCUT (%),=L1/(L1+L5),=M1/(M1+M5),=N1/(N1+N5),=O1/(O1+O5),=P1/(P1+P5),=Q1/(Q1+Q5),=R1/(R1+R5),=S1/(S1+S5),=T1/(T1+T5),=U1/(U1+U5),=V1/(V1+V5),,,,,,,,,,,,,,,,,,,,,,,,,,,
Bid Royalty,0.3122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Opex,0.0,,,,,,,,,Year>,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,"=L4&""-""&P4",,,,,,,,,,,,,,,,,,,,,,,,,,,
Capital,0.0,,,,,,,,,Oil (Mbbl),"=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!L$4,'Model (Tec-10)'!$K$403:$PT$403)/1000","=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!M$4,'Model (Tec-10)'!$K$403:$PT$403)/1000","=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!N$4,'Model (Tec-10)'!$K$403:$PT$403)/1000","=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!O$4,'Model (Tec-10)'!$K$403:$PT$403)/1000","=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!P$4,'Model (Tec-10)'!$K$403:$PT$403)/1000","=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!Q$4,'Model (Tec-10)'!$K$403:$PT$403)/1000","=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!R$4,'Model (Tec-10)'!$K$403:$PT$403)/1000","=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!S$4,'Model (Tec-10)'!$K$403:$PT$403)/1000","=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!T$4,'Model (Tec-10)'!$K$403:$PT$403)/1000","=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!U$4,'Model (Tec-10)'!$K$403:$PT$403)/1000",=SUM(L5:P5),,,,,,,,,,,,,,,,,,,,,,,,,,,
Overall Rate,0.0,,,,,,,,,Gas (MMcf),"=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!L$4,'Model (Tec-10)'!$K$404:$PT$404)/1000","=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!M$4,'Model (Tec-10)'!$K$404:$PT$404)/1000","=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!N$4,'Model (Tec-10)'!$K$404:$PT$404)/1000","=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!O$4,'Model (Tec-10)'!$K$404:$PT$404)/1000","=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!P$4,'Model (Tec-10)'!$K$404:$PT$404)/1000","=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!Q$4,'Model (Tec-10)'!$K$404:$PT$404)/1000","=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!R$4,'Model (Tec-10)'!$K$404:$PT$404)/1000","=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!S$4,'Model (Tec-10)'!$K$404:$PT$404)/1000","=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!T$4,'Model (Tec-10)'!$K$404:$PT$404)/1000","=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!U$4,'Model (Tec-10)'!$K$404:$PT$404)/1000",=SUM(L6:P6),,,,,,,,,,,,,,,,,,,,,,,,,,,
Commodity Price,0.0,,,,,,,,,NGL + Cond (Mbbl),"=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!L$4,'Model (Tec-10)'!$K$406:$PT$406)/1000+SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!L$4,'Model (Tec-10)'!$K$407:$PT$407)/1000","=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!M$4,'Model (Tec-10)'!$K$406:$PT$406)/1000+SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!M$4,'Model (Tec-10)'!$K$407:$PT$407)/1000","=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!N$4,'Model (Tec-10)'!$K$406:$PT$406)/1000+SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!N$4,'Model (Tec-10)'!$K$407:$PT$407)/1000","=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!O$4,'Model (Tec-10)'!$K$406:$PT$406)/1000+SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!O$4,'Model (Tec-10)'!$K$407:$PT$407)/1000","=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!P$4,'Model (Tec-10)'!$K$406:$PT$406)/1000+SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!P$4,'Model (Tec-10)'!$K$407:$PT$407)/1000","=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!Q$4,'Model (Tec-10)'!$K$406:$PT$406)/1000+SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!Q$4,'Model (Tec-10)'!$K$407:$PT$407)/1000","=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!R$4,'Model (Tec-10)'!$K$406:$PT$406)/1000+SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!R$4,'Model (Tec-10)'!$K$407:$PT$407)/1000","=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!S$4,'Model (Tec-10)'!$K$406:$PT$406)/1000+SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!S$4,'Model (Tec-10)'!$K$407:$PT$407)/1000","=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!T$4,'Model (Tec-10)'!$K$406:$PT$406)/1000+SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!T$4,'Model (Tec-10)'!$K$407:$PT$407)/1000","=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!U$4,'Model (Tec-10)'!$K$406:$PT$406)/1000+SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!U$4,'Model (Tec-10)'!$K$407:$PT$407)/1000",=SUM(L7:P7),,,,,,,,,,,,,,,,,,,,,,,,,,,
Initial Rate,0.0,,,,,,,,,Prod (Mboe),"=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!L$4,'Model (Tec-10)'!$K$408:$PT$408)/1000","=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!M$4,'Model (Tec-10)'!$K$408:$PT$408)/1000","=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!N$4,'Model (Tec-10)'!$K$408:$PT$408)/1000","=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!O$4,'Model (Tec-10)'!$K$408:$PT$408)/1000","=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!P$4,'Model (Tec-10)'!$K$408:$PT$408)/1000","=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!Q$4,'Model (Tec-10)'!$K$408:$PT$408)/1000","=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!R$4,'Model (Tec-10)'!$K$408:$PT$408)/1000","=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!S$4,'Model (Tec-10)'!$K$408:$PT$408)/1000","=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!T$4,'Model (Tec-10)'!$K$408:$PT$408)/1000","=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!U$4,'Model (Tec-10)'!$K$408:$PT$408)/1000",=SUM(L8:P8),,,,,,,,,,,,,,,,,,,,,,,,,,,
Base Royalty,0.0,,,,,,,,,Prod (boe/d),=L8/365*1000,=M8/365*1000,=N8/365*1000,=O8/365*1000,=P8/365*1000,=Q8/365*1000,=R8/365*1000,=S8/365*1000,=T8/365*1000,=U8/365*1000,=AVERAGE(L9:P9),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Oil Revenue (M$),"=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!L$4,'Model (Tec-10)'!$K$444:$PT$444)/1000","=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!M$4,'Model (Tec-10)'!$K$444:$PT$444)/1000","=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!N$4,'Model (Tec-10)'!$K$444:$PT$444)/1000","=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!O$4,'Model (Tec-10)'!$K$444:$PT$444)/1000","=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!P$4,'Model (Tec-10)'!$K$444:$PT$444)/1000","=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!Q$4,'Model (Tec-10)'!$K$444:$PT$444)/1000","=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!R$4,'Model (Tec-10)'!$K$444:$PT$444)/1000","=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!S$4,'Model (Tec-10)'!$K$444:$PT$444)/1000","=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!T$4,'Model (Tec-10)'!$K$444:$PT$444)/1000","=SUMIF('Model (Tec-10)'!$K$69:$PT$69,outputs!U$4,'Model (Tec-10)'!$K$444:$PT$444)/1000",=SUM(L10:P10),,,,,,,,,,,,,,,,,,,,,,,,,,,
