tag,file,dir,size_bytes,sha256,model_sheet,sheets,created,modified,last_modified_by
2020-08,Economic Model (Tecolutla August 2020) - FOR TRANS PLAN (TEC-12 Drill Econ).xlsm,tec12_drill/OLD,2675750,9177c7f178a75f7f76f6de070216e37679beb85bbfc95ecc1c2d0706ad9b7612,Model,EDITS|Model|Model Production Profiles|Tec-12 (1)|Tec-10 Prod|Summary (GLJ)|outputs|Sensitivity (NEED TO UPDATE)|Annex|BACKUP,2015-07-23T18:07:10Z,,
2022-v1,Economic Model (Tecolutla Feb 2022).xlsm,appraisal_plan,3340446,b07bff111f6ec57520af2a73849ab841bae21585d737a3cd3f1eaea409565027,Model,Model|Model Production Profiles|Summary (GLJ)|outputs|Annex|BACKUP|EDITS,2015-07-23T18:07:10Z,2022-04-11T18:11:49Z,kevin gunning
2022-v2,Economic Model (Tecolutla Feb 2022)2.xlsm,appraisal_plan,3340638,da4d30d018fedf8d8f04e078339d614678754a80be8fec7f2ff99c68e441f4fd,Model,Model|Model Production Profiles|outputs|Annex|BACKUP|EDITS|Summary (GLJ),2015-07-23T18:07:10Z,2022-04-11T18:10:12Z,kevin gunning
2022-v3,Economic Model (Tecolutla Feb 2022)3.xlsm,appraisal_plan,3541927,566a6cb4e52f9a3091bf27a0dab02c319934cdd0cdc17f742ce8ea111e754438,Model,Model|Model Production Profiles|outputs|Annex|BACKUP|EDITS|Summary (GLJ),2015-07-23T18:07:10Z,2022-04-11T18:08:20Z,kevin gunning
2022-v4,Economic Model (Tecolutla Feb 2022)4 (Tec12 & Tec13).xlsm,appraisal_plan,3621892,cddf80f46c612be1b104f00a84b98e770c9ee1d78e2b7804dbcf4b37fbdce2bb,Model,Decline|Model|Model Production Profiles|outputs|Annex|BACKUP|EDITS|Summary (GLJ),2015-07-23T18:07:10Z,2022-06-17T00:37:08Z,kevin gunning
2022-v5,Economic Model (Tecolutla Feb 2022)5 (HZ).xlsm,appraisal_plan,3493335,7bc19122891d6335fd0bc42f9600710ed1673eebe047311ad4cbc21856541bbe,Model,Model|Model Production Profiles|outputs|Annex|BACKUP|EDITS|Summary (GLJ),2015-07-23T18:07:10Z,2022-04-12T01:35:13Z,kevin gunning
2022-v6,"Economic Model (Tecolutla Feb 2022)6 (Tec12, 13, 14 & 15).xlsm",development_plan,3175749,8fbdb472e99b0cfb5733cb2a6fd8fb78b5bde8010c32244605139669038c4808,Model,Decline|Model|Model Production Profiles|outputs|Annex|BACKUP|EDITS|Summary (GLJ)|Price Deck|Sheet2,2015-07-23T18:07:10Z,2022-06-17T21:26:09Z,kevin gunning
2022-v7,"Economic Model (Tecolutla Feb 2022)7 (Tec12, 13, 14 & 15).xlsm",development_plan,3148039,9b167afdd7b88338dd8d09fefe8a2a58eddf18895253c13fdc9dee7a12437ae9,Model,Decline|Model|Model Production Profiles|outputs|Annex|BACKUP|EDITS|Summary (GLJ)|Price Deck|Sheet2,2015-07-23T18:07:10Z,2022-06-20T17:13:38Z,kevin gunning
2022-v8,Economic Model (Tecolutla Feb 2022)8 (Tec14 HZ).xlsm,development_plan,3122660,f702bfed592107a719b6767bb085b1c7680dcce17f6ce8438e512ed34c8e0227,Model,Decline|Model|Model Production Profiles|outputs|Annex|BACKUP|EDITS|Summary (GLJ)|Price Deck|Sheet2,2015-07-23T18:07:10Z,2022-06-21T14:45:47Z,kevin gunning
2022-v9,Economic Model (Tecolutla Feb 2022)9 (Tec14 HZ).xlsm,development_plan,3118408,c54d3e7996e68122814b281094927df54db6640c8e3fb83fa053d6a0aa31a0f3,Model,Decline|Model|Model Production Profiles|outputs|Annex|BACKUP|EDITS|Summary (GLJ)|Price Deck|Sheet2,2015-07-23T18:07:10Z,2022-06-21T18:17:40Z,kevin gunning
2023-10,2023-09-29 Tec-12 Economics.xlsm,tec12_drill,4017136,60791407eeafac80352f2aa0e98ecf0c3a58cc334cf1a2c8f62af7baa4e56606,Model (Tec-10 & Tec-12),EDITS|Model (Tec-10 & Tec-12)|Model (Tec-10)|OUTPUT|Model Production Profiles|Tec-12 (1)|Tec-10 Prod|Summary (GLJ)|outputs|Sensitivity (NEED TO UPDATE)|Annex|BACKUP,2015-07-23T18:07:10Z,,
