tag,price_row,price_deck_note,field_price_row,field_price_note,field_price_factor,wti_m1,field_m1,wti_m13,field_m13,wti_m25,field_m25,wti_m37,field_m37,wti_m49,field_m49,wti_m61,field_m61,wti_m121,field_m121,first_month
2020-08,412,flat,428,PEMEX PRICE AT EZEKIEL ORDONEZ (% OF WTI PRICE FORECAST),0.95,30.0,28.5,30.0,28.5,30.0,28.5,30.0,28.5,30.0,28.5,30.0,28.5,30.0,28.5,2020-09-01
2022-v1,412,flat,428,PEMEX PRICE AT EZEKIEL ORDONEZ (% OF WTI PRICE FORECAST),0.801,90.0,72.09,90.0,72.09,90.0,72.09,90.0,72.09,90.0,72.09,90.0,72.09,90.0,72.09,2022-04-01
2022-v2,412,flat,428,PEMEX PRICE AT EZEKIEL ORDONEZ (% OF WTI PRICE FORECAST),0.801,90.0,72.09,90.0,72.09,90.0,72.09,90.0,72.09,90.0,72.09,90.0,72.09,90.0,72.09,2022-04-01
2022-v3,412,flat,428,PEMEX PRICE AT EZEKIEL ORDONEZ (% OF WTI PRICE FORECAST),0.801,90.0,72.09,90.0,72.09,90.0,72.09,90.0,72.09,90.0,72.09,90.0,72.09,90.0,72.09,2022-04-01
2022-v4,412,flat,428,PEMEX PRICE AT EZEKIEL ORDONEZ (% OF WTI PRICE FORECAST),0.801,90.0,72.09,90.0,72.09,90.0,72.09,90.0,72.09,90.0,72.09,90.0,72.09,90.0,72.09,2022-04-01
2022-v5,412,flat,428,PEMEX PRICE AT EZEKIEL ORDONEZ (% OF WTI PRICE FORECAST),0.801,90.0,72.09,90.0,72.09,90.0,72.09,90.0,72.09,90.0,72.09,90.0,72.09,90.0,72.09,2022-04-01
2022-v6,412,GLJ APR 2022,428,PEMEX PRICE AT EZEKIEL ORDONEZ (% OF WTI PRICE FORECAST),0.801,90.0,72.09,75.64,60.58764,77.15,61.79715000000001,78.7,63.03870000000002,80.27,64.29627,81.88,65.58588,90.40035600000002,72.41068515600001,2023-07-01
2022-v7,412,GLJ APR 2022,428,PEMEX PRICE AT EZEKIEL ORDONEZ (% OF WTI PRICE FORECAST),0.801,90.0,72.09,75.64,60.58764,77.15,61.79715000000001,78.7,63.03870000000002,80.27,64.29627,81.88,65.58588,90.40035600000002,72.41068515600001,2023-07-01
2022-v8,412,GLJ APR 2022,428,PEMEX PRICE AT EZEKIEL ORDONEZ (% OF WTI PRICE FORECAST),0.801,90.0,72.09,75.64,60.58764,77.15,61.79715000000001,78.7,63.03870000000002,80.27,64.29627,81.88,65.58588,90.40035600000002,72.41068515600001,2023-07-01
2022-v9,412,GLJ APR 2022,428,PEMEX PRICE AT EZEKIEL ORDONEZ (% OF WTI PRICE FORECAST),0.801,90.0,72.09,75.64,60.58764,77.15,61.79715000000001,78.7,63.03870000000002,80.27,64.29627,81.88,65.58588,90.40035600000002,72.41068515600001,2023-07-01
2023-10,412,flat,428,PEMEX PRICE AT EZEKIEL ORDONEZ (% OF WTI PRICE FORECAST),0.9,85.0,76.5,85.0,76.5,85.0,76.5,85.0,76.5,85.0,76.5,85.0,76.5,85.0,76.5,2024-01-01
