tag,series,updated,first_nonzero_month,ip_bpd,months_nonzero,cum_bbl_30p42,rate_m12,rate_m36
2020-08,Tec-2: Oil (bbl/d),,2020-09-01,24.844237265584866,138,49999.62601110255,21.652606176436677,16.040645180749795
2020-08,Tec-10: Oil (bbl/d),,2020-09-01,49.68847453116973,138,99999.2520222051,43.305212352873355,32.08129036149959
2020-08,Tec-12: Oil (bbl/d),,2021-03-01,300.151473319778,417,400000.00006361195,111.57508794388842,61.19575565752188
2020-08,Tecoltla: Oil (bbl/d),,2020-09-01,74.5327118,423,549998.8781014961,222.5508181,115.9245663
2022-v1,Tec-2: Oil (bbl/d),,,0.0,0,0.0,,
2022-v1,Tec-10: Oil (bbl/d),,2022-04-01,49.68847453116973,138,99999.2520222051,43.305212352873355,32.08129036149959
2022-v1,Tec-12: Oil (bbl/d),,2022-09-01,300.151473319778,421,401438.29904231516,111.57508794388842,61.19575565752188
2022-v1,Tec-13: Oil (bbl/d),,2023-06-01,300.151473319778,412,398174.5895024472,111.57508794388842,61.19575565752188
2022-v1,Tecoltla: Oil (bbl/d),,2022-04-01,49.68847453116973,426,899612.1405669686,189.72921307319498,179.19836232079933
2022-v2,Tec-2: Oil (bbl/d),,,0.0,0,0.0,,
2022-v2,Tec-10: Oil (bbl/d),,2022-04-01,49.68847453116973,138,99999.2520222051,43.305212352873355,32.08129036149959
2022-v2,Tec-12: Oil (bbl/d),,2022-09-01,300.151473319778,421,401438.29904231516,111.57508794388842,61.19575565752188
2022-v2,Tec-13: Oil (bbl/d),,2023-02-01,300.151473319778,416,399637.1353239921,111.57508794388842,61.19575565752188
2022-v2,Tecoltla: Oil (bbl/d),,2022-04-01,49.68847453116973,426,901074.6863885132,436.19084457893325,172.08794249096928
2022-v3,Tec-2: Oil (bbl/d),2022-03-08,,0.0,0,0.0,,
2022-v3,Tec-10: Oil (bbl/d),2022-03-08,2022-04-01,49.68847453116973,138,99999.2520222051,43.305212352873355,32.08129036149959
2022-v3,Tec-12: Oil (bbl/d),2022-03-08,2022-09-01,300.151473319778,421,401438.29904231516,111.57508794388842,61.19575565752188
2022-v3,Tec-13: Oil (bbl/d),2022-03-08,2023-02-01,300.151473319778,416,399637.1353239921,111.57508794388842,61.19575565752188
2022-v3,Tecoltla: Oil (bbl/d),2022-03-08,2022-04-01,49.68847453116973,426,901074.6863885132,436.19084457893325,172.08794249096928
2022-v4,Tec-2: Oil (bbl/d),2022-03-08,,0.0,0,0.0,,
2022-v4,Tec-10: Oil (bbl/d),2022-03-08,2022-04-01,49.68847453116973,138,99999.2520222051,43.305212352873355,32.08129036149959
2022-v4,Tec-12: Oil (bbl/d),2022-03-08,2022-09-01,300.151473319778,421,401438.29904231516,111.57508794388842,61.19575565752188
2022-v4,Tec-13: Oil (bbl/d),2022-03-08,2023-02-01,300.151473319778,416,399637.1353239921,111.57508794388842,61.19575565752188
2022-v4,Tecoltla: Oil (bbl/d),2022-03-08,2022-04-01,49.68847453116973,426,901074.6863885132,436.19084457893325,172.08794249096928
2022-v5,Tec-2: Oil (bbl/d),2022-03-08,,0.0,0,0.0,,
2022-v5,Tec-10: Oil (bbl/d),2022-03-08,2022-04-01,49.68847453116973,138,99999.2520222051,43.305212352873355,32.08129036149959
2022-v5,Tec-HZ: Oil (bbl/d),2022-03-08,2022-09-01,600.302946639556,421,798558.3300340447,223.15017588777684,122.39151131504376
2022-v5,Tecoltla: Oil (bbl/d),2022-03-08,2022-04-01,49.68847453116973,426,898557.5820562497,336.1532137935166,165.2173444205141
2022-v6,Tec-2: Oil (bbl/d),2022-06-16,2025-06-01,19.875389812467894,58,25098.791175897066,17.322084941149342,12.832516144599834
2022-v6,Tec-10: Oil (bbl/d),2022-06-16,2023-07-01,42.23600285024917,125,81749.32869566865,36.81012729057002,27.26961300246763
2022-v6,Tec-12: Oil (bbl/d),2022-06-16,2023-07-01,137.16319146974763,205,253584.8924130689,87.28325604374318,55.33654220716452
2022-v6,Tec-13: Oil (bbl/d),2022-06-16,2023-07-01,212.69169524074354,205,276862.9283526741,102.87387416744319,59.35422420042759
2022-v6,Tec-14: Oil (bbl/d),2022-06-16,2024-07-01,240.1211786558224,205,233691.18207861524,89.26007035511074,48.95660452601751
2022-v6,Tec-15: Oil (bbl/d),2022-06-16,2025-07-01,240.1211786558224,193,226939.2813921757,89.26007035511074,48.95660452601751
2022-v6,Tecoltla: Oil (bbl/d),2022-06-16,2023-07-01,392.0908895607404,217,1097926.4041080999,226.9672575017564,309.74526957375184
2022-v7,Tec-2: Oil (bbl/d),2022-06-16,2025-06-01,19.875389812467894,58,25098.791175897066,17.322084941149342,12.832516144599834
2022-v7,Tec-10: Oil (bbl/d),2022-06-16,2023-07-01,42.23600285024917,125,81749.32869566865,36.81012729057002,27.26961300246763
2022-v7,Tec-12: Oil (bbl/d),2022-06-16,2023-07-01,137.16319146974763,205,253584.8924130689,87.28325604374318,55.33654220716452
2022-v7,Tec-13: Oil (bbl/d),2022-06-16,2023-07-01,212.69169524074354,205,276862.9283526741,102.87387416744319,59.35422420042759
2022-v7,Tec-14: Oil (bbl/d),2022-06-16,2024-07-01,240.1211786558224,205,233691.18207861524,89.26007035511074,48.95660452601751
2022-v7,Tec-15: Oil (bbl/d),2022-06-16,2025-07-01,240.1211786558224,193,226939.2813921757,89.26007035511074,48.95660452601751
2022-v7,Tecoltla: Oil (bbl/d),2022-06-16,2023-07-01,392.0908895607404,217,1097926.4041080999,226.9672575017564,309.74526957375184
2022-v8,Tec-2: Oil (bbl/d),2022-06-16,2025-06-01,19.875389812467894,58,25098.791175897066,17.322084941149342,12.832516144599834
2022-v8,Tec-10: Oil (bbl/d),2022-06-16,2023-07-01,42.23600285024917,125,81749.32869566865,36.81012729057002,27.26961300246763
2022-v8,Tec-12: Oil (bbl/d),2022-06-16,2023-07-01,137.16319146974763,205,253584.8924130689,87.28325604374318,55.33654220716452
2022-v8,Tec-13: Oil (bbl/d),2022-06-16,2023-07-01,212.69169524074354,205,276862.9283526741,102.87387416744319,59.35422420042759
2022-v8,Tec-14: Oil (bbl/d),2022-06-16,2024-07-01,240.1211786558224,205,233691.18207861524,89.26007035511074,48.95660452601751
2022-v8,Tec-15: Oil (bbl/d),2022-06-16,2025-07-01,240.1211786558224,193,226939.2813921757,89.26007035511074,48.95660452601751
2022-v8,Tecoltla: Oil (bbl/d),2022-06-16,2023-07-01,392.0908895607404,217,1097926.4041080999,226.9672575017564,309.74526957375184
2022-v9,Tec-2: Oil (bbl/d),2022-06-16,2025-06-01,19.875389812467894,58,25098.791175897066,17.322084941149342,12.832516144599834
2022-v9,Tec-10: Oil (bbl/d),2022-06-16,2023-07-01,42.23600285024917,125,81749.32869566865,36.81012729057002,27.26961300246763
2022-v9,Tec-12: Oil (bbl/d),2022-06-16,2023-07-01,137.16319146974763,205,253584.8924130689,87.28325604374318,55.33654220716452
2022-v9,Tec-13: Oil (bbl/d),2022-06-16,2023-07-01,212.69169524074354,205,276862.9283526741,102.87387416744319,59.35422420042759
2022-v9,Tec-14 HZ: Oil (bbl/d),2022-06-16,2024-07-01,506.3199809115015,205,630446.472086264,238.75148560359733,139.87586873567014
2022-v9,Tecoltla: Oil (bbl/d),2022-06-16,2023-07-01,392.0908895607404,217,1267742.4127235739,226.9672575017564,330.8289168726328
2023-10,Tec-2: Oil (bbl/d),,2020-09-01,24.844237265584866,138,49999.62601110255,21.652606176436677,16.040645180749795
2023-10,Tec-10: Oil (bbl/d),,2020-09-01,49.68847453116973,138,99999.2520222051,43.305212352873355,32.08129036149959
2023-10,Tec-12: Oil (bbl/d),,2021-03-01,300.151473319778,417,400000.00006361195,111.57508794388842,61.19575565752188
2023-10,Tecoltla: Oil (bbl/d),,2020-09-01,74.5327118,423,549998.8781014961,222.5508181,115.9245663
