tag,oil_bbl_econ,oil_bbl_total,oil_bbl_row,gas_mcf_econ,gas_mcf_total,gas_mcf_row,water_bbl_econ,water_bbl_total,water_bbl_row,revenue_econ,revenue_total,revenue_row,royalties_econ,royalties_total,royalties_row,opex_econ,opex_total,opex_row,netback_econ,netback_total,netback_row,econ_life_yr_econ,econ_life_yr_total,econ_life_yr_row,capital_econ,capital_total,capital_row,noi_btax_econ,noi_btax_total,noi_btax_row,payout_months_econ,payout_months_total,payout_months_row,npv10_btax_econ,npv10_btax_total,npv10_btax_row,tax_econ,tax_total,tax_row,noi_atax_econ,noi_atax_total,noi_atax_row,npv10_atax_econ,npv10_atax_total,npv10_atax_row,irr_btax,irr_atax,date_row,first_month,last_month,slot1_oil_total_bbl,slot1_oil_econ_bbl,slot1_ip_bpd,slot2_oil_total_bbl,slot2_oil_econ_bbl,slot2_ip_bpd,slot3_oil_total_bbl,slot3_oil_econ_bbl,slot3_ip_bpd,slot4_oil_total_bbl,slot4_oil_econ_bbl,slot4_ip_bpd,slot5_oil_total_bbl,slot5_oil_econ_bbl,slot5_ip_bpd,slot6_oil_total_bbl,slot6_oil_econ_bbl,slot6_ip_bpd,slot7_oil_total_bbl,slot7_oil_econ_bbl,slot7_ip_bpd,slot8_oil_total_bbl,slot8_oil_econ_bbl,slot8_ip_bpd,capital_in_window_usd,capital_lines_in_window,capital_lines_dated_before_window,outputs_active_oil_mbbl,outputs_active_gas_mmcf,outputs_active_ngl_cond_mbbl,outputs_active_res_mboe,outputs_active_npv10_musd,outputs_active_ror,outputs_active_capital_musd
2020-08,82350.36404,149998.878,403,0.0,0.0,404,348396.836,1088399.322,409,2346985.375,4274968.024,454,-1038335.064,-2181864.623,483,-1305879.937,-8615057.587,500,2770.374497,-6521954.186,502,4.0,,505,,-213209.3203,574,-0.4421620013,-123790.2333,578,,,579,NPV>,-88227.90053,580,,-20526.67829,587,-0.444506873,-144316.9116,588,NPV>,-107816.6722,590,-0.4421620013,-0.444506873,67,2020-09-01,2056-02-01,50000,27450,24.84423727,99999,54900,49.68847453,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,-65000.0,2020 START UP CAPITAL -65000,"Tec-12 HZ Drill *Tec-10 Re-Entry -1250000 @2021-01-01; Tec-12 HZ Complete, Equip *Tec-10 Re-Entry -250000 @2021-01-01; Tec-12 HZ Equip (jack) -50000 @2021-01-01",82.35036404,0.0,0.0,82.35036404,-88.22790053,-0.4421620013,65
2022-v1,899614.3144837713,899614.3144837713,403,0.0,0.0,404,4943881.293353612,4943881.293353612,409,64536377.62084017,64536377.62084017,454,-29746242.563693,-29746242.563693,483,-12758747.722980164,-12758747.722980164,500,22031387.334166996,22031387.334166996,502,35.5,,505,,-3504970.791089718,574,3.703701558888228,18526416.543077286,578,,,579,NPV>,9719454.851215694,580,,-5604416.2002500985,587,1.675894928775382,12922000.342827171,588,NPV>,6618705.464597717,590,3.703701558888228,1.675894928775382,67,2022-04-01,2057-09-01,0,0,0.0,99999,99999,49.68847453116973,0,0,0,401440,401440,300.151473319778,398175,398175,300.151473319778,0,0,0.0,0,0,0.0,0,0,0.0,-3350000.0,"Tec-12 Drill -1250000; Tec-12 Complete, Equip -250000; Tec-12 Tie-in -50000; Tec-12 Battery Upgrade  -250000; Tec-13 Drill, Complete, Equip -1550000",,899.6143144837713,0.0,0.0,899.6143144837713,9719.454851215694,3.703701558888228,3350
2022-v2,901076.860305316,901076.860305316,403,0.0,0.0,404,4968037.308892689,4968037.308892689,409,64643754.2851126,64643754.2851126,454,-29794057.714423466,-29794057.714423466,483,-12777788.203320786,-12777788.203320786,500,22071908.367368344,22071908.367368344,502,35.5,,505,,-3506581.442742672,574,3.567031406130285,18565326.924625657,578,,,579,NPV>,9881933.57800977,580,,-5616594.54884413,587,1.653231218483477,12948732.375781516,588,NPV>,6729498.151307212,590,3.567031406130285,1.653231218483477,67,2022-04-01,2057-09-01,0,0,0.0,99999,99999,49.68847453116973,0,0,0,401440,401440,300.151473319778,399637,399637,300.151473319778,0,0,0.0,0,0,0.0,0,0,0.0,-3350000.0,"Tec-12 Drill -1250000; Tec-12 Complete, Equip -250000; Tec-12 Tie-in -50000; Tec-12 Battery Upgrade  -250000; Tec-13 Drill, Complete, Equip -1550000",,901.076860305316,0.0,0.0,901.076860305316,9881.93357800977,3.567031406130285,3350
2022-v3,901076.860305316,901076.860305316,403,848318.8101344403,848318.8101344403,404,4968037.308892689,4968037.308892689,409,64643754.2851126,64643754.2851126,455,-29913854.832404185,-29913854.832404185,484,-12946543.883414125,-12946543.883414125,501,21783355.56929426,21783355.56929426,503,35.5,,506,,-3506581.442742672,575,3.4277803343123203,18276774.126551587,579,,,580,NPV>,9710468.948792024,581,,-5530029.9600654375,588,1.6051843437619344,12746744.166486163,589,NPV>,6609471.898193048,591,3.4277803343123203,1.6051843437619344,67,2022-04-01,2057-09-01,0,0,0.0,99999,99999,49.68847453116973,0,0,0,401440,401440,300.151473319778,399637,399637,300.151473319778,0,0,0.0,0,0,0.0,0,0,0.0,-3350000.0,"Tec-12 Drill -1250000; Tec-12 Complete, Equip -250000; Tec-12 Tie-in -50000; Tec-12 Battery Upgrade  -250000; Tec-13 Drill, Complete, Equip -1550000",,901.076860305316,848.3188101344404,16.966376202688785,1059.429704863745,9710.468948792024,3.4277803343123203,3350
2022-v4,901076.860305316,901076.860305316,403,848318.8101344403,848318.8101344403,404,4968037.308892689,4968037.308892689,409,64643754.2851126,64643754.2851126,455,-29913854.832404185,-29913854.832404185,484,-12946543.883414125,-12946543.883414125,501,21783355.56929426,21783355.56929426,503,35.5,,506,,-3506581.442742672,575,3.4277803343123203,18276774.126551587,579,,,580,NPV>,9710468.948792024,581,,-5530029.9600654375,588,1.6051843437619344,12746744.166486163,589,NPV>,6609471.898193048,591,3.4277803343123203,1.6051843437619344,67,2022-04-01,2057-09-01,0,0,0.0,99999,99999,49.68847453116973,0,0,0,401440,401440,300.151473319778,399637,399637,300.151473319778,0,0,0.0,0,0,0.0,0,0,0.0,-3350000.0,"Tec-12 Drill -1250000; Tec-12 Complete, Equip -250000; Tec-12 Tie-in -50000; Tec-12 Battery Upgrade  -250000; Tec-13 Drill, Complete, Equip -1550000",,901.076860305316,848.3188101344404,16.966376202688785,1059.429704863745,9710.468948792024,3.4277803343123203,3350
2022-v5,898557.5820562497,898557.5820562497,403,845947.0356268571,845947.0356268571,404,4296151.445922116,4296151.445922116,409,64474630.08860549,64474630.08860549,455,-29837966.183204647,-29837966.183204647,484,-11751655.776177708,-11751655.776177708,501,22885008.129223242,22885008.129223242,503,35.5,,506,,-3159366.8863910995,575,4.474103043387347,19725641.242832143,579,,,580,NPV>,10554478.49820517,581,,-5965502.438766981,588,2.0237346494429245,13760138.804065172,589,NPV>,7213534.54262986,591,4.474103043387347,2.0237346494429245,67,2022-04-01,2057-09-01,0,0,0.0,99999,99999,49.68847453116973,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,798558,798558,600.302946639556,0,0,0.0,-3000000.0,Tecolutla Horizontal -3000000,"Tec-12 Drill -1250000 @2022-08-01; Tec-12 Complete, Equip -250000 @2022-08-01; Tec-12 Tie-in -50000 @2022-08-01; Tec-12 Battery Upgrade  -250000 @2022-09-01; Tec-13 Drill, Complete, Equip -1550000 @2023-01-01",898.5575820562498,845.9470356268571,16.918940712537115,1056.4676953732626,10554.47849820517,4.474103043387347,3000
2022-v6,1115375.8743117312,1115375.8743117312,403,930694.1677949446,930694.1677949446,404,3980804.5740318196,3980804.5740318196,409,76219876.61419487,76219876.61419487,455,-33172616.35999127,-33172616.35999127,484,-13973598.453274377,-13973598.453274377,504,29073661.800929226,29073661.800929226,506,18.083333333333332,,509,,-4922092.956612187,579,#DIV/0!,24151568.84431706,583,,,584,NPV>,14042836.133153386,585,,-7515611.497263585,592,#NUM!,16635957.347053466,593,NPV>,9506953.744577784,595,#DIV/0!,#NUM!,67,2023-07-01,2041-07-01,25099,25099,19.875389812467894,83050,83050,42.76726636537113,0,0,0,261551,261551,137.16319146974763,284951,284951,212.69169524074354,233749,233749,240.1211786558224,226976,226976,240.1211786558224,0,0,0.0,-4021623.4767172886,"Tec-14 Drill, Complete, Equip -1578655; Tec-15 Drill, Complete, Equip -1610519; Tec-2 Reactivation -155597; Power Generation (Gas Conservation) -521255; Tec-11 Conversion -155597","Tec-12 Drill, Complete, Equip -1550000 @2022-11-01; Battery Upgrade -100000 @2022-12-01; Tec-13 Drill, Complete, Equip -1550000 @2023-04-01; Measurement Skid -250000 @2023-06-01",1115.3758743117312,930.6941677949446,18.61388335589889,1289.105452300122,14042.836133153387,#DIV/0!,7350
2022-v7,1115375.8743117312,1115375.8743117312,403,930694.1677949446,930694.1677949446,404,3980804.5740318196,3980804.5740318196,409,76219876.61419487,76219876.61419487,455,-33172616.35999127,-33172616.35999127,484,-13973598.453274375,-13973598.453274375,504,29073661.800929226,29073661.800929226,506,18.083333333333332,,509,,-4922092.956612187,579,#DIV/0!,24151568.84431706,583,,,584,NPV>,14042836.133153386,585,,-7515611.497263585,592,#NUM!,16635957.347053466,593,NPV>,9506953.744577784,595,#DIV/0!,#NUM!,67,2023-07-01,2041-07-01,25099,25099,19.875389812467894,83050,83050,42.76726636537113,0,0,0,261551,261551,137.16319146974763,284951,284951,212.69169524074354,233749,233749,240.1211786558224,226976,226976,240.1211786558224,0,0,0.0,-4021623.4767172886,"Tec-14 Drill, Complete, Equip -1578655; Tec-15 Drill, Complete, Equip -1610519; Tec-2 Reactivation -155597; Power Generation (Gas Conservation) -521255; Tec-11 Conversion -155597","Tec-12 Drill, Complete, Equip -1550000 @2022-11-01; Battery Upgrade -100000 @2022-12-01; Tec-13 Drill, Complete, Equip -1550000 @2023-04-01; Measurement Skid -250000 @2023-06-01",1115.3758743117312,930.6941677949446,18.61388335589889,1289.105452300122,14042.836133153387,#DIV/0!,7350
2022-v8,1285096.9126939278,1285096.9126939278,403,546254.7299527278,546254.7299527278,404,5423830.273737266,5423830.273737266,409,87525992.0984945,87525992.0984945,455,-37985253.080491625,-37985253.080491625,484,-14102521.879960638,-14102521.879960638,504,35438217.13804232,35438217.13804232,506,18.083333333333332,,509,,-4787668.229716023,579,#NUM!,30650548.90832631,583,,,584,NPV>,17796505.195219554,585,,-9465091.942872023,592,#DIV/0!,21185456.965454254,593,NPV>,12132296.654882887,595,#NUM!,#DIV/0!,67,2023-07-01,2041-07-01,25099,25099,19.875389812467894,83050,83050,42.76726636537113,0,0,0,261551,261551,137.16319146974763,284951,284951,212.69169524074354,0,0,0.0,0,0,0.0,630446,630446,506.3199809115015,-3887910.6618022053,"Tec-2 Reactivation -155597; Power Generation (Gas Conservation) -521255; Tec-11 Conversion -155597; Tec-HZ Drill, Complete, Equip -3055461","Tec-12 Drill, Complete, Equip -1550000 @2022-11-01; Battery Upgrade -100000 @2022-12-01; Tec-13 Drill, Complete, Equip -1550000 @2023-04-01; Tec-14 Drill, Complete, Equip -1550000 @2024-06-01; Tec-15 Drill, Complete, Equip -1550000 @2025-06-01; Measurement Skid -250000 @2023-06-01",1285.0969126939278,546.2547299527278,10.925094599054564,1387.0644622851034,17796.505195219554,#NUM!,7250
2022-v9,1285096.9126939278,1285096.9126939278,403,1072313.1360838932,1072313.1360838932,404,5423830.273737266,5423830.273737266,409,87525992.0984945,87525992.0984945,455,-38004322.915394954,-38004322.915394954,484,-14224518.275243474,-14224518.275243474,504,35297150.90785611,35297150.90785611,506,18.083333333333332,,509,,-4785909.89676778,579,#DIV/0!,30511241.011088338,583,,,584,NPV>,17724121.16931151,585,,-9422772.073816177,592,#DIV/0!,21088468.937272165,593,NPV>,12082168.34232623,595,#DIV/0!,#DIV/0!,67,2023-07-01,2041-07-01,25099,25099,19.875389812467894,83050,83050,42.76726636537113,0,0,0,261551,261551,137.16319146974763,284951,284951,212.69169524074354,0,0,0.0,0,0,0.0,630446,630446,506.3199809115015,-3887910.6618022053,"Tec-2 Reactivation -155597; Power Generation (Gas Conservation) -521255; Tec-11 Conversion -155597; Tec-HZ Drill, Complete, Equip -3055461","Tec-12 Drill, Complete, Equip -1550000 @2022-11-01; Battery Upgrade -100000 @2022-12-01; Tec-13 Drill, Complete, Equip -1550000 @2023-04-01; Tec-14 Drill, Complete, Equip -1550000 @2024-06-01; Tec-15 Drill, Complete, Equip -1550000 @2025-06-01; Measurement Skid -250000 @2023-06-01",1285.0969126939278,1072.3131360838931,21.44626272167787,1485.2620314295887,17724.121169311507,#DIV/0!,7250
