tag,slot,well,forecast_start,cos,qi_bpd,qi_adj_bpd,n_b,di_per_yr
2020-08,1.0,Tecolutla-2,2020-09-01,1.0,25.0,25.0,0.001,0.15
2020-08,2.0,Tecolutla 10 VT,2020-09-01,1.0,50.0,50.0,0.001,0.15
2020-08,3.0,Tecolutla 11 HZ,2021-11-01,0.0,1000.0,1000.0,1.8,2.0
2020-08,4.0,Tecolutla 12 HZ,2021-03-01,0.0,342.0,342.0,1.7,3.507302612853693
2020-08,5.0,Tecolutla 13 HZ,2020-11-01,0.0,1000.0,1000.0,1.8,2.0
2020-08,6.0,Tecolutla 14 HZ,2021-11-01,0.0,1000.0,1000.0,1.8,2.0
2020-08,7.0,Tecolutla HZ #4,2021-11-01,0.0,1000.0,1000.0,1.8,2.0
2020-08,8.0,Tecolutla HZ #4,2021-11-01,0.0,1000.0,1000.0,1.8,2.0
2020-08,9.0,Tecolutla HZ #4,2021-11-01,0.0,1000.0,1000.0,1.8,2.0
2020-08,10.0,Tecolutla HZ #4,2021-11-01,0.0,1000.0,1000.0,1.8,2.0
2020-08,11.0,Tecolutla HZ #4,2021-11-01,0.0,1000.0,1000.0,1.8,2.0
2020-08,12.0,Tecolutla HZ #4,2021-11-01,0.0,1000.0,1000.0,1.8,2.0
2020-08,13.0,Tecolutla HZ #4,2021-11-01,0.0,1000.0,1000.0,1.8,2.0
2020-08,14.0,Tecolutla HZ #4,2021-11-01,0.0,1000.0,1000.0,1.8,2.0
2020-08,15.0,Tecolutla HZ #4,2021-11-01,0.0,1000.0,1000.0,1.8,2.0
2020-08,16.0,Tecolutla HZ #4,2021-11-01,0.0,1000.0,1000.0,1.8,2.0
2020-08,17.0,Tecolutla HZ #4,2021-11-01,0.0,1000.0,1000.0,1.8,2.0
2020-08,18.0,Tecolutla HZ #4,2021-11-01,0.0,1000.0,1000.0,1.8,2.0
2020-08,19.0,Tecolutla HZ #4,2021-11-01,0.0,1000.0,1000.0,1.8,2.0
2020-08,20.0,Tecolutla HZ #4,2021-11-01,0.0,1000.0,1000.0,1.8,2.0
2022-v1,1.0,Tecolutla-2,2022-04-01,0.0,25.0,25.0,0.001,0.15
2022-v1,2.0,Tecolutla 10 VT,2022-04-01,1.0,50.0,50.0,0.001,0.15
2022-v1,3.0,Tecolutla 11 HZ,2022-04-01,0.0,1000.0,1000.0,1.8,2.0
2022-v1,4.0,Tecolutla 12 HZ,2022-09-01,1.0,342.0,342.0,1.7,3.507302612853693
2022-v1,5.0,Tecolutla 13 HZ,2023-06-01,1.0,342.0,342.0,1.7,3.507302612853693
2022-v1,6.0,Tecolutla 14 HZ,2022-04-01,0.0,1000.0,1000.0,1.8,2.0
2022-v1,7.0,Tecolutla HZ #4,2022-04-01,0.0,1000.0,1000.0,1.8,2.0
2022-v1,8.0,Tecolutla HZ #4,2022-04-01,0.0,1000.0,1000.0,1.8,2.0
2022-v1,9.0,Tecolutla HZ #4,2022-04-01,0.0,1000.0,1000.0,1.8,2.0
2022-v1,10.0,Tecolutla HZ #4,2022-04-01,0.0,1000.0,1000.0,1.8,2.0
2022-v1,11.0,Tecolutla HZ #4,2022-04-01,0.0,1000.0,1000.0,1.8,2.0
2022-v1,12.0,Tecolutla HZ #4,2022-04-01,0.0,1000.0,1000.0,1.8,2.0
2022-v1,13.0,Tecolutla HZ #4,2022-04-01,0.0,1000.0,1000.0,1.8,2.0
2022-v1,14.0,Tecolutla HZ #4,2022-04-01,0.0,1000.0,1000.0,1.8,2.0
2022-v1,15.0,Tecolutla HZ #4,2022-04-01,0.0,1000.0,1000.0,1.8,2.0
2022-v1,16.0,Tecolutla HZ #4,2022-04-01,0.0,1000.0,1000.0,1.8,2.0
2022-v1,17.0,Tecolutla HZ #4,2022-04-01,0.0,1000.0,1000.0,1.8,2.0
2022-v1,18.0,Tecolutla HZ #4,2022-04-01,0.0,1000.0,1000.0,1.8,2.0
2022-v1,19.0,Tecolutla HZ #4,2022-04-01,0.0,1000.0,1000.0,1.8,2.0
2022-v1,20.0,Tecolutla HZ #4,2022-04-01,0.0,1000.0,1000.0,1.8,2.0
2022-v2,1.0,Tecolutla-2,2022-04-01,0.0,25.0,25.0,0.001,0.15
2022-v2,2.0,Tecolutla 10 VT,2022-04-01,1.0,50.0,50.0,0.001,0.15
2022-v2,3.0,Tecolutla 11 HZ,2022-04-01,0.0,1000.0,1000.0,1.8,2.0
2022-v2,4.0,Tecolutla 12 HZ,2022-09-01,1.0,342.0,342.0,1.7,3.507302612853693
2022-v2,5.0,Tecolutla 13 HZ,2023-02-01,1.0,342.0,342.0,1.7,3.507302612853693
2022-v2,6.0,Tecolutla 14 HZ,2022-04-01,0.0,1000.0,1000.0,1.8,2.0
2022-v2,7.0,Tecolutla HZ #4,2022-04-01,0.0,1000.0,1000.0,1.8,2.0
2022-v2,8.0,Tecolutla HZ #4,2022-04-01,0.0,1000.0,1000.0,1.8,2.0
2022-v2,9.0,Tecolutla HZ #4,2022-04-01,0.0,1000.0,1000.0,1.8,2.0
2022-v2,10.0,Tecolutla HZ #4,2022-04-01,0.0,1000.0,1000.0,1.8,2.0
2022-v2,11.0,Tecolutla HZ #4,2022-04-01,0.0,1000.0,1000.0,1.8,2.0
2022-v2,12.0,Tecolutla HZ #4,2022-04-01,0.0,1000.0,1000.0,1.8,2.0
2022-v2,13.0,Tecolutla HZ #4,2022-04-01,0.0,1000.0,1000.0,1.8,2.0
2022-v2,14.0,Tecolutla HZ #4,2022-04-01,0.0,1000.0,1000.0,1.8,2.0
2022-v2,15.0,Tecolutla HZ #4,2022-04-01,0.0,1000.0,1000.0,1.8,2.0
2022-v2,16.0,Tecolutla HZ #4,2022-04-01,0.0,1000.0,1000.0,1.8,2.0
2022-v2,17.0,Tecolutla HZ #4,2022-04-01,0.0,1000.0,1000.0,1.8,2.0
2022-v2,18.0,Tecolutla HZ #4,2022-04-01,0.0,1000.0,1000.0,1.8,2.0
2022-v2,19.0,Tecolutla HZ #4,2022-04-01,0.0,1000.0,1000.0,1.8,2.0
2022-v2,20.0,Tecolutla HZ #4,2022-04-01,0.0,1000.0,1000.0,1.8,2.0
2022-v3,1.0,Tecolutla-2,2022-04-01,0.0,25.0,25.0,0.001,0.15
2022-v3,2.0,Tecolutla 10 VT,2022-04-01,1.0,50.0,50.0,0.001,0.15
2022-v3,3.0,Tecolutla 11 HZ,2022-04-01,0.0,1000.0,1000.0,1.8,2.0
2022-v3,4.0,Tecolutla 12 HZ,2022-09-01,1.0,342.0,342.0,1.7,3.507302612853693
2022-v3,5.0,Tecolutla 13 HZ,2023-02-01,1.0,342.0,342.0,1.7,3.507302612853693
2022-v3,6.0,Tecolutla 14 HZ,2022-04-01,0.0,1000.0,1000.0,1.8,2.0
2022-v3,7.0,Tecolutla HZ #4,2022-04-01,0.0,1000.0,1000.0,1.8,2.0
2022-v3,8.0,Tecolutla HZ #4,2022-04-01,0.0,1000.0,1000.0,1.8,2.0
2022-v3,9.0,Tecolutla HZ #4,2022-04-01,0.0,1000.0,1000.0,1.8,2.0
2022-v3,10.0,Tecolutla HZ #4,2022-04-01,0.0,1000.0,1000.0,1.8,2.0
2022-v3,11.0,Tecolutla HZ #4,2022-04-01,0.0,1000.0,1000.0,1.8,2.0
2022-v3,12.0,Tecolutla HZ #4,2022-04-01,0.0,1000.0,1000.0,1.8,2.0
2022-v3,13.0,Tecolutla HZ #4,2022-04-01,0.0,1000.0,1000.0,1.8,2.0
2022-v3,14.0,Tecolutla HZ #4,2022-04-01,0.0,1000.0,1000.0,1.8,2.0
2022-v3,15.0,Tecolutla HZ #4,2022-04-01,0.0,1000.0,1000.0,1.8,2.0
2022-v3,16.0,Tecolutla HZ #4,2022-04-01,0.0,1000.0,1000.0,1.8,2.0
2022-v3,17.0,Tecolutla HZ #4,2022-04-01,0.0,1000.0,1000.0,1.8,2.0
2022-v3,18.0,Tecolutla HZ #4,2022-04-01,0.0,1000.0,1000.0,1.8,2.0
2022-v3,19.0,Tecolutla HZ #4,2022-04-01,0.0,1000.0,1000.0,1.8,2.0
2022-v3,20.0,Tecolutla HZ #4,2022-04-01,0.0,1000.0,1000.0,1.8,2.0
2022-v4,1.0,Tecolutla-2,2022-04-01,0.0,25.0,25.0,0.001,0.15
2022-v4,2.0,Tecolutla 10 VT,2022-04-01,1.0,50.0,50.0,0.001,0.15
