profile,wti,field_price,capex,price_factor,incremental,econ_months,oil_econ_bbl,revenue,royalties,opex,noi_btax,npv10_btax,npv10_atax,tax,payout_months,irr_btax,royalty_share,opex_per_bbl,capex_case
low_bpd,50,45.0,1808632,0.9,False,28,45732,2057974,816165,924846,-1641668,-1618085,-1618729,-645,,,0.397,20.22,low
low_bpd,50,45.0,1965904,0.9,False,28,45732,2057974,816165,924846,-1798940,-1774734,-1774734,0,,,0.397,20.22,base
low_bpd,50,45.0,2201813,0.9,False,28,45732,2057974,816165,924846,-2034849,-2009708,-2009708,0,,,0.397,20.22,high
low_bpd,60,54.0,1808632,0.9,False,34,50341,2718453,1107310,1082426,-1429916,-1416430,-1431164,-14953,,,0.407,21.5,low
low_bpd,60,54.0,1965904,0.9,False,34,50341,2718453,1107310,1082426,-1587188,-1573079,-1582966,-10005,,,0.407,21.5,base
low_bpd,60,54.0,2201813,0.9,False,34,50341,2718453,1107310,1082426,-1823097,-1808053,-1812632,-4616,,,0.407,21.5,high
low_bpd,70,63.0,1808632,0.9,False,39,53570,3374918,1411200,1207890,-1202804,-1204905,-1246567,-42689,,,0.418,22.55,low
low_bpd,70,63.0,1965904,0.9,False,39,53570,3374918,1411200,1207890,-1360076,-1361554,-1395005,-34176,,,0.418,22.55,base
low_bpd,70,63.0,2201813,0.9,False,39,53570,3374918,1411200,1207890,-1595985,-1596528,-1619526,-23402,,,0.418,22.55,high
low_bpd,80,72.0,1808632,0.9,False,44,56361,4058051,1741170,1328777,-970528,-991075,-1067680,-79155,,,0.429,23.58,low
low_bpd,80,72.0,1965904,0.9,False,44,56361,4058051,1741170,1328777,-1127800,-1147724,-1213285,-67541,,,0.429,23.58,base
low_bpd,80,72.0,2201813,0.9,False,44,56361,4058051,1741170,1328777,-1363709,-1382698,-1433520,-52136,,,0.429,23.58,high
low_bpd,90,81.0,1808632,0.9,False,49,58799,4762763,2095904,1445605,-737378,-778491,-895041,-121323,,,0.44,24.59,low
low_bpd,90,81.0,1965904,0.9,False,49,58799,4762763,2095904,1445605,-894650,-935140,-1038269,-107026,,,0.44,24.59,base
low_bpd,90,81.0,2201813,0.9,False,49,58799,4762763,2095904,1445605,-1130559,-1170114,-1254909,-87622,,,0.44,24.59,high
low_bpd,100,90.0,1808632,0.9,False,53,60537,5448400,2457515,1536424,-504171,-568914,-728343,-167050,,,0.451,25.38,low
low_bpd,100,90.0,1965904,0.9,False,53,60537,5448400,2457515,1536424,-661443,-725563,-869600,-150463,,,0.451,25.38,base
low_bpd,100,90.0,2201813,0.9,False,53,60537,5448400,2457515,1536424,-897352,-960537,-1083088,-127454,,,0.451,25.38,high
base_bpd,50,45.0,1808632,0.9,False,45,115473,5196289,2048957,2131215,-942515,-966029,-1044870,-81547,,,0.394,18.46,low
base_bpd,50,45.0,1965904,0.9,False,45,115473,5196289,2048957,2131215,-1099787,-1122678,-1190104,-69519,,,0.394,18.46,base
base_bpd,50,45.0,2201813,0.9,False,45,115473,5196289,2048957,2131215,-1335696,-1357652,-1409875,-53603,,,0.394,18.46,high
base_bpd,60,54.0,1808632,0.9,False,57,129976,7018718,2844782,2589047,-373743,-458735,-633482,-184024,,,0.405,19.92,low
base_bpd,60,54.0,1965904,0.9,False,57,129976,7018718,2844782,2589047,-531015,-615383,-773213,-165620,,,0.405,19.92,base
base_bpd,60,54.0,2201813,0.9,False,57,129976,7018718,2844782,2589047,-766924,-850357,-984683,-140246,,,0.405,19.92,high
base_bpd,70,63.0,1808632,0.9,False,69,142069,8950376,3732466,3020941,238337,71442,-219867,-312085,28.0,,0.417,21.26,low
