month,oil_bpd,oil_bbl,water_bbl,field_price,revenue,royalties,opex,netback,live,capital,cf_btax,tax,cf_atax,disc_factor
1,180.0,5475.6,3938.54734809783,63.0,344962.80000000005,142870.3027984,66498.37888131796,135594.11832028208,True,-1965904.0,-1830309.881679718,-28391.335496084623,-1858701.2171758024,0.9960366175231666
2,169.15100994749577,5145.573722602821,3977.4606467542767,63.0,324171.14452397777,134286.9252515447,64232.156590821854,125652.06268161122,True,0.0,125652.06268161122,-25664.6958878167,99987.36679379453,0.988156915513073
3,159.4804601342873,4851.39559728502,4015.696852458562,63.0,305637.92262895626,126635.89232306674,62223.63285080672,116778.3974550828,True,0.0,116778.3974550828,-23253.24054728873,93525.15690779407,0.9803395502712021
4,150.80894704202456,4587.608169018387,4053.309531580879,63.0,289019.3146481584,119775.26562756993,60433.41520302116,108810.63381756729,True,0.0,108810.63381756729,-21108.333928726497,87702.29988884079,0.9725840286478552
5,142.9914737158313,4349.800630435588,4090.3281849413897,63.0,274037.43971744203,113590.32816367215,58829.621171717525,101617.49038205235,True,0.0,101617.49038205235,-19190.700402583338,82426.789979469,0.9648898613946686
6,135.90961188900906,4134.370393663656,4126.764327567588,63.0,260465.33480081032,107987.38323514891,57386.169418656165,95091.78214700524,True,0.0,95091.78214700524,-17468.290988569883,77623.49115843535,0.9572565631337503
7,129.46570779991018,3938.346831273268,4162.615906688359,63.0,248115.8503702159,102889.17027663549,56081.51622346835,89145.16387011204,True,0.0,89145.16387011204,-15914.706414992163,73230.45745511987,0.9496836523270601
8,123.578537001723,3759.2590955924143,4197.870568501231,63.0,236833.3230223221,98231.42707665918,54897.707790674,83704.18815498892,True,0.0,83704.18815498892,-14508.01459099776,69196.17356399116,0.9421706512460326
9,118.18000309211544,3595.035694062152,4232.508115102442,63.0,226487.24872591556,93960.27791702226,53819.66015603354,78707.31065285976,True,0.0,78707.31065285976,-13229.852212348569,65477.45844051119,0.9347170859414399
10,113.21259956690068,3443.9272788251187,4266.502383741837,63.0,216967.4185659825,90030.22547175741,52834.605518643075,74102.587575582,True,0.0,74102.587575582,-12064.734059655022,62037.85351592698,0.9273224862134932
