file,page,engine,line
201808 Tecolutla-10 Oil Analysis (Distillation) - Corelab.pdf,5,rapidocr,DensityofSample 0.8863
201808 Tecolutla-10 Oil Analysis (Distillation) - Corelab.pdf,5,rapidocr,DensityofSample 0.8916
201808 Tecolutla-10 Oil Analysis (Distillation) - Corelab.pdf,5,tesseract,Density of Sample 0.8863
201808 Tecolutla-10 Oil Analysis (Distillation) - Corelab.pdf,5,tesseract,Density of Sample 0.8916
20181126 Tecolutla-10 Oil Analysis Report - Intertek.pdf,1,rapidocr,GravedadAPI(60°F)(+) ASTMD4052-18 AREPORTAR 30.42
20181126 Tecolutla-10 Oil Analysis Report - Intertek.pdf,1,rapidocr,2 Densidad a(60°F)(+) ASTMD4052-18 AREPORTAR g/cm3 0.8734
20181126 Tecolutla-10 Oil Analysis Report - Intertek.pdf,1,rapidocr,4 Azufre(+) ASTMD-4294-16 AREPORTAR %masa 1.66
20181126 Tecolutla-10 Oil Analysis Report - Intertek.pdf,1,rapidocr,7 ClorurosOrganicos(+) ASTMD-4929-15 AREPORTAR 6/6n <1
20181126 Tecolutla-10 Oil Analysis Report - Intertek.pdf,1,rapidocr,10 Aguay sedimento(+) ASTMD-4007-11(2016) AREPORTAR %VN 0.025
20181126 Tecolutla-10 Oil Analysis Report - Intertek.pdf,1,tesseract,1 |Gravedad API (60 *F) (+) | ASTM D4052-18 A REPORTAR - 30.42
20181126 Tecolutla-10 Oil Analysis Report - Intertek.pdf,1,tesseract,2 |Densidad a (60 °F) (+) ASTM D4052-18 : A REPORTAR g/cm? 0.873 4
20181126 Tecolutla-10 Oil Analysis Report - Intertek.pdf,1,tesseract,7 |Cloruros Organicos (+) | ASTMD-4929-18 | AREPORTAR ug/g 1
20181126 Tecolutla-10 Oil Analysis Report - Intertek.pdf,1,tesseract,10 |Agua y sedimento (+) | ASTM D-4007-11 (2016) | A REPORTAR % VN | 0.025
20181214 Tecolutla-10 Oil Analysis Report - Intertek.pdf,2,rapidocr,"Intertek, para cumplir con cualquier ley, ordenanza, reglamento, regla u orden de cualquier organismo gubemamental o judicial (2) informacion proporcionada por"
20181214 Tecolutla-10 Oil Analysis Report - Intertek.pdf,2,tesseract,"Intertek, para cumplir con cualquier ley, ordenanza, reglamento, regla u orden de cualquier organismo gubemamental o judicial (2) información proporcionada por"
20181214 Tecolutla-10 Oil Analysis Report - Intertek.pdf,6,rapidocr,"4. Si es requerido, realizamos ""Calculos de mediciones preliminares por suspension de carga"", solo para propositos de comparacion. La"
20181214 Tecolutla-10 Oil Analysis Report - Intertek.pdf,6,tesseract,"4. Si es requerido, realizamos ""Cálculos de mediciones preliminares por suspensión de carga”, sólo para propósitos de comparación. La"
20181214 Tecolutla-10 Oil Analysis Report - Intertek.pdf,7,rapidocr,1 Gravedad API(60 °F)(+) ASTM D4052-18 AREPORTAR 30.78
20181214 Tecolutla-10 Oil Analysis Report - Intertek.pdf,7,rapidocr,2 Densidad a (60 °F) (+) ASTMD4052-18 AREPORTAR g/cm3 0.8717
20181214 Tecolutla-10 Oil Analysis Report - Intertek.pdf,7,rapidocr,Cloruros Organicos(+) ASTM D-4929-15 AREPORTAR 6/6n <1
20181214 Tecolutla-10 Oil Analysis Report - Intertek.pdf,7,rapidocr,10 Agua y sedimento (+) ASTMD-4007-11(2016) AREPORTAR %VN 4.0
20181214 Tecolutla-10 Oil Analysis Report - Intertek.pdf,7,tesseract,1 [Gravedad API (60 °F) (+) ASTM D4052-18 A REPORTAR - 30.78
20181214 Tecolutla-10 Oil Analysis Report - Intertek.pdf,7,tesseract,2 |Densidad a (60 *F) (+) ASTM D4052-18 A REPORTAR gicm® 0.8717
20181214 Tecolutla-10 Oil Analysis Report - Intertek.pdf,7,tesseract,4 | Azufre (+) a ASTM D-4294-16 A REPORTAR % masa 1.08
20181214 Tecolutla-10 Oil Analysis Report - Intertek.pdf,7,tesseract,7 ¡Cloruros Organicos(+) __ ASTM D-4929-15 | AREPORTAR <A
20181214 Tecolutla-10 Oil Analysis Report - Intertek.pdf,7,tesseract,10 [Agua y sedimento (+) ASTM D-4007-11 (2016) AREPORTAR 40
20190118 Tecolutla-10 Oil Analysis Report - Intertek.pdf,2,tesseract,"Intertek, para cumplir con cualquier ley, ordenanza, reglamento, regla u orden de cualquier organismo gubernamental o judicial (2) información proporcionada por"
20190118 Tecolutla-10 Oil Analysis Report - Intertek.pdf,6,tesseract,"4. —Sies requerido, realizamos ""Cálculos de mediciones preliminares por suspensión de carga”, sólo para propósitos de comparación. La"
20190118 Tecolutla-10 Oil Analysis Report - Intertek.pdf,7,rapidocr,ASTMD4052-18 AGravedadAPI 30.1 °API AReportar
20190118 Tecolutla-10 Oil Analysis Report - Intertek.pdf,7,rapidocr,AGravedadEspecifica20°C/4°℃ 0.8681 AReportar
20190118 Tecolutla-10 Oil Analysis Report - Intertek.pdf,7,rapidocr,ASTMD4294-16 AAzufretotal 1.57 %masa A Reportar
20190118 Tecolutla-10 Oil Analysis Report - Intertek.pdf,7,rapidocr,ContenidodeCloruros <1 μg/g AReportar
20190118 Tecolutla-10 Oil Analysis Report - Intertek.pdf,7,rapidocr,ASTMD4007-11(2006) AAgua y Sedimento 0.30 Vol% AReportar
20190118 Tecolutla-10 Oil Analysis Report - Intertek.pdf,7,tesseract,ASTM D4052 -18 A Gravedad API 30.1 “API A Reportar
20190118 Tecolutla-10 Oil Analysis Report - Intertek.pdf,7,tesseract,A Gravedad Específica 20°C /4°C 0.8681 - A Reportar
20190118 Tecolutla-10 Oil Analysis Report - Intertek.pdf,7,tesseract,ASTM D4294-16 A Azufre total 1.57 %masa A Reportar
20190118 Tecolutla-10 Oil Analysis Report - Intertek.pdf,7,tesseract,Contenido de Cloruros <1 ug/g A Reportar
20190118 Tecolutla-10 Oil Analysis Report - Intertek.pdf,7,tesseract,ASTM D4007-11(2006) A Agua y Sedimento 0.30 Vol % A Reportar
Historical_Oil_Analysis_Tecolutla_Field.pdf,1,rapidocr,40%Destilado: 250 Densidada20/4°℃
Historical_Oil_Analysis_Tecolutla_Field.pdf,1,rapidocr,325 ℃ Viscosidada 50 OC 39
Historical_Oil_Analysis_Tecolutla_Field.pdf,1,rapidocr,65%Destllado: C Viscosidada nss
Historical_Oil_Analysis_Tecolutla_Field.pdf,1,tesseract,"40% Destilado: __@mg ""CC “Densidad @ 20/4 °C______@ ga,"
Historical_Oil_Analysis_Tecolutla_Field.pdf,1,tesseract,- 50% Destilado: ——495——————%€.— Viscosidada EQ Cc __4#@ s5su
Historical_Oil_Analysis_Tecolutla_Field.pdf,1,tesseract,60% Desttlado! => AAA A Viscosidad a TG St E SS
