DEPT,CGXT,SMTU,gr,nprl,CLDC,DCOR,den,pe,dprl,GRGM,HVOL,AVOL,NPOR,NPRS,NPRD,DPOR,DPRS,DPRD,HDEN,CILS,CILM,CILD,res_ilm,res_ild,BIT,mss
2255.0,91.729405,2398.0,60.478545,0.155005,6.296603,-0.54701,2.301593,12.890742,0.239713,83.47195,0.000502,0.000246,0.171546,0.213052,0.139039,0.239713,0.212067,0.304765,2.30009,5e-05,5e-05,5e-05,20000000.0,20000000.0,8.75,2225.076206896552
2255.025,91.732881,2396.75,59.949037,0.14943,6.296603,-0.547814,2.313211,12.931426,0.233492,82.613225,0.000502,0.000246,0.165319,0.206786,0.133836,0.233492,0.205619,0.299076,2.310729,5e-05,5e-05,5e-05,20000000.0,20000000.0,8.75,2225.099775862069
2255.05,91.750186,2397.75,59.811352,0.146953,6.296603,-0.547995,2.325871,12.870594,0.22548,81.631728,0.000502,0.000246,0.162549,0.203977,0.131521,0.22548,0.197315,0.291749,2.32443,5e-05,5e-05,5e-05,20000000.0,20000000.0,8.75,2225.123344827586
2255.075,91.793671,2398.0,60.957539,0.148481,6.296603,-0.547576,2.339682,12.782409,0.216833,79.911061,0.000502,0.000246,0.164247,0.20563,0.132939,0.216833,0.188355,0.283842,2.339215,5e-05,5e-05,5e-05,20000000.0,20000000.0,8.75,2225.146913793103
2255.1,91.734775,2397.5,62.270453,0.153628,6.296603,-0.547168,2.352896,12.655428,0.207575,78.515689,0.000502,0.000246,0.169985,0.211325,0.137732,0.207575,0.17876,0.275376,2.355047,5e-05,5e-05,5e-05,20000000.0,20000000.0,8.75,2225.1704827586204
2255.125,91.733867,2399.0,62.452758,0.161237,6.296603,-0.547421,2.36323,12.535065,0.199291,77.360429,0.000502,0.000246,0.178472,0.219784,0.144823,0.199291,0.170175,0.267801,2.369212,5e-05,5e-05,5e-05,20000000.0,20000000.0,8.75,2225.194051724138
2255.15,91.71642,2400.75,60.528448,0.168371,6.296603,-0.548767,2.368967,12.520376,0.19482,76.859676,0.000502,0.000246,0.186434,0.227744,0.151475,0.19482,0.16554,0.263712,2.376858,5e-05,5e-05,5e-05,20000000.0,20000000.0,8.75,2225.217620689655
2255.175,91.714108,2400.5,58.129047,0.17208,6.296578,-0.551542,2.368604,12.654953,0.195251,76.945351,0.000502,0.000246,0.190575,0.231897,0.154934,0.195251,0.165988,0.264107,2.37612,5e-05,5e-05,5e-05,20000000.0,20000000.0,8.75,2225.2411896551725
2255.2,91.741563,2399.25,55.51367,0.173105,6.29656,-0.555793,2.361697,12.78944,0.200086,78.458156,0.000502,0.000246,0.191716,0.233022,0.155888,0.200086,0.170998,0.268528,2.367853,5e-05,5e-05,5e-05,20000000.0,20000000.0,8.75,2225.2647586206895
2255.225,91.74173,2400.25,52.904413,0.174548,6.296558,-0.560392,2.351222,12.912947,0.208683,81.257838,0.000502,0.000246,0.193312,0.234527,0.157221,0.208683,0.179908,0.27639,2.353151,5e-05,5e-05,5e-05,20000000.0,20000000.0,8.75,2225.288327586207
2255.25,91.707878,2400.5,50.735341,0.177164,6.296583,-0.564149,2.340714,13.026994,0.219528,84.670554,0.000502,0.000246,0.19621,0.237286,0.159643,0.219528,0.191147,0.286306,2.334607,5e-05,5e-05,5e-05,20000000.0,20000000.0,8.75,2225.311896551724
2255.275,91.735429,2399.25,50.69058,0.179648,6.296601,-0.56588,2.333696,13.106157,0.225472,87.687874,0.000502,0.000246,0.198963,0.239919,0.161943,0.225472,0.197307,0.291742,2.324443,5e-05,5e-05,5e-05,20000000.0,20000000.0,8.75,2225.3354655172416
2255.3,91.744424,2398.75,51.916922,0.181186,6.296603,-0.565152,2.331436,13.035623,0.225975,88.965695,0.000502,0.000246,0.200671,0.24157,0.163369,0.225975,0.197829,0.292202,2.323582,5e-05,5e-05,5e-05,20000000.0,20000000.0,8.75,2225.359034482759
2255.325,91.734477,2398.75,52.485082,0.181395,6.296603,-0.561804,2.334578,12.923649,0.220579,87.945905,0.000502,0.000246,0.200906,0.241819,0.163565,0.220579,0.192237,0.287268,2.332809,5e-05,5e-05,5e-05,20000000.0,20000000.0,8.75,2225.3826034482754
2255.35,91.75367,2398.0,52.603289,0.179955,6.296578,-0.557072,2.339958,12.871593,0.215257,85.203438,0.000502,0.000246,0.199313,0.240317,0.162235,0.215257,0.186721,0.282401,2.34191,5e-05,5e-05,5e-05,20000000.0,20000000.0,8.75,2225.406172413793
2255.375,91.78192,2397.5,52.969248,0.178434,6.29656,-0.552315,2.34411,12.869242,0.21032,82.257274,0.000502,0.000246,0.197629,0.238718,0.160828,0.21032,0.181604,0.277886,2.350353,5e-05,5e-05,5e-05,20000000.0,20000000.0,8.75,2225.42974137931
