DEPT,TVD,ROP,gr,dtc,DTS,mss,sphi_wyllie
2352.9,2246.785,,,,,2242.085,
2353.0,2246.833,,,,,2242.1330000000003,
2353.1,2246.882,,,,,2242.1820000000002,
2353.2,2246.93,,,,,2242.23,
2353.3,2246.978,,,,,2242.2780000000002,
2353.4,2247.026,,,,,2242.326,
2353.5,2247.074,,,,,2242.3740000000003,
2353.6,2247.122,,,,,2242.422,
2353.7,2247.17,,,,,2242.4700000000003,
2353.8,2247.218,,,,,2242.518,
2353.9,2247.266,4.603,38.19,71.51,,2242.5660000000003,0.1696819787985866
2354.0,2247.314,5.686,39.62,70.99,,2242.614,0.16600706713780916
2354.1,2247.362,6.91,40.18,70.42,,2242.6620000000003,0.16197879858657244
2354.2,2247.41,6.995,40.84,70.02,,2242.71,0.1591519434628975
2354.3,2247.459,7.197,41.91,69.48,,2242.759,0.15533568904593642
2354.4,2247.507,6.658,43.8,69.03,,2242.8070000000002,0.15215547703180213
2354.5,2247.555,5.624,46.8,68.49,,2242.855,0.14833922261484095
2354.6,2247.603,5.241,43.3,68.32,,2242.9030000000002,0.14713780918727912
2354.7,2247.651,4.24,41.12,68.07,,2242.951,0.14537102473498228
2354.8,2247.699,3.808,40.29,67.65,,2242.9990000000003,0.1424028268551237
2354.9,2247.747,3.71,39.23,67.53,,2243.047,0.14155477031802122
2355.0,2247.795,3.413,37.22,67.47,,2243.0950000000003,0.14113074204946996
2355.1,2247.843,3.268,38.43,67.38,,2243.143,0.14049469964664307
2355.2,2247.891,3.038,38.81,66.59,,2243.1910000000003,0.13491166077738517
2355.3,2247.938,2.948,39.48,66.73,,2243.2380000000003,0.1359010600706714
2355.4,2247.986,2.836,41.78,66.49,,2243.286,0.1342049469964664
2355.5,2248.034,2.726,43.49,66.24,,2243.3340000000003,0.13243816254416957
2355.6,2248.082,2.515,44.69,66.06,,2243.382,0.1311660777385159
2355.7,2248.13,2.575,46.12,65.87,,2243.4300000000003,0.12982332155477036
2355.8,2248.178,2.519,46.17,66.3,,2243.478,0.13286219081272083
2355.9,2248.226,2.298,47.28,66.36,,2243.5260000000003,0.13328621908127208
2356.0,2248.274,2.349,46.63,66.45,,2243.574,0.13392226148409897
2356.1,2248.322,2.391,45.21,66.72,,2243.6220000000003,0.1358303886925795
2356.2,2248.37,2.337,45.93,66.56,,2243.67,0.13469964664310954
2356.3,2248.418,2.648,47.39,66.85,,2243.7180000000003,0.1367491166077738
2356.4,2248.466,2.96,47.28,67.11,,2243.766,0.13858657243816255
2356.5,2248.513,3.272,47.28,67.31,,2243.813,0.14
2356.6,2248.561,3.584,52.8,67.21,,2243.8610000000003,0.13929328621908124
2356.7,2248.609,3.895,52.8,66.87,,2243.909,0.13689045936395763
2356.8,2248.657,4.207,40.06,66.25,,2243.9570000000003,0.13250883392226148
2356.9,2248.705,4.519,27.38,65.02,,2244.005,0.1238162544169611
2357.0,2248.753,6.405,27.38,63.46,,2244.0530000000003,0.11279151943462898
2357.1,2248.8,7.495,27.38,61.31,,2244.1000000000004,0.09759717314487634
2357.2,2248.848,5.784,27.38,59.53,,2244.148,0.08501766784452297
2357.3,2248.896,6.571,21.94,57.39,,2244.1960000000004,0.06989399293286219
2357.4,2248.944,6.311,20.45,55.5,,2244.244,0.05653710247349823
2357.5,2248.992,6.127,18.89,54.35,,2244.2920000000004,0.04840989399293287
2357.6,2249.04,6.24,17.38,53.25,,2244.34,0.04063604240282685
2357.7,2249.087,6.472,16.03,52.56,,2244.387,0.03575971731448765
2357.8,2249.135,6.484,11.73,52.22,,2244.4350000000004,0.03335689045936395
2357.9,2249.183,6.498,10.28,52.08,,2244.483,0.032367491166077726
2358.0,2249.231,6.344,9.9,51.96,,2244.5310000000004,0.031519434628975274
2358.1,2249.278,6.17,9.51,51.74,,2244.578,0.029964664310954077
2358.2,2249.326,6.368,9.14,50.98,,2244.626,0.02459363957597171
2358.3,2249.374,5.904,11.97,50.56,,2244.674,0.02162544169611309
2358.4,2249.422,5.934,12.56,49.74,,2244.722,0.01583038869257952
2358.5,2249.469,6.08,13.87,49.01,,2244.7690000000002,0.010671378091872777
2358.6,2249.517,5.926,14.45,48.43,,2244.817,0.006572438162544167
2358.7,2249.565,6.8,15.33,47.8,,2244.8650000000002,0.0021201413427561636
2358.8,2249.612,7.337,15.7,47.03,,2244.9120000000003,0.0
2358.9,2249.66,9.09,16.21,47.29,,2244.96,0.0
2359.0,2249.708,11.175,15.37,47.54,,2245.0080000000003,0.00028268551236748516
2359.1,2249.755,13.555,14.72,48.35,,2245.0550000000003,0.006007067137809198
2359.2,2249.803,16.926,14.6,51.1,,2245.103,0.025441696113074216
2359.3,2249.851,20.402,12.84,51.1,,2245.1510000000003,0.025441696113074216
2359.4,2249.898,20.376,12.99,53.67,,2245.1980000000003,0.04360424028268552
2359.5,2249.946,19.623,12.99,53.67,,2245.246,0.04360424028268552
2359.6,2249.994,19.566,13.69,53.67,,2245.2940000000003,0.04360424028268552
2359.7,2250.041,17.936,13.69,53.35,,2245.3410000000003,0.041342756183745596
2359.8,2250.089,15.911,13.69,53.04,,2245.389,0.03915194346289752
2359.9,2250.137,12.547,13.63,52.73,,2245.4370000000004,0.036961130742049444
2360.0,2250.184,10.997,13.58,52.42,,2245.4840000000004,0.034770318021201424
2360.1,2250.232,10.296,13.58,52.11,,2245.532,0.032579505300353355
2360.2,2250.279,8.704,13.58,51.8,,2245.579,0.03038869257950528
2360.3,2250.327,7.456,13.58,51.48,,2245.6270000000004,0.02812720848056535
2360.4,2250.375,6.753,13.58,51.17,,2245.675,0.025936395759717328
2360.5,2250.422,6.709,13.58,50.86,,2245.722,0.023745583038869252
2360.6,2250.47,6.511,13.58,50.55,,2245.77,0.02155477031802118
2360.7,2250.517,5.96,11.97,50.24,,2245.817,0.01936395759717316
2360.8,2250.565,5.875,11.59,50.24,,2245.8650000000002,0.01936395759717316
2360.9,2250.612,5.881,11.22,51.46,,2245.9120000000003,0.027985865724381633
2361.0,2250.66,6.0,9.78,51.46,,2245.96,0.027985865724381633
2361.1,2250.707,6.084,9.78,51.46,,2246.007,0.027985865724381633
2361.2,2250.755,6.296,9.78,51.77,,2246.0550000000003,0.030176678445229706
2361.3,2250.802,6.331,9.78,52.43,,2246.1020000000003,0.03484098939929328
2361.4,2250.85,6.933,9.78,52.68,,2246.15,0.03660777385159011
2361.5,2250.897,7.089,9.78,52.8,,2246.197,0.03745583038869256
2361.6,2250.945,7.068,9.78,52.93,,2246.2450000000003,0.038374558303886926
2361.7,2250.992,6.5,10.76,53.68,,2246.2920000000004,0.04367491166077738
