DEPT,gr_cps,GRCC,TENS,mss
2119.925,,,,2115.925
2119.95,,,,2115.95
2119.975,,,,2115.975
2120.0,,,,2116.0
2120.025,,,,2116.025
2120.05,,,,2116.05
2120.075,,,,2116.075
2120.1,,,,2116.1
2120.125,,,,2116.125
2120.15,,,,2116.15
2120.175,,-2.945736,,2116.175
2120.2,,-2.93,,2116.2
2120.225,,4.999,,2116.225
2120.25,,-6.083,,2116.25
2120.275,,4.053,,2116.275
2120.3,,-4.139,,2116.3
2120.325,,1.034119,,2116.325
2120.35,,1.033,,2116.35
2120.375,,-0.85,,2116.375
2120.4,,-4.123,,2116.4
2120.425,,-7.006,,2116.425
2120.45,,2.977,,2116.45
2120.475,,0.188,,2116.475
2120.5,,1.383,,2116.5
2120.525,,-5.190797,,2116.525
2120.55,,-4.5091,,2116.55
2120.575,,-4.554,,2116.575
2120.6,,4.23,,2116.6
2120.625,,-7.646,,2116.625
2120.65,,-5.399,,2116.65
2120.675,,4.098,,2116.675
2120.7,,2.897,,2116.7
2120.725,,-7.741,,2116.725
2120.75,,-3.196382,,2116.75
2120.775,,-3.824,,2116.775
2120.8,,0.487,,2116.8
2120.825,,-3.892,,2116.825
2120.85,,-2.425,,2116.85
2120.875,,1.891,,2116.875
2120.9,,-7.341,,2116.9
2120.925,,-0.147,,2116.925
2120.95,,-4.773,,2116.95
2120.975,,1.382,,2116.975
2121.0,,-2.744383,,2117.0
2121.025,,-2.946,,2117.025
2121.05,,0.877,,2117.05
2121.075,,3.401,,2117.075
2121.1,,-4.113,,2117.1
2121.125,,-9.151,,2117.125
2121.15,,-0.906,,2117.15
2121.175,,3.569,,2117.175
2121.2,,6.008,,2117.2
2121.225,,1.298,,2117.225
2121.25,,-9.843,,2117.25
2121.275,,-3.066,,2117.275
2121.3,,-6.416,,2117.3
2121.325,,-3.824,,2117.325
2121.35,,2.475,,2117.35
2121.375,,5.369,,2117.375
2121.4,,-5.529363,,2117.4
2121.425,,-5.68,,2117.425
2121.45,,-2.378543,,2117.45
2121.475,,-2.258,,2117.475
2121.5,,0.881899,,2117.5
2121.525,50.797253,0.578,,2117.525
2121.55,51.634579,-1.799,,2117.55
2121.575,52.264565,3.217,,2117.575
2121.6,52.687214,-10.323,,2117.6
2121.625,53.077965,-2.478,,2117.625
2121.65,53.325176,-4.80202,,2117.65
2121.675,53.676056,-4.762,,2117.675
2121.7,53.939209,2.14,,2117.7
2121.725,53.923271,-1.35,,2117.725
2121.75,53.723907,0.414448,,2117.75
2121.775,53.412903,0.402,,2117.775
2121.8,53.085953,-1.963,,2117.8
2121.825,52.479881,-10.959,,2117.825
2121.85,52.033306,-1.363,,2117.85
2121.875,51.650532,1.438,,2117.875
2121.9,51.251801,-1.786,,2117.9
2121.925,50.661686,2.993,,2117.925
2121.95,49.936001,0.821,,2117.95
2121.975,49.27412,-2.075,,2117.975
2122.0,48.93121,-7.958,,2118.0
2122.025,48.540455,-5.982,,2118.025
2122.05,48.436787,-7.095,,2118.05
2122.075,48.317169,-0.939,,2118.075
2122.1,48.261345,2.823,,2118.1
