DEPT,gr,GR_NRM,res_ln,MINV,MNOR,nphi,res_sn,SP,SP_NRM,mss
2290.1,62.121,73.49,945.455,,,,,-8.182,-92.498,2286.1
2290.2,62.364,73.927,945.452,,,,,-7.745,-92.231,2286.2
2290.3,63.636,76.223,945.421,,,,,-5.455,-90.831,2286.3
2290.4,63.636,76.223,945.39,,,,,-5.455,-90.831,2286.4
2290.5,63.636,76.223,945.36,,,,,-5.455,-90.831,2286.5
2290.6,64.197,77.234,945.33,,,,,-4.446,-90.214,2286.6
2290.7,64.394,77.589,945.299,,,,,-4.091,-89.997,2286.7
2290.8,64.879,78.463,945.269,,,,,-3.218,-89.464,2286.8
2290.9,64.985,78.655,945.238,,,,,-3.027,-89.347,2286.9
2291.0,63.182,75.403,945.207,,,,,-6.273,-91.331,2287.0
2291.1,62.879,74.856,945.177,,,,,-6.818,-91.664,2287.1
2291.2,62.879,74.856,945.146,,,,,-6.818,-91.664,2287.2
2291.3,62.879,74.856,945.116,,,,,-6.818,-91.664,2287.3
2291.4,62.879,74.856,945.086,,,,,-6.818,-91.664,2287.4
2291.5,62.879,74.856,945.055,,,,,-6.818,-91.664,2287.5
2291.6,63.636,76.223,945.024,,,,,-5.455,-90.831,2287.6
2291.7,64.288,77.398,944.994,,,,,-4.282,-90.114,2287.7
2291.8,65.485,79.556,944.964,,,,,-2.127,-88.797,2287.8
2291.9,65.909,80.322,944.933,,,,,-1.364,-88.33,2287.9
2292.0,66.364,81.141,944.903,,,,,-0.545,-87.83,2288.0
2292.1,66.735,81.811,944.872,,,,,0.123,-87.421,2288.1
2292.2,67.333,82.89,944.842,,,,,1.2,-86.763,2288.2
2292.3,68.439,84.885,944.811,,,,,3.191,-85.546,2288.3
2292.4,69.288,86.415,944.781,,,,,4.718,-84.612,2288.4
2292.5,69.697,87.153,944.75,,,,,5.455,-84.162,2288.5
2292.6,70.515,88.628,944.72,,,,,6.927,-83.262,2288.6
2292.7,71.212,89.885,944.689,,,,,8.182,-82.495,2288.7
2292.8,72.151,91.579,944.659,,,,,9.873,-81.462,2288.8
2292.9,73.97,94.858,944.628,,,,,13.146,-79.461,2288.9
2293.0,74.242,95.35,944.598,,,,,13.636,-79.161,2289.0
2293.1,74.242,95.35,944.567,,,,,13.636,-79.161,2289.1
2293.2,74.667,96.115,944.537,,,,,14.4,-78.694,2289.2
2293.3,75.758,98.083,944.506,,,,,16.364,-77.494,2289.3
2293.4,75.212,97.099,944.476,,,,,15.382,-78.094,2289.4
2293.5,74.318,95.487,944.445,,,,,13.773,-79.078,2289.5
2293.6,71.394,90.213,944.415,,,,,8.509,-82.295,2289.6
2293.7,66.5,81.387,944.384,,,,,-0.3,-87.68,2289.7
2293.8,62.818,74.747,944.354,,,,,-6.927,-91.731,2289.8
2293.9,60.894,71.277,944.323,,,,,-10.391,-93.848,2289.9
2294.0,60.303,70.211,944.293,,,,,-11.454,-94.499,2290.0
2294.1,59.091,68.025,944.262,,,,,-13.636,-95.832,2290.1
2294.2,59.091,68.025,944.232,,,,,-13.636,-95.832,2290.2
2294.3,59.091,68.025,944.201,,,,,-13.636,-95.832,2290.3
2294.4,60.636,70.813,944.171,,,,,-10.854,-94.132,2290.4
2294.5,61.364,72.124,944.14,,,,,-9.546,-93.332,2290.5
2294.6,61.364,72.124,944.11,,,,,-9.546,-93.332,2290.6
2294.7,61.364,72.124,944.079,,,,,-9.546,-93.332,2290.7
2294.8,60.727,70.976,944.049,,,,,-10.691,-94.032,2290.8
2294.9,56.818,63.927,944.018,,,,,-17.727,-98.333,2290.9
2295.0,56.818,63.927,943.988,,,,,-17.727,-98.333,2291.0
2295.1,56.818,63.927,943.957,,,,,-17.727,-98.333,2291.1
2295.2,59.909,69.501,943.927,,,,,-12.164,-94.932,2291.2
2295.3,60.508,70.58,943.896,,,,,-11.086,-94.273,2291.3
2295.4,60.106,69.856,943.866,,,,,-11.809,-94.715,2291.4
2295.5,59.167,68.162,943.835,,,,,-13.5,-95.749,2291.5
2295.6,57.97,66.003,943.805,,,,,-15.655,-97.066,2291.6
2295.7,57.485,65.129,943.774,,,,,-16.527,-97.599,2291.7
2295.8,56.061,62.56,943.744,,,,,-19.091,-99.166,2291.8
2295.9,55.894,62.26,943.713,,,,,-19.391,-99.35,2291.9
2296.0,55.303,61.194,943.683,,,,,-20.454,-100.0,2292.0
2296.1,55.303,61.194,943.652,,,,,-20.454,-100.0,2292.1
2296.2,58.939,67.752,943.622,,,,,-13.909,-95.999,2292.2
2296.3,61.424,72.233,943.591,,,,,-9.436,-93.265,2292.3
2296.4,63.818,76.551,943.561,,,,,-5.127,-90.631,2292.4
2296.5,65.682,79.912,943.53,,,,,-1.773,-88.58,2292.5
2296.6,66.667,81.688,943.5,,,,,0.0,-87.496,2292.6
2296.7,67.318,82.863,943.469,,,,,1.173,-86.78,2292.7
2296.8,67.424,83.054,943.439,,,,,1.364,-86.663,2292.8
2296.9,68.97,85.841,943.408,,,,,4.146,-84.962,2292.9
2297.0,73.636,94.257,943.378,,,,,12.546,-79.828,2293.0
2297.1,78.235,102.55,943.347,,,,,20.823,-74.768,2293.1
2297.2,80.03,105.788,943.317,,,,,24.055,-72.792,2293.2
2297.3,79.796,105.365,943.286,,,,,23.632,-73.051,2293.3
2297.4,79.546,104.914,943.256,,,,,23.182,-73.326,2293.4
2297.5,79.546,104.914,943.225,,,,,23.182,-73.326,2293.5
2297.6,79.485,104.805,943.195,,,,,23.073,-73.393,2293.6
2297.7,78.788,103.548,943.164,,,,,21.818,-74.159,2293.7
2297.8,78.788,103.548,943.134,,,,,21.818,-74.159,2293.8
2297.9,78.788,103.548,943.104,,,,,21.818,-74.159,2293.9
