DEPT,CGXT,DNND,DNFD,SMTU,gr,CCLG,NPRS,NPOR,nprl,NPRD,BIT,mss
2150.1,95.139183,3024.051025,184.211166,1904.999878,72.716988,239.617432,0.382297,0.396961,0.326445,0.29704,9.5,2146.1
2150.2,95.159836,2982.572754,124.925041,1904.999878,73.758171,313.122559,0.381041,0.395291,0.32494,0.295652,9.5,2146.2
2150.3,95.16008,3143.415039,160.225128,1904.999878,73.938148,869.992798,0.381338,0.395636,0.325219,0.295907,9.5,2146.3
2150.4,95.149529,3149.683594,144.161682,1907.499878,74.179146,-201.365234,0.386659,0.402459,0.331196,0.301395,9.5,2146.4
2150.5,95.153549,3071.423584,152.508713,1908.749878,74.233612,-490.942383,0.389094,0.405577,0.333923,0.303899,9.5,2146.5
2150.6,95.151077,3147.571533,168.039581,1909.999878,74.234322,1665.279297,0.389731,0.406375,0.334609,0.304528,9.5,2146.6
2150.7,95.160316,3295.969727,125.997948,1909.999878,73.996712,879.760864,0.388829,0.405203,0.333572,0.303573,9.5,2146.7
2150.8,95.166573,3013.614502,152.506012,1909.999878,74.189713,-39.102966,0.391037,0.408091,0.336143,0.305941,9.5,2146.8
2150.9,95.166336,3051.454346,177.954025,1911.249878,72.988503,206.137695,0.397364,0.416382,0.343545,0.312764,9.5,2146.9
2151.0,95.166817,3147.63501,144.17984,1909.999878,70.986938,178.360291,0.404674,0.42597,0.35211,0.320659,9.5,2147.0
2151.1,95.168427,2998.280518,125.996529,1908.749878,68.798454,-609.397339,0.413399,0.437358,0.36224,0.329987,9.5,2147.1
2151.2,95.175781,3093.637939,142.970703,1908.749878,68.055267,-2001.185791,0.416675,0.441638,0.366044,0.333488,9.5,2147.2
2151.3,95.178703,3037.659668,128.186066,1911.249878,67.127823,308.132324,0.412538,0.436326,0.361383,0.329205,9.5,2147.3
2151.4,95.172623,3065.079346,150.581497,1911.249878,67.242165,1571.028809,0.397556,0.416993,0.344343,0.313533,9.5,2147.4
2151.5,95.180229,3091.589844,144.179535,1912.499878,67.666702,250.080872,0.378891,0.392954,0.323186,0.294079,9.5,2147.5
2151.6,95.189018,3091.622314,177.739639,1911.249878,69.137367,317.0,0.360108,0.368827,0.301995,0.274599,9.5,2147.6
2151.7,95.182877,3055.31665,163.426102,1909.999878,69.381721,-343.757385,0.349384,0.355111,0.289995,0.263576,9.5,2147.7
2151.8,95.187439,3063.782227,162.048721,1909.999878,70.979164,-539.188538,0.34795,0.353287,0.288404,0.262113,9.5,2147.8
2151.9,95.199692,3020.678711,177.747604,1909.999878,72.268311,549.875,0.357161,0.365069,0.29871,0.271578,9.5,2147.9
2152.0,95.192146,3097.788574,162.668579,1908.749878,74.06382,400.232056,0.369771,0.381156,0.312753,0.284473,9.5,2148.0
2152.1,95.196854,3177.024414,129.244781,1908.749878,75.350235,-381.143066,0.381378,0.395903,0.325589,0.296257,9.5,2148.1
2152.2,95.19912,3201.834961,146.934601,1908.749878,77.441399,-814.827759,0.389941,0.406778,0.335051,0.304942,9.5,2148.2
2152.3,95.210533,3081.832764,155.104645,1909.999878,78.70681,412.922485,0.393094,0.410754,0.338491,0.308098,9.5,2148.3
2152.4,95.201599,3099.054199,153.7948,1908.749878,78.759834,835.501648,0.391044,0.408079,0.336116,0.305913,9.5,2148.4
2152.5,95.216736,3088.411865,160.238663,1908.749878,77.689354,-756.176514,0.384658,0.399843,0.32887,0.299256,9.5,2148.5
2152.6,95.227112,3084.868896,128.13118,1908.749878,76.575699,-174.611877,0.381252,0.395456,0.325013,0.295711,9.5,2148.6
2152.7,95.213097,3057.385498,169.834351,1908.749878,75.52224,-116.625,0.380416,0.394399,0.324098,0.294872,9.5,2148.7
2152.8,95.218941,3074.062012,162.053833,1907.499878,74.125084,96.951904,0.383958,0.398981,0.328137,0.298585,9.5,2148.8
2152.9,95.239716,3103.443115,147.388214,1909.999878,73.69146,813.817505,0.39087,0.407992,0.336142,0.305954,9.5,2148.9
2153.0,95.229851,3059.967285,134.563568,1909.999878,73.075111,-357.44458,0.402556,0.423181,0.349602,0.318339,9.5,2149.0
2153.1,95.233902,3043.523193,153.778961,1911.249878,72.454216,-672.515991,0.412106,0.435602,0.360614,0.328474,9.5,2149.1
2153.2,95.233368,3064.019287,137.781235,1909.999878,71.665283,255.448547,0.41387,0.437927,0.362697,0.330394,9.5,2149.2
2153.3,95.232864,3043.061035,109.834595,1909.999878,71.059151,482.866821,0.408276,0.430727,0.356372,0.324583,9.5,2149.3
2153.4,95.241982,3163.38916,166.631424,1907.499878,71.013588,-589.330872,0.399351,0.419149,0.346129,0.31516,9.5,2149.4
2153.5,95.253662,3170.718994,168.418793,1908.749878,70.719551,-559.432983,0.390661,0.407802,0.336034,0.305865,9.5,2149.5
2153.6,95.252533,3103.433838,153.155411,1906.249878,71.585297,700.76947,0.384924,0.400279,0.329317,0.299674,9.5,2149.6
2153.7,95.238373,3162.106934,147.425888,1906.249878,72.804237,548.014709,0.384868,0.400131,0.329132,0.299496,9.5,2149.7
2153.8,95.261383,3154.563232,149.891235,1904.999878,75.478928,-307.216736,0.389676,0.406306,0.334547,0.304469,9.5,2149.8
2153.9,95.256142,3071.55127,162.047165,1904.999878,77.047218,-933.845642,0.393436,0.411122,0.338762,0.308339,9.5,2149.9
2154.0,95.251671,3188.735352,133.441269,1903.749878,79.046745,-655.457153,0.397692,0.416659,0.34367,0.312854,9.5,2150.0
2154.1,95.260071,3078.954834,158.335999,1903.749878,79.174034,741.882385,0.402018,0.422326,0.348724,0.31751,9.5,2150.1
2154.2,95.260071,3253.991211,153.803223,1902.499878,78.689651,-312.073486,0.409634,0.432289,0.357597,0.325682,9.5,2150.2
2154.3,95.27533,3136.757324,146.629074,1901.249878,76.444954,-108.794128,0.412203,0.435692,0.360661,0.32851,9.5,2150.3
2154.4,95.275627,3230.249756,127.088417,1901.249878,73.950531,648.015503,0.41092,0.434106,0.359317,0.327282,9.5,2150.4
2154.5,95.269821,3086.049561,150.575912,1902.499878,72.936333,-48.0,0.401592,0.422089,0.34875,0.317572,9.5,2150.5
2154.6,95.283264,3212.791504,150.592972,1903.749878,72.083107,455.913086,0.391501,0.409041,0.337238,0.306986,9.5,2150.6
2154.7,95.271576,3133.242188,174.507751,1904.999878,70.612206,330.704651,0.38022,0.394389,0.324263,0.29505,9.5,2150.7
2154.8,95.275627,3282.64502,168.430908,1903.749878,68.035919,116.784607,0.375695,0.38845,0.31896,0.290163,9.5,2150.8
2154.9,95.276436,3254.190674,163.403839,1902.499878,66.322227,-43.395813,0.373841,0.38601,0.316774,0.288149,9.5,2150.9
2155.0,95.293152,3177.561768,135.694763,1901.249878,64.234604,31.113892,0.376769,0.389746,0.320035,0.291142,9.5,2151.0
2155.1,95.291245,3069.976074,168.407898,1902.499878,64.219025,-861.786743,0.376638,0.389559,0.319859,0.290979,9.5,2151.1
2155.2,95.296555,3243.431641,158.867905,1901.249878,65.969383,-1115.356445,0.374683,0.387044,0.317653,0.288954,9.5,2151.2
2155.3,95.300102,3199.464355,168.410507,1901.249878,69.439651,-340.860962,0.367021,0.377296,0.309163,0.281161,9.5,2151.3
2155.4,95.305496,3257.603027,150.598114,1901.249878,70.342087,46.416382,0.357923,0.365836,0.299246,0.272059,9.5,2151.4
2155.5,95.299652,3240.806641,173.049301,1899.999878,68.985405,746.362305,0.347907,0.353251,0.288375,0.262081,9.5,2151.5
2155.6,95.302574,3295.596924,184.186111,1898.749878,65.92794,1048.590942,0.339198,0.342373,0.279016,0.253493,9.5,2151.6
2155.7,95.30323,3306.407227,179.468918,1897.499878,63.859829,-1153.391113,0.332278,0.333699,0.271538,0.24663,9.5,2151.7
2155.8,95.309074,3153.856445,201.929779,1898.749878,61.298599,-686.830933,0.328242,0.328657,0.267199,0.242649,9.5,2151.8
2155.9,95.305939,3406.245361,160.201035,1897.499878,62.754333,1486.176514,0.32962,0.330342,0.26863,0.243963,9.5,2151.9
2156.0,95.317596,3271.548096,192.293961,1896.249878,64.82489,515.49176,0.335064,0.337132,0.274466,0.249319,9.5,2152.0
2156.1,95.311989,3427.519775,190.671478,1894.999878,68.124275,-1669.896973,0.343983,0.348281,0.284064,0.258128,9.5,2152.1
2156.2,95.314468,3202.54834,158.865906,1896.249878,67.163376,-5602.587402,0.353365,0.360091,0.294275,0.267498,9.5,2152.2
2156.3,95.324211,3164.536377,169.863068,1898.749878,67.24601,-12600.22168,0.361763,0.370653,0.303402,0.275874,9.5,2152.3
2156.4,95.334198,3206.310303,161.570618,1899.999878,65.8069,-5643.728027,0.366534,0.376664,0.308603,0.280646,9.5,2152.4
2156.5,95.31694,3372.972412,158.892746,1899.999878,66.249542,12196.173828,0.365155,0.374925,0.307097,0.279264,9.5,2152.5
2156.6,95.336578,3246.954346,156.984207,1901.249878,64.55529,9622.816406,0.357942,0.365891,0.299311,0.272119,9.5,2152.6
2156.7,95.344299,3286.4646,189.088776,1899.999878,63.991806,1364.876831,0.344841,0.349542,0.285249,0.25921,9.5,2152.7
2156.8,95.338127,3419.576904,177.717743,1901.249878,62.0228,1695.296143,0.327918,0.328685,0.267439,0.242849,9.5,2152.8
2156.9,95.33947,3548.063477,195.498428,1899.999878,60.35429,300.597412,0.308612,0.305142,0.247459,0.22448,9.5,2152.9
2157.0,95.337563,3948.963135,229.573196,1899.999878,58.893124,-617.10144,0.290225,0.282991,0.228795,0.207306,9.5,2153.0
2157.1,95.348534,4110.687012,243.625504,1899.999878,59.494541,-432.655396,0.276329,0.266314,0.214777,0.194402,9.5,2153.1
2157.2,95.339592,4080.624023,297.534424,1899.999878,61.694878,349.797119,0.269445,0.258085,0.207875,0.188048,9.5,2153.2
2157.3,95.346329,3699.512451,253.297302,1899.999878,65.550774,1071.797119,0.271669,0.260716,0.210069,0.19007,9.5,2153.3
2157.4,95.361382,3586.381104,246.843735,1898.749878,69.475548,626.485474,0.280898,0.271714,0.219276,0.19855,9.5,2153.4
2157.5,95.342331,3618.107666,222.534607,1897.499878,73.022621,24.843567,0.29537,0.288994,0.23376,0.211889,9.5,2153.5
2157.6,95.363525,3466.837891,190.685974,1896.249878,75.537399,-68.84491,0.313486,0.311,0.252399,0.229033,9.5,2153.6
2157.7,95.348801,3414.781494,195.485992,1894.999878,77.673988,-431.575378,0.337329,0.340733,0.278034,0.252612,9.5,2153.7
2157.8,95.357147,3244.416016,198.717926,1893.749878,78.33342,49.316162,0.361847,0.371729,0.304978,0.277379,9.5,2153.8
2157.9,95.362274,3240.123779,158.867096,1893.749878,78.877174,538.20282,0.38353,0.399313,0.329051,0.299506,9.5,2153.9
2158.0,95.369095,3226.678955,120.713516,1894.999878,79.444145,157.224426,0.397558,0.417078,0.344481,0.313671,9.5,2154.0
2158.1,95.363823,3220.293457,140.972397,1893.749878,80.429489,-949.20282,0.405835,0.427562,0.353588,0.322031,9.5,2154.1
2158.2,95.368652,3261.023193,187.548599,1893.749878,81.576782,-2009.974487,0.403068,0.42383,0.350178,0.318876,9.5,2154.2
2158.3,95.373924,3261.766846,137.748276,1892.499878,81.796906,590.090088,0.394428,0.412587,0.3402,0.309688,9.5,2154.3
2158.4,95.388115,3392.978516,160.289124,1893.749878,81.59938,1180.126709,0.382023,0.396524,0.326004,0.296628,9.5,2154.4
2158.5,95.372856,3259.247559,165.231491,1894.999878,79.011269,67.214172,0.375607,0.388287,0.318779,0.289992,9.5,2154.5
2158.6,95.379318,3411.965576,184.336197,1893.749878,76.73439,-71.567871,0.369878,0.380944,0.31235,0.284089,9.5,2154.6
2158.7,95.391663,3432.554688,160.718094,1893.749878,73.761017,392.918182,0.366086,0.376092,0.308106,0.280192,9.5,2154.7
2158.8,95.387901,3226.60376,185.886795,1892.499878,72.024773,428.90448,0.358139,0.366098,0.299464,0.272256,9.5,2154.8
2158.9,95.388115,3357.612061,152.50119,1892.499878,69.182228,-251.041351,0.349698,0.355629,0.290496,0.264024,9.5,2154.9
2159.0,95.397415,3227.186768,168.037201,1891.249878,66.743118,57.625,0.339829,0.343356,0.279964,0.254356,9.5,2155.0
2159.1,95.400871,3254.084961,206.591446,1889.999878,63.272591,42.07074,0.333746,0.335761,0.27343,0.248359,9.5,2155.1
2159.2,95.417915,3202.285156,205.128937,1888.749878,59.735752,122.411743,0.329607,0.33055,0.268923,0.244224,9.5,2155.2
2159.3,95.414787,3312.904053,165.22699,1888.749878,57.956844,-237.418579,0.329669,0.33057,0.268911,0.244214,9.5,2155.3
2159.4,95.404686,3278.037842,160.215271,1887.499878,58.303944,-1137.308838,0.332984,0.334617,0.272345,0.247369,9.5,2155.4
2159.5,95.431244,3178.138184,177.950516,1888.749878,61.224915,-1392.272583,0.339408,0.342565,0.279143,0.253611,9.5,2155.5
2159.6,95.427574,3038.372803,190.68187,1888.749878,64.148544,-70.264771,0.347444,0.352696,0.287918,0.261668,9.5,2155.6
2159.7,95.417915,2975.666992,160.263123,1889.999878,67.200424,1002.566162,0.358744,0.367126,0.300528,0.273248,9.5,2155.7
2159.8,95.438545,3028.595215,145.375198,1889.999878,68.062653,695.158813,0.375454,0.388554,0.319319,0.290517,9.5,2155.8
2159.9,95.420601,3002.095215,155.703568,1891.249878,67.768036,-245.985229,0.392528,0.410415,0.338467,0.308111,9.5,2155.9
2160.0,95.436096,2979.982666,120.713516,1889.999878,66.858826,-889.011841,0.405645,0.427232,0.353209,0.321658,9.5,2156.0
2160.1,95.450943,3082.605469,136.61113,1891.249878,66.062347,41.611938,0.409592,0.432257,0.357587,0.325676,9.5,2156.1
2160.2,95.434341,3110.693115,145.395081,1892.499878,64.661186,400.45166,0.406603,0.428365,0.354137,0.322502,9.5,2156.2
2160.3,95.450493,3139.157959,155.103622,1893.749878,62.274948,-1486.634033,0.395487,0.413978,0.341434,0.31082,9.5,2156.3
2160.4,95.439911,3223.438965,142.987595,1893.749878,60.323616,305.384155,0.382121,0.396758,0.326284,0.296895,9.5,2156.4
2160.5,95.45562,3278.051025,168.03595,1894.999878,58.60474,1396.183838,0.368234,0.378948,0.310668,0.282547,9.5,2156.5
2160.6,95.443398,3237.19751,173.018265,1894.999878,58.732059,-1773.340698,0.357593,0.365411,0.298879,0.271725,9.5,2156.6
2160.7,95.460449,3240.672363,173.053009,1894.999878,60.435055,-1833.948242,0.348971,0.35447,0.289366,0.262994,9.5,2156.7
2160.8,95.447098,3192.479248,176.259918,1893.749878,64.782814,692.100586,0.346106,0.35085,0.286227,0.260114,9.5,2156.8
2160.9,95.464859,3316.084473,176.30957,1893.749878,68.328529,1722.095337,0.347995,0.353238,0.288298,0.262014,9.5,2156.9
2161.0,95.476814,3065.74292,168.035828,1893.749878,71.217567,598.616943,0.355336,0.362545,0.296385,0.269436,9.5,2157.0
