DEPTH,gr,neut_counts,mss
2200.072,4.708,138.7024,2194.072
2200.2244,4.6403,136.8406,2194.2244
2200.3767,4.5957,136.3752,2194.3767
2200.5291,4.5456,134.9788,2194.5291
2200.6816,4.503,134.5134,2194.6816
2200.834,4.4556,134.048,2194.834
2200.9863,4.3911,134.5134,2194.9863
2201.1387,4.2928,134.787,2195.1387
2201.2913,4.1606,135.9529,2195.2913
2201.4436,3.9935,138.0086,2195.4436
2201.5959,3.8579,141.4234,2195.5959
2201.7483,4.0333,147.1596,2195.7483
2201.9006,4.1758,146.3235,2195.9006
2202.0532,4.2769,140.257,2196.0532
2202.2056,4.3635,136.2987,2196.2056
2202.3579,4.5947,132.8855,2196.3579
2202.5103,4.4733,131.7207,2196.5103
2202.6628,4.3453,133.7362,2196.6628
2202.8152,4.2044,135.0358,2196.8152
2202.9675,4.0743,135.9097,2196.9675
2203.1199,4.0568,135.4261,2197.1199
2203.2725,4.1898,134.5134,2197.2725
2203.4248,4.5077,133.1171,2197.4248
2203.5771,4.2909,129.3935,2197.5771
2203.7295,4.0885,129.211,2197.7295
2203.8818,4.2185,137.7715,2197.8818
2204.0344,4.3246,136.8406,2198.0344
2204.1868,4.4517,133.1171,2198.1868
2204.3391,4.3864,127.5317,2198.3391
2204.4915,4.2016,127.0528,2198.4915
2204.644,4.1461,133.1171,2198.644
2204.7964,4.2564,138.2346,2198.7964
2204.9487,4.3932,132.901,2198.9487
2205.1011,4.4816,128.4743,2199.1011
2205.2537,4.5072,127.3249,2199.2537
2205.406,4.5071,126.4132,2199.406
2205.5583,4.5071,125.67,2199.5583
2205.7107,4.507,126.2834,2199.7107
2205.863,4.507,127.5317,2199.863
2206.0156,4.5214,128.6812,2200.0156
2206.168,4.6225,130.879,2200.168
2206.3203,4.7236,132.3269,2200.3203
2206.4727,4.579,134.1994,2200.4727
2206.6252,4.4778,136.8986,2200.6252
2206.7776,4.4489,137.7715,2200.7776
2206.9299,4.4344,137.3061,2200.9299
2207.0823,4.4037,138.237,2201.0823
2207.2349,4.3036,139.6333,2201.2349
2207.3872,4.1146,143.3568,2201.3872
2207.5396,4.0039,142.8914,2201.5396
2207.6919,4.1809,137.3061,2201.6919
2207.8442,4.3651,132.6516,2201.8442
2207.9968,4.5824,129.3935,2201.9968
2208.1492,4.5295,126.6008,2202.1492
2208.3015,4.3342,124.5532,2202.3015
2208.4539,4.1668,122.5654,2202.4539
2208.6064,4.0273,121.0015,2202.6064
2208.7588,3.9426,120.3297,2202.7588
2208.9111,3.8847,120.0846,2202.9111
2209.0635,3.9714,120.0846,2203.0635
2209.2161,4.0725,121.0319,2203.2161
2209.3684,4.1736,122.6927,2203.3684
2209.5208,4.2602,124.6378,2203.5208
2209.6731,4.3758,127.9382,2203.6731
2209.8254,4.3324,133.3848,2203.8254
2209.978,4.224,140.0987,2203.978
2210.1304,4.1146,135.0181,2204.1304
2210.2827,4.1509,127.4194,2204.2827
2210.4351,4.289,126.1354,2204.4351
2210.5876,4.2525,128.4626,2204.5876
2210.74,4.1973,133.1171,2204.74
2210.8923,4.1732,140.0987,2204.8923
2211.0447,4.1409,148.9422,2205.0447
2211.1973,4.0522,154.5275,2205.1973
2211.3496,3.8316,153.5966,2205.3496
2211.502,3.611,146.6149,2205.502
2211.6543,3.3914,141.0296,2205.6543
2211.8066,3.2625,127.0663,2205.8066
2211.9592,3.1468,124.2736,2205.9592
2212.1116,2.9878,126.6776,2206.1116
2212.2639,2.8722,131.2539,2206.2639
2212.4163,2.7565,136.0442,2206.4163
2212.5688,2.9732,142.9251,2206.5688
2212.7212,3.1611,145.6841,2206.7212
2212.8735,3.2885,144.9104,2206.8735
2213.0259,3.2443,142.3557,2207.0259
2213.1785,3.1316,139.2887,2207.1785
2213.3308,3.0256,136.4603,2207.3308
2213.4832,2.9527,133.3577,2207.4832
2213.6355,2.8905,130.6255,2207.6355
2213.7878,2.824,126.5291,2207.7878
2213.9404,2.7813,125.67,2207.9404
2214.0928,2.7676,128.9281,2208.0928
2214.2451,2.756,131.7207,2208.2451
2214.3975,2.7574,133.1171,2208.3975
2214.55,2.7711,128.9281,2208.55
2214.7024,2.7992,118.6883,2208.7024
2214.8547,2.8281,118.0187,2208.8547
2215.0071,2.8714,122.4118,2209.0071
2215.1597,2.9291,127.0663,2209.1597
2215.312,2.958,128.9281,2209.312
2215.4644,2.9869,131.2553,2209.4644
2215.6167,3.0013,132.2518,2209.6167
2215.769,2.9868,133.1171,2209.769
2215.9216,2.9638,133.1171,2209.9216
2216.074,2.9135,132.9105,2210.074
2216.2263,2.8785,131.1633,2210.2263
2216.3787,2.9661,128.7269,2210.3787
2216.5312,3.1295,124.7391,2210.5312
2216.6836,3.1455,133.371,2210.6836
2216.8359,3.0178,131.7587,2210.8359
2216.9883,2.9334,129.1296,2210.9883
2217.1409,2.8634,127.4635,2211.1409
2217.2932,2.795,126.6008,2211.2932
2217.4456,2.8034,127.0956,2211.4456
2217.5979,2.9446,127.5411,2211.5979
2217.7502,3.1307,129.3935,2211.7502
2217.9028,3.2752,132.1862,2211.9028
2218.0552,3.1595,142.4259,2212.0552
2218.2075,3.0439,144.7532,2212.2075
2218.3599,2.9282,140.5642,2212.3599
2218.5125,3.0582,134.5134,2212.5125
2218.6648,3.1882,127.9972,2212.6648
2218.8171,3.2115,120.5501,2212.8171
2218.9695,3.2251,117.7574,2212.9695
2219.1221,3.2388,124.4429,2213.1221
2219.2744,3.2459,128.7717,2213.2744
2219.4268,3.2314,131.0279,2213.4268
2219.5791,3.2067,131.2553,2213.5791
2219.7314,3.146,129.4615,2213.7314
2219.884,3.0615,126.9939,2213.884
2220.0364,2.9769,123.1473,2214.0364
2220.1887,2.8758,120.0846,2214.1887
2220.3411,2.7542,124.9963,2214.3411
2220.4937,2.9027,129.6946,2214.4937
2220.646,3.0721,131.9651,2214.646
2220.7983,3.0287,134.1713,2214.7983
2220.9507,2.8552,136.4154,2214.9507
2221.1033,2.7107,137.8144,2215.1033
2221.2556,2.754,139.1705,2215.2556
2221.408,2.9418,140.5642,2215.408
2221.5603,3.1007,141.9605,2215.5603
2221.7126,3.2163,142.8914,2215.7126
2221.8652,3.3017,144.2877,2215.8652
2222.0176,3.4126,142.8914,2216.0176
2222.1699,3.4687,136.8406,2216.1699
2222.3223,3.5175,131.2553,2216.3223
2222.4749,3.5847,121.9464,2216.4749
2222.6272,3.6636,115.4302,2216.6272
2222.7795,3.7953,114.9647,2216.7795
2222.9319,3.8871,115.9319,2216.9319
2223.0845,3.8443,116.5926,2217.0845
2223.2368,3.7564,118.1803,2217.2368
2223.3892,3.6144,120.6588,2217.3892
2223.5415,3.4458,122.9273,2217.5415
2223.6938,3.2879,125.9628,2217.6938
2223.8464,3.1723,130.3214,2217.8464
2223.9988,3.1289,136.5867,2217.9988
2224.1511,3.2156,141.6804,2218.1511
2224.3035,3.3889,141.9605,2218.3035
2224.4561,3.5478,139.4718,2218.4561
2224.6084,3.7212,136.7059,2218.6084
2224.7607,3.8047,133.5377,2218.7607
2224.9131,3.5975,129.859,2218.9131
2225.0657,3.3957,126.1354,2219.0657
2225.218,3.2823,123.8082,2219.218
2225.3704,3.2036,125.67,2219.3704
2225.5227,3.1523,129.3935,2219.5227
2225.675,3.1241,132.6516,2219.675
2225.8276,3.0995,137.3061,2219.8276
2225.98,3.1167,138.237,2219.98
2226.1323,3.1593,138.7024,2220.1323
2226.2847,3.2032,139.6333,2220.2847
2226.4373,3.2595,140.8273,2220.4373
2226.5896,3.3305,143.4006,2220.5896
2226.7419,3.4605,147.0466,2220.7419
2226.8943,3.3882,149.2607,2220.8943
2227.0469,3.2824,144.1095,2221.0469
2227.1992,3.4459,138.0413,2221.1992
2227.3516,3.5759,134.5434,2221.3516
2227.5039,3.6481,132.2735,2221.5039
2227.6562,3.7203,129.4339,2221.6562
2227.8088,3.689,127.4456,2221.8088
2227.9612,3.6327,127.0663,2221.9612
2228.1135,3.5908,129.6292,2222.1135
2228.2659,3.555,135.6336,2222.2659
2228.4185,3.5214,141.0799,2222.4185
2228.5708,3.465,146.6149,2222.5708
2228.7231,3.364,147.1441,2222.7231
2228.8755,3.1918,144.7532,2222.8755
2229.0278,2.992,142.4259,2223.0278
2229.1804,2.8095,140.0987,2223.1804
2229.3328,2.9617,137.3061,2223.3328
2229.4851,3.1709,135.9097,2223.4851
2229.6375,3.1417,135.7599,2223.6375
2229.79,3.0261,138.7024,2223.79
2229.9424,2.9104,141.6711,2223.9424
2230.0947,2.8237,150.3682,2224.0947
2230.2471,2.7658,162.0365,2224.2471
2230.3997,2.7224,171.0957,2224.3997
2230.552,2.679,167.8999,2224.552
2230.7043,2.6413,163.8784,2224.7043
2230.8567,2.5906,158.5304,2224.8567
2231.009,2.527,150.3533,2225.009
2231.1616,2.6746,144.2877,2225.1616
2231.314,2.8322,147.9435,2225.314
2231.4663,2.9396,152.2108,2225.4663
2231.6187,3.0052,157.1114,2225.6187
2231.7712,3.0616,160.9634,2225.7712
2231.9236,3.1034,164.8153,2225.9236
2232.0759,3.1576,168.6672,2226.0759
2232.2283,3.2002,172.8111,2226.2283
2232.3809,3.2427,177.0902,2226.3809
2232.5332,3.2854,178.4907,2226.5332
2232.6855,3.3432,168.8364,2226.6855
2232.8379,3.4009,158.1404,2226.8379
