DEPTH,CALI,CILD,DT:1,DT:2,gr,res_ild,neut_counts,SN,SP,sphi,mss
2200.125,,697.835,95.308,,54.062,1.647,469.846,1.33,-85.002,,2195.125
2200.25,,709.646,95.506,,54.963,1.607,473.748,1.329,-84.997,,2195.25
2200.375,,717.52,95.208,,55.487,1.607,477.731,1.33,-85.002,,2195.375
2200.5,,735.236,95.109,,55.585,1.568,481.678,1.369,-84.604,,2195.5
2200.625,,756.89,94.812,,55.651,1.528,485.614,1.369,-83.822,,2195.625
2200.75,,766.732,95.903,,55.423,1.528,485.623,1.369,-83.425,,2195.75
2200.875,,778.543,95.903,,54.395,1.528,489.551,1.369,-83.821,,2195.875
2201.0,,784.449,97.788,,53.219,1.528,493.519,1.369,-84.212,,2196.0
2201.125,,786.417,98.383,,52.034,1.528,493.504,1.369,-84.214,,2196.125
2201.25,,786.417,97.688,,52.275,1.528,489.545,1.369,-84.212,,2196.25
2201.375,,772.638,96.101,,51.556,1.528,485.595,1.369,-84.213,,2196.375
2201.5,,762.795,96.2,,51.805,1.529,481.627,1.37,-84.212,,2196.5
2201.625,,750.984,95.407,,52.494,1.527,477.688,1.408,-84.214,,2196.625
2201.75,,750.984,95.506,,52.597,1.529,481.638,1.409,-84.212,,2196.75
2201.875,,739.173,95.605,,53.119,1.567,481.646,1.408,-84.214,,2196.875
2202.0,,733.268,92.232,,53.392,1.569,481.669,1.409,-84.211,,2197.0
2202.125,,721.457,90.744,,53.742,1.567,485.614,1.408,-84.214,,2197.125
2202.25,,713.583,91.042,,53.556,1.569,489.611,1.41,-84.211,,2197.25
2202.375,,711.614,91.438,,53.265,1.606,493.525,1.448,-84.215,,2197.375
2202.5,,705.709,93.274,,53.247,1.608,497.535,1.449,-84.21,,2197.5
2202.625,,703.74,93.919,,52.789,1.646,497.492,1.487,-84.215,,2197.625
2202.75,,701.772,95.506,,52.778,1.688,489.591,1.489,-84.208,,2197.75
2202.875,,699.803,95.506,,52.942,1.765,485.639,1.487,-84.216,,2197.875
2203.0,,699.803,93.819,,53.251,1.807,481.638,1.489,-84.208,,2198.0
2203.125,,695.866,93.323,,53.568,1.884,481.715,1.487,-83.823,,2198.125
2203.25,,701.772,93.323,,53.569,1.926,481.568,1.489,-83.815,,2198.25
2203.375,,703.74,94.117,,53.563,1.924,481.73,1.488,-83.823,,2198.375
2203.5,,699.803,93.819,,53.413,1.886,481.518,1.449,-83.815,,2198.5
2203.625,,697.835,91.835,,53.088,1.884,481.728,1.448,-83.823,,2198.625
2203.75,,691.929,91.042,,52.785,1.886,485.482,1.449,-83.815,,2198.75
2203.875,,689.961,87.867,,52.3,1.924,485.666,1.488,-83.429,,2198.875
2204.0,,678.15,87.966,,51.371,1.925,497.397,1.489,-83.423,,2199.0
2204.125,,674.213,88.065,,50.883,1.924,497.489,1.528,-83.428,,2199.125
2204.25,,664.37,88.264,,50.896,1.965,497.482,1.607,-83.424,,2199.25
2204.375,,650.591,88.264,,51.355,1.981,497.43,1.607,-83.427,,2199.375
2204.5,,634.843,86.875,,51.682,2.005,493.717,1.647,-83.426,,2199.5
2204.625,,621.063,87.569,,51.984,2.042,489.558,1.686,-83.425,,2199.625
