well,PERFTOP,PERFBASE,top_mss,base_mss,Type and Status
TEC-2,2307.4,2311.0,2303.4,2307.0,ACTIVE
TEC-2,2311.0,2320.0,2307.0,2316.0,PROPOSED
TEC-2,2330.0,2331.0,2326.0,2327.0,Bridge PLUG
TEC-2,2335.0,2339.0,2331.0,2335.0,SQUEEZED
TEC-2,2341.0,2342.0,2337.0,2338.0,Bridge PLUG
TEC-2,2345.0,2349.0,2341.0,2345.0,SQUEEZED
TEC-2,2353.0,2354.0,2349.0,2350.0,SQUEEZED
TEC-6,2314.0,2316.0,2308.0,2310.0,SQUEEZED
TEC-6,2303.0,2304.0,2297.0,2298.0,Bridge PLUG
TEC-6,2324.0,2327.0,2318.0,2321.0,SQUEEZED
TEC-6,2336.0,2338.0,2330.0,2332.0,OPEN HOLE
TEC-6,2320.0,2321.0,2314.0,2315.0,SQUEEZED
TEC-9,2328.0,2333.0,2323.0,2328.0,SQUEEZED
TEC-10,2433.5,2442.5,2393.797,2402.330344827586,ACTIVE
TEC-10,2410.0,2414.0,2371.566,2375.35,INACTIVE
TEC-10,2404.0,2406.0,2365.89,2367.7819999999997,INACTIVE
TEC-10,2394.5,2398.5,2356.907586206896,2360.6896551724135,INACTIVE
TEC-10,2351.5,2353.0,2316.2260344827587,2317.6458620689655,ACTIVE
TEC-10,2349.5,2350.5,2314.3329310344825,2315.279482758621,ACTIVE
TEC-11,2624.0,2626.0,2313.36,2313.64,PROPOSED
TEC-11,2658.0,2660.0,2318.0237037037036,2318.2888888888892,PROPOSED
TEC-11,2674.0,2676.0,2320.052857142857,2320.2257142857143,PROPOSED
TEC-11,2688.0,2690.0,2321.2628571428572,2321.4357142857143,PROPOSED
TEC-11,2701.0,2703.0,2322.3225925925926,2322.367777777778,PROPOSED
TEC-11,2743.0,2745.0,2322.7737037037036,2322.7566666666667,PROPOSED
TEC-11,2727.0,2729.0,2322.91,2322.892962962963,PROPOSED
TEC-11,2783.0,2785.0,2322.4377777777777,2322.4333333333334,PROPOSED
TEC-11,2756.0,2758.0,2322.662857142857,2322.6457142857143,PROPOSED
TEC-11,2804.0,2806.0,2322.391111111111,2322.3866666666668,PROPOSED
