DEPTH,AZIMUTH,DIP_TRU,TYPE,DEPTH_MSS
2298.0859375,152.8804,10.71848,Bedding: General,2265.7094719827583
2306.132080078125,141.7412,7.19912,Bedding: General,2273.311689453125
2307.202015524674,141.7412,3.772717,Bedding: General,2274.322593978485
2313.638589476151,246.1804,9.647539,Bedding: General,2280.404046608501
2316.78271484375,301.1042,8.321475,Bedding: General,2283.3747029903016
2318.286875681222,283.5545,17.13938,Bedding: Cross-,2284.797650644577
2318.695437854731,113.2647,21.9847,Bedding: Deformed,2285.1842349908216
2319.003430877839,290.9178,42.18501,Bedding: Deformed,2285.475660113376
2319.39013671875,283.5218,40.30862,Bedding: Cross-,2285.8415638469824
2319.610595703125,298.7603,42.55333,Bedding: Cross-,2286.050163658405
2319.77783203125,298.7603,41.99214,Bedding: Cross-,2286.208403825431
2319.92236328125,298.7603,41.43097,Bedding: Cross-,2286.345160290948
2320.074462890625,298.7603,40.86978,Bedding: Cross-,2286.4890779903017
2328.753427675237,287.2104,16.25426,Bedding: General,2294.701174324431
2329.55419921875,289.0975,13.37209,Bedding: General,2295.458869881465
2336.103202881244,227.5296,35.3003,Fracture: Resistive,2301.65558231246
2336.235199891147,230.0795,26.29576,Fracture: Resistive,2301.7804787935547
2338.821839079049,52.644,41.44167,Fracture: Mixed,2304.2279746320382
2347.528288823409,120.7037,4.473855,Bedding: General,2312.4666044207784
2353.746803204999,7.408393,75.67426,Bedding: Deformed,2318.3527499302495
2356.43527794033,140.0762,5.453719,Bedding: General,2320.897530326278
2361.82177734375,249.876,6.296646,Bedding: General,2325.996130623653
2363.072556743604,222.0695,5.634438,Bedding: General,2327.1800580211006
2364.809409749283,173.607,87.68539,Fracture: Mixed,2328.824079228201
2367.277587890625,293.912,5.317094,Bedding: General,2331.1603375033674
2368.617431640625,252.2814,7.19912,Bedding: General,2332.428568915005
2368.918111488875,259.9842,5.728028,Bedding: General,2332.71317794378
2372.318709428966,278.9679,8.987677,Bedding: General,2335.932019787073
2372.844261076888,281.9274,7.761819,Bedding: General,2336.4294816055367
2374.127896442258,347.4985,72.4945,Fracture: Mixed,2337.6445088737923
2374.90197593783,295.1773,77.19417,Fracture: Conductive,2338.3772151549456
2374.914498338845,31.9663,71.46798,Fracture: Mixed,2338.3890682552164
2376.035441162971,95.14626,50.34729,Fracture: Mixed,2339.449027472023
2376.888490917965,288.0425,16.25947,Bedding: General,2340.2556007231237
2377.47376619405,23.14152,65.16695,Fracture: Mixed,2340.8089885876147
2378.538098658827,292.2079,8.880677,Bedding: General,2341.815333283622
2379.779579732356,10.48683,75.19801,Fracture: Mixed,2342.9891750434895
2380.040960404016,351.2632,75.55731,Fracture: Mixed,2343.2363149751077
