porosity,m,clay_sep_pu,anchor,rw_app_ohmm,zone,sw_median,sw_p25,vsh_median,phie_median
phi_mean,1.8,0,A aquifer Sw=1,0.0427,upper El Abra 2270-2294,0.812,0.766,0.0,0.101
phi_mean,1.8,0,A aquifer Sw=1,0.0427,TEC-12 window 2294-2311,0.824,0.759,0.0,0.085
phi_mean,1.8,0,A aquifer Sw=1,0.0427,perforated 2311-2320,0.742,0.369,0.0,0.04
phi_mean,1.8,0,A aquifer Sw=1,0.0427,lower produced 2320-2332,0.751,0.529,0.0,0.056
phi_mean,1.8,0,A aquifer Sw=1,0.0427,tight 2332-2374,0.975,0.751,0.0,0.02
phi_mean,1.8,0,A aquifer Sw=1,0.0427,below LKO 2374-2447,,,0.0,
phi_mean,1.8,0,B produced Sw=0.55,0.0277,upper El Abra 2270-2294,0.654,0.617,0.0,0.101
phi_mean,1.8,0,B produced Sw=0.55,0.0277,TEC-12 window 2294-2311,0.663,0.611,0.0,0.085
phi_mean,1.8,0,B produced Sw=0.55,0.0277,perforated 2311-2320,0.597,0.297,0.0,0.04
phi_mean,1.8,0,B produced Sw=0.55,0.0277,lower produced 2320-2332,0.605,0.426,0.0,0.056
phi_mean,1.8,0,B produced Sw=0.55,0.0277,tight 2332-2374,0.785,0.605,0.0,0.02
phi_mean,1.8,0,B produced Sw=0.55,0.0277,below LKO 2374-2447,,,0.0,
phi_mean,1.8,0,C book Rw 0.054,0.054,upper El Abra 2270-2294,0.913,0.862,0.0,0.101
phi_mean,1.8,0,C book Rw 0.054,0.054,TEC-12 window 2294-2311,0.927,0.853,0.0,0.085
phi_mean,1.8,0,C book Rw 0.054,0.054,perforated 2311-2320,0.834,0.414,0.0,0.04
phi_mean,1.8,0,C book Rw 0.054,0.054,lower produced 2320-2332,0.845,0.595,0.0,0.056
phi_mean,1.8,0,C book Rw 0.054,0.054,tight 2332-2374,1.096,0.844,0.0,0.02
phi_mean,1.8,0,C book Rw 0.054,0.054,below LKO 2374-2447,,,0.0,
phi_mean,1.8,20,A aquifer Sw=1,0.0427,upper El Abra 2270-2294,0.911,0.839,0.212,0.078
phi_mean,1.8,20,A aquifer Sw=1,0.0427,TEC-12 window 2294-2311,0.883,0.817,0.169,0.069
phi_mean,1.8,20,A aquifer Sw=1,0.0427,perforated 2311-2320,0.742,0.369,0.0,0.04
phi_mean,1.8,20,A aquifer Sw=1,0.0427,lower produced 2320-2332,0.751,0.529,0.0,0.056
phi_mean,1.8,20,A aquifer Sw=1,0.0427,tight 2332-2374,0.966,0.745,0.0,0.02
phi_mean,1.8,20,A aquifer Sw=1,0.0427,below LKO 2374-2447,,,,
phi_mean,1.8,20,B produced Sw=0.55,0.0277,upper El Abra 2270-2294,0.75,0.688,0.212,0.078
phi_mean,1.8,20,B produced Sw=0.55,0.0277,TEC-12 window 2294-2311,0.731,0.672,0.169,0.069
phi_mean,1.8,20,B produced Sw=0.55,0.0277,perforated 2311-2320,0.597,0.297,0.0,0.04
phi_mean,1.8,20,B produced Sw=0.55,0.0277,lower produced 2320-2332,0.605,0.426,0.0,0.056
phi_mean,1.8,20,B produced Sw=0.55,0.0277,tight 2332-2374,0.778,0.602,0.0,0.02
phi_mean,1.8,20,B produced Sw=0.55,0.0277,below LKO 2374-2447,,,,
phi_mean,1.8,20,C book Rw 0.054,0.054,upper El Abra 2270-2294,1.009,0.935,0.212,0.078
phi_mean,1.8,20,C book Rw 0.054,0.054,TEC-12 window 2294-2311,0.978,0.906,0.169,0.069
phi_mean,1.8,20,C book Rw 0.054,0.054,perforated 2311-2320,0.834,0.414,0.0,0.04
phi_mean,1.8,20,C book Rw 0.054,0.054,lower produced 2320-2332,0.839,0.595,0.0,0.056
phi_mean,1.8,20,C book Rw 0.054,0.054,tight 2332-2374,1.086,0.838,0.0,0.02
phi_mean,1.8,20,C book Rw 0.054,0.054,below LKO 2374-2447,,,,
phi_mean,1.8,25,A aquifer Sw=1,0.0427,upper El Abra 2270-2294,0.891,0.825,0.169,0.083
phi_mean,1.8,25,A aquifer Sw=1,0.0427,TEC-12 window 2294-2311,0.875,0.804,0.135,0.072
phi_mean,1.8,25,A aquifer Sw=1,0.0427,perforated 2311-2320,0.742,0.369,0.0,0.04
phi_mean,1.8,25,A aquifer Sw=1,0.0427,lower produced 2320-2332,0.751,0.529,0.0,0.056
phi_mean,1.8,25,A aquifer Sw=1,0.0427,tight 2332-2374,0.966,0.748,0.0,0.02
phi_mean,1.8,25,A aquifer Sw=1,0.0427,below LKO 2374-2447,,,,
phi_mean,1.8,25,B produced Sw=0.55,0.0277,upper El Abra 2270-2294,0.731,0.674,0.169,0.083
phi_mean,1.8,25,B produced Sw=0.55,0.0277,TEC-12 window 2294-2311,0.716,0.658,0.135,0.072
phi_mean,1.8,25,B produced Sw=0.55,0.0277,perforated 2311-2320,0.597,0.297,0.0,0.04
phi_mean,1.8,25,B produced Sw=0.55,0.0277,lower produced 2320-2332,0.605,0.426,0.0,0.056
phi_mean,1.8,25,B produced Sw=0.55,0.0277,tight 2332-2374,0.778,0.603,0.0,0.02
phi_mean,1.8,25,B produced Sw=0.55,0.0277,below LKO 2374-2447,,,,
phi_mean,1.8,25,C book Rw 0.054,0.054,upper El Abra 2270-2294,0.991,0.92,0.169,0.083
phi_mean,1.8,25,C book Rw 0.054,0.054,TEC-12 window 2294-2311,0.972,0.896,0.135,0.072
phi_mean,1.8,25,C book Rw 0.054,0.054,perforated 2311-2320,0.834,0.414,0.0,0.04
phi_mean,1.8,25,C book Rw 0.054,0.054,lower produced 2320-2332,0.845,0.595,0.0,0.056
phi_mean,1.8,25,C book Rw 0.054,0.054,tight 2332-2374,1.086,0.84,0.0,0.02
phi_mean,1.8,25,C book Rw 0.054,0.054,below LKO 2374-2447,,,,
phi_mean,1.8,30,A aquifer Sw=1,0.0427,upper El Abra 2270-2294,0.879,0.815,0.141,0.086
phi_mean,1.8,30,A aquifer Sw=1,0.0427,TEC-12 window 2294-2311,0.868,0.797,0.112,0.074
phi_mean,1.8,30,A aquifer Sw=1,0.0427,perforated 2311-2320,0.742,0.369,0.0,0.04
phi_mean,1.8,30,A aquifer Sw=1,0.0427,lower produced 2320-2332,0.751,0.529,0.0,0.056
phi_mean,1.8,30,A aquifer Sw=1,0.0427,tight 2332-2374,0.966,0.749,0.0,0.02
phi_mean,1.8,30,A aquifer Sw=1,0.0427,below LKO 2374-2447,,,,
phi_mean,1.8,30,B produced Sw=0.55,0.0277,upper El Abra 2270-2294,0.717,0.664,0.141,0.086
phi_mean,1.8,30,B produced Sw=0.55,0.0277,TEC-12 window 2294-2311,0.709,0.649,0.112,0.074
phi_mean,1.8,30,B produced Sw=0.55,0.0277,perforated 2311-2320,0.597,0.297,0.0,0.04
phi_mean,1.8,30,B produced Sw=0.55,0.0277,lower produced 2320-2332,0.605,0.426,0.0,0.056
phi_mean,1.8,30,B produced Sw=0.55,0.0277,tight 2332-2374,0.778,0.603,0.0,0.02
phi_mean,1.8,30,B produced Sw=0.55,0.0277,below LKO 2374-2447,,,,
phi_mean,1.8,30,C book Rw 0.054,0.054,upper El Abra 2270-2294,0.979,0.912,0.141,0.086
phi_mean,1.8,30,C book Rw 0.054,0.054,TEC-12 window 2294-2311,0.967,0.89,0.112,0.074
phi_mean,1.8,30,C book Rw 0.054,0.054,perforated 2311-2320,0.834,0.414,0.0,0.04
phi_mean,1.8,30,C book Rw 0.054,0.054,lower produced 2320-2332,0.845,0.595,0.0,0.056
phi_mean,1.8,30,C book Rw 0.054,0.054,tight 2332-2374,1.086,0.841,0.0,0.02
phi_mean,1.8,30,C book Rw 0.054,0.054,below LKO 2374-2447,,,,
phi_mean,2.0,0,A aquifer Sw=1,0.0197,upper El Abra 2270-2294,0.692,0.652,0.0,0.101
phi_mean,2.0,0,A aquifer Sw=1,0.0197,TEC-12 window 2294-2311,0.713,0.65,0.0,0.085
phi_mean,2.0,0,A aquifer Sw=1,0.0197,perforated 2311-2320,0.7,0.326,0.0,0.04
phi_mean,2.0,0,A aquifer Sw=1,0.0197,lower produced 2320-2332,0.675,0.461,0.0,0.056
phi_mean,2.0,0,A aquifer Sw=1,0.0197,tight 2332-2374,0.979,0.729,0.0,0.02
phi_mean,2.0,0,A aquifer Sw=1,0.0197,below LKO 2374-2447,,,0.0,
phi_mean,2.0,0,B produced Sw=0.55,0.0145,upper El Abra 2270-2294,0.595,0.56,0.0,0.101
phi_mean,2.0,0,B produced Sw=0.55,0.0145,TEC-12 window 2294-2311,0.612,0.558,0.0,0.085
phi_mean,2.0,0,B produced Sw=0.55,0.0145,perforated 2311-2320,0.602,0.28,0.0,0.04
phi_mean,2.0,0,B produced Sw=0.55,0.0145,lower produced 2320-2332,0.58,0.396,0.0,0.056
phi_mean,2.0,0,B produced Sw=0.55,0.0145,tight 2332-2374,0.841,0.626,0.0,0.02
phi_mean,2.0,0,B produced Sw=0.55,0.0145,below LKO 2374-2447,,,0.0,
phi_mean,2.0,0,C book Rw 0.054,0.054,upper El Abra 2270-2294,1.146,1.08,0.0,0.101
phi_mean,2.0,0,C book Rw 0.054,0.054,TEC-12 window 2294-2311,1.18,1.076,0.0,0.085
phi_mean,2.0,0,C book Rw 0.054,0.054,perforated 2311-2320,1.16,0.54,0.0,0.04
phi_mean,2.0,0,C book Rw 0.054,0.054,lower produced 2320-2332,1.118,0.764,0.0,0.056
phi_mean,2.0,0,C book Rw 0.054,0.054,tight 2332-2374,1.5,1.206,0.0,0.02
phi_mean,2.0,0,C book Rw 0.054,0.054,below LKO 2374-2447,,,0.0,
phi_mean,2.0,20,A aquifer Sw=1,0.0197,upper El Abra 2270-2294,0.813,0.743,0.212,0.078
phi_mean,2.0,20,A aquifer Sw=1,0.0197,TEC-12 window 2294-2311,0.796,0.725,0.169,0.069
phi_mean,2.0,20,A aquifer Sw=1,0.0197,perforated 2311-2320,0.7,0.326,0.0,0.04
phi_mean,2.0,20,A aquifer Sw=1,0.0197,lower produced 2320-2332,0.675,0.461,0.0,0.056
phi_mean,2.0,20,A aquifer Sw=1,0.0197,tight 2332-2374,0.972,0.724,0.0,0.02
phi_mean,2.0,20,A aquifer Sw=1,0.0197,below LKO 2374-2447,,,,
phi_mean,2.0,20,B produced Sw=0.55,0.0145,upper El Abra 2270-2294,0.707,0.644,0.212,0.078
phi_mean,2.0,20,B produced Sw=0.55,0.0145,TEC-12 window 2294-2311,0.697,0.631,0.169,0.069
phi_mean,2.0,20,B produced Sw=0.55,0.0145,perforated 2311-2320,0.602,0.28,0.0,0.04
phi_mean,2.0,20,B produced Sw=0.55,0.0145,lower produced 2320-2332,0.58,0.396,0.0,0.056
phi_mean,2.0,20,B produced Sw=0.55,0.0145,tight 2332-2374,0.836,0.622,0.0,0.02
phi_mean,2.0,20,B produced Sw=0.55,0.0145,below LKO 2374-2447,,,,
phi_mean,2.0,20,C book Rw 0.054,0.054,upper El Abra 2270-2294,1.257,1.166,0.212,0.078
phi_mean,2.0,20,C book Rw 0.054,0.054,TEC-12 window 2294-2311,1.222,1.129,0.169,0.069
phi_mean,2.0,20,C book Rw 0.054,0.054,perforated 2311-2320,1.16,0.54,0.0,0.04
phi_mean,2.0,20,C book Rw 0.054,0.054,lower produced 2320-2332,1.109,0.764,0.0,0.056
phi_mean,2.0,20,C book Rw 0.054,0.054,tight 2332-2374,1.5,1.193,0.0,0.02
phi_mean,2.0,20,C book Rw 0.054,0.054,below LKO 2374-2447,,,,
phi_mean,2.0,25,A aquifer Sw=1,0.0197,upper El Abra 2270-2294,0.788,0.724,0.169,0.083
phi_mean,2.0,25,A aquifer Sw=1,0.0197,TEC-12 window 2294-2311,0.78,0.709,0.135,0.072
phi_mean,2.0,25,A aquifer Sw=1,0.0197,perforated 2311-2320,0.7,0.326,0.0,0.04
phi_mean,2.0,25,A aquifer Sw=1,0.0197,lower produced 2320-2332,0.675,0.461,0.0,0.056
phi_mean,2.0,25,A aquifer Sw=1,0.0197,tight 2332-2374,0.973,0.724,0.0,0.02
phi_mean,2.0,25,A aquifer Sw=1,0.0197,below LKO 2374-2447,,,,
phi_mean,2.0,25,B produced Sw=0.55,0.0145,upper El Abra 2270-2294,0.685,0.628,0.169,0.083
phi_mean,2.0,25,B produced Sw=0.55,0.0145,TEC-12 window 2294-2311,0.677,0.614,0.135,0.072
phi_mean,2.0,25,B produced Sw=0.55,0.0145,perforated 2311-2320,0.602,0.28,0.0,0.04
phi_mean,2.0,25,B produced Sw=0.55,0.0145,lower produced 2320-2332,0.58,0.396,0.0,0.056
phi_mean,2.0,25,B produced Sw=0.55,0.0145,tight 2332-2374,0.836,0.622,0.0,0.02
phi_mean,2.0,25,B produced Sw=0.55,0.0145,below LKO 2374-2447,,,,
phi_mean,2.0,25,C book Rw 0.054,0.054,upper El Abra 2270-2294,1.241,1.155,0.169,0.083
phi_mean,2.0,25,C book Rw 0.054,0.054,TEC-12 window 2294-2311,1.219,1.123,0.135,0.072
phi_mean,2.0,25,C book Rw 0.054,0.054,perforated 2311-2320,1.16,0.54,0.0,0.04
phi_mean,2.0,25,C book Rw 0.054,0.054,lower produced 2320-2332,1.111,0.764,0.0,0.056
phi_mean,2.0,25,C book Rw 0.054,0.054,tight 2332-2374,1.5,1.197,0.0,0.02
phi_mean,2.0,25,C book Rw 0.054,0.054,below LKO 2374-2447,,,,
phi_mean,2.0,30,A aquifer Sw=1,0.0197,upper El Abra 2270-2294,0.771,0.711,0.141,0.086
phi_mean,2.0,30,A aquifer Sw=1,0.0197,TEC-12 window 2294-2311,0.772,0.697,0.112,0.074
phi_mean,2.0,30,A aquifer Sw=1,0.0197,perforated 2311-2320,0.7,0.326,0.0,0.04
phi_mean,2.0,30,A aquifer Sw=1,0.0197,lower produced 2320-2332,0.675,0.461,0.0,0.056
phi_mean,2.0,30,A aquifer Sw=1,0.0197,tight 2332-2374,0.973,0.724,0.0,0.02
phi_mean,2.0,30,A aquifer Sw=1,0.0197,below LKO 2374-2447,,,,
phi_mean,2.0,30,B produced Sw=0.55,0.0145,upper El Abra 2270-2294,0.667,0.615,0.141,0.086
phi_mean,2.0,30,B produced Sw=0.55,0.0145,TEC-12 window 2294-2311,0.669,0.603,0.112,0.074
phi_mean,2.0,30,B produced Sw=0.55,0.0145,perforated 2311-2320,0.602,0.28,0.0,0.04
phi_mean,2.0,30,B produced Sw=0.55,0.0145,lower produced 2320-2332,0.58,0.396,0.0,0.056
phi_mean,2.0,30,B produced Sw=0.55,0.0145,tight 2332-2374,0.837,0.623,0.0,0.02
phi_mean,2.0,30,B produced Sw=0.55,0.0145,below LKO 2374-2447,,,,
phi_mean,2.0,30,C book Rw 0.054,0.054,upper El Abra 2270-2294,1.225,1.143,0.141,0.086
phi_mean,2.0,30,C book Rw 0.054,0.054,TEC-12 window 2294-2311,1.217,1.118,0.112,0.074
phi_mean,2.0,30,C book Rw 0.054,0.054,perforated 2311-2320,1.16,0.54,0.0,0.04
phi_mean,2.0,30,C book Rw 0.054,0.054,lower produced 2320-2332,1.117,0.764,0.0,0.056
phi_mean,2.0,30,C book Rw 0.054,0.054,tight 2332-2374,1.5,1.197,0.0,0.02
phi_mean,2.0,30,C book Rw 0.054,0.054,below LKO 2374-2447,,,,
phi_mean,2.2,0,A aquifer Sw=1,0.0091,upper El Abra 2270-2294,0.591,0.553,0.0,0.101
phi_mean,2.2,0,A aquifer Sw=1,0.0091,TEC-12 window 2294-2311,0.619,0.558,0.0,0.085
phi_mean,2.2,0,A aquifer Sw=1,0.0091,perforated 2311-2320,0.663,0.289,0.0,0.04
phi_mean,2.2,0,A aquifer Sw=1,0.0091,lower produced 2320-2332,0.611,0.402,0.0,0.056
phi_mean,2.2,0,A aquifer Sw=1,0.0091,tight 2332-2374,0.984,0.707,0.0,0.02
phi_mean,2.2,0,A aquifer Sw=1,0.0091,below LKO 2374-2447,,,0.0,
phi_mean,2.2,0,B produced Sw=0.55,0.0076,upper El Abra 2270-2294,0.542,0.506,0.0,0.101
phi_mean,2.2,0,B produced Sw=0.55,0.0076,TEC-12 window 2294-2311,0.568,0.511,0.0,0.085
phi_mean,2.2,0,B produced Sw=0.55,0.0076,perforated 2311-2320,0.608,0.265,0.0,0.04
