m,window_shale_cut,anchor,rw_app,zone,phi_used,sw
1.8,0.0,B produced Sw=0.55,0.0682,TEC-12 window 2294-2311,0.127,0.569
1.8,0.0,B produced Sw=0.55,0.0682,lower 2328-2340,0.014,1.5
1.8,0.0,B produced Sw=0.55,0.0682,produced 2323-2328,0.048,0.55
1.8,0.0,B produced Sw=0.55,0.0682,tight 2311-2320,0.03,0.682
1.8,0.0,B produced Sw=0.55,0.0682,upper 2270-2294,,
1.8,0.0,B' produced Sw=0.70,0.1105,TEC-12 window 2294-2311,0.127,0.724
1.8,0.0,B' produced Sw=0.70,0.1105,lower 2328-2340,0.014,1.5
1.8,0.0,B' produced Sw=0.70,0.1105,produced 2323-2328,0.048,0.7
1.8,0.0,B' produced Sw=0.70,0.1105,tight 2311-2320,0.03,0.868
1.8,0.0,B' produced Sw=0.70,0.1105,upper 2270-2294,,
1.8,0.0,C book Rw 0.054,0.054,TEC-12 window 2294-2311,0.127,0.506
1.8,0.0,C book Rw 0.054,0.054,lower 2328-2340,0.014,1.446
1.8,0.0,C book Rw 0.054,0.054,produced 2323-2328,0.048,0.489
1.8,0.0,C book Rw 0.054,0.054,tight 2311-2320,0.03,0.606
1.8,0.0,C book Rw 0.054,0.054,upper 2270-2294,,
1.8,0.2,B produced Sw=0.55,0.0682,TEC-12 window 2294-2311,0.102,0.695
1.8,0.2,B produced Sw=0.55,0.0682,lower 2328-2340,0.014,1.5
1.8,0.2,B produced Sw=0.55,0.0682,produced 2323-2328,0.048,0.55
1.8,0.2,B produced Sw=0.55,0.0682,tight 2311-2320,0.03,0.682
1.8,0.2,B produced Sw=0.55,0.0682,upper 2270-2294,,
1.8,0.2,B' produced Sw=0.70,0.1105,TEC-12 window 2294-2311,0.102,0.885
1.8,0.2,B' produced Sw=0.70,0.1105,lower 2328-2340,0.014,1.5
1.8,0.2,B' produced Sw=0.70,0.1105,produced 2323-2328,0.048,0.7
1.8,0.2,B' produced Sw=0.70,0.1105,tight 2311-2320,0.03,0.868
1.8,0.2,B' produced Sw=0.70,0.1105,upper 2270-2294,,
1.8,0.2,C book Rw 0.054,0.054,TEC-12 window 2294-2311,0.102,0.618
1.8,0.2,C book Rw 0.054,0.054,lower 2328-2340,0.014,1.446
1.8,0.2,C book Rw 0.054,0.054,produced 2323-2328,0.048,0.489
1.8,0.2,C book Rw 0.054,0.054,tight 2311-2320,0.03,0.606
1.8,0.2,C book Rw 0.054,0.054,upper 2270-2294,,
1.8,0.4,B produced Sw=0.55,0.0682,TEC-12 window 2294-2311,0.076,0.9
1.8,0.4,B produced Sw=0.55,0.0682,lower 2328-2340,0.014,1.5
1.8,0.4,B produced Sw=0.55,0.0682,produced 2323-2328,0.048,0.55
1.8,0.4,B produced Sw=0.55,0.0682,tight 2311-2320,0.03,0.682
1.8,0.4,B produced Sw=0.55,0.0682,upper 2270-2294,,
1.8,0.4,B' produced Sw=0.70,0.1105,TEC-12 window 2294-2311,0.076,1.146
1.8,0.4,B' produced Sw=0.70,0.1105,lower 2328-2340,0.014,1.5
1.8,0.4,B' produced Sw=0.70,0.1105,produced 2323-2328,0.048,0.7
1.8,0.4,B' produced Sw=0.70,0.1105,tight 2311-2320,0.03,0.868
1.8,0.4,B' produced Sw=0.70,0.1105,upper 2270-2294,,
1.8,0.4,C book Rw 0.054,0.054,TEC-12 window 2294-2311,0.076,0.801
1.8,0.4,C book Rw 0.054,0.054,lower 2328-2340,0.014,1.446
1.8,0.4,C book Rw 0.054,0.054,produced 2323-2328,0.048,0.489
1.8,0.4,C book Rw 0.054,0.054,tight 2311-2320,0.03,0.606
1.8,0.4,C book Rw 0.054,0.054,upper 2270-2294,,
2.0,0.0,B produced Sw=0.55,0.0372,TEC-12 window 2294-2311,0.127,0.516
2.0,0.0,B produced Sw=0.55,0.0372,lower 2328-2340,0.014,1.5
2.0,0.0,B produced Sw=0.55,0.0372,produced 2323-2328,0.048,0.55
2.0,0.0,B produced Sw=0.55,0.0372,tight 2311-2320,0.03,0.716
2.0,0.0,B produced Sw=0.55,0.0372,upper 2270-2294,,
2.0,0.0,B' produced Sw=0.70,0.0603,TEC-12 window 2294-2311,0.127,0.657
2.0,0.0,B' produced Sw=0.70,0.0603,lower 2328-2340,0.014,1.5
2.0,0.0,B' produced Sw=0.70,0.0603,produced 2323-2328,0.048,0.7
2.0,0.0,B' produced Sw=0.70,0.0603,tight 2311-2320,0.03,0.911
2.0,0.0,B' produced Sw=0.70,0.0603,upper 2270-2294,,
2.0,0.0,C book Rw 0.054,0.054,TEC-12 window 2294-2311,0.127,0.622
2.0,0.0,C book Rw 0.054,0.054,lower 2328-2340,0.014,1.5
2.0,0.0,C book Rw 0.054,0.054,produced 2323-2328,0.048,0.663
2.0,0.0,C book Rw 0.054,0.054,tight 2311-2320,0.03,0.862
2.0,0.0,C book Rw 0.054,0.054,upper 2270-2294,,
2.0,0.2,B produced Sw=0.55,0.0372,TEC-12 window 2294-2311,0.102,0.645
2.0,0.2,B produced Sw=0.55,0.0372,lower 2328-2340,0.014,1.5
2.0,0.2,B produced Sw=0.55,0.0372,produced 2323-2328,0.048,0.55
2.0,0.2,B produced Sw=0.55,0.0372,tight 2311-2320,0.03,0.716
2.0,0.2,B produced Sw=0.55,0.0372,upper 2270-2294,,
2.0,0.2,B' produced Sw=0.70,0.0603,TEC-12 window 2294-2311,0.102,0.821
2.0,0.2,B' produced Sw=0.70,0.0603,lower 2328-2340,0.014,1.5
2.0,0.2,B' produced Sw=0.70,0.0603,produced 2323-2328,0.048,0.7
2.0,0.2,B' produced Sw=0.70,0.0603,tight 2311-2320,0.03,0.911
2.0,0.2,B' produced Sw=0.70,0.0603,upper 2270-2294,,
2.0,0.2,C book Rw 0.054,0.054,TEC-12 window 2294-2311,0.102,0.777
2.0,0.2,C book Rw 0.054,0.054,lower 2328-2340,0.014,1.5
2.0,0.2,C book Rw 0.054,0.054,produced 2323-2328,0.048,0.663
2.0,0.2,C book Rw 0.054,0.054,tight 2311-2320,0.03,0.862
2.0,0.2,C book Rw 0.054,0.054,upper 2270-2294,,
2.0,0.4,B produced Sw=0.55,0.0372,TEC-12 window 2294-2311,0.076,0.86
2.0,0.4,B produced Sw=0.55,0.0372,lower 2328-2340,0.014,1.5
2.0,0.4,B produced Sw=0.55,0.0372,produced 2323-2328,0.048,0.55
2.0,0.4,B produced Sw=0.55,0.0372,tight 2311-2320,0.03,0.716
2.0,0.4,B produced Sw=0.55,0.0372,upper 2270-2294,,
2.0,0.4,B' produced Sw=0.70,0.0603,TEC-12 window 2294-2311,0.076,1.095
2.0,0.4,B' produced Sw=0.70,0.0603,lower 2328-2340,0.014,1.5
2.0,0.4,B' produced Sw=0.70,0.0603,produced 2323-2328,0.048,0.7
2.0,0.4,B' produced Sw=0.70,0.0603,tight 2311-2320,0.03,0.911
2.0,0.4,B' produced Sw=0.70,0.0603,upper 2270-2294,,
2.0,0.4,C book Rw 0.054,0.054,TEC-12 window 2294-2311,0.076,1.036
2.0,0.4,C book Rw 0.054,0.054,lower 2328-2340,0.014,1.5
2.0,0.4,C book Rw 0.054,0.054,produced 2323-2328,0.048,0.663
2.0,0.4,C book Rw 0.054,0.054,tight 2311-2320,0.03,0.862
2.0,0.4,C book Rw 0.054,0.054,upper 2270-2294,,
2.2,0.0,B produced Sw=0.55,0.0203,TEC-12 window 2294-2311,0.127,0.468
2.2,0.0,B produced Sw=0.55,0.0203,lower 2328-2340,0.014,1.5
2.2,0.0,B produced Sw=0.55,0.0203,produced 2323-2328,0.048,0.55
2.2,0.0,B produced Sw=0.55,0.0203,tight 2311-2320,0.03,0.751
2.2,0.0,B produced Sw=0.55,0.0203,upper 2270-2294,,
2.2,0.0,B' produced Sw=0.70,0.0329,TEC-12 window 2294-2311,0.127,0.596
2.2,0.0,B' produced Sw=0.70,0.0329,lower 2328-2340,0.014,1.5
2.2,0.0,B' produced Sw=0.70,0.0329,produced 2323-2328,0.048,0.7
2.2,0.0,B' produced Sw=0.70,0.0329,tight 2311-2320,0.03,0.956
2.2,0.0,B' produced Sw=0.70,0.0329,upper 2270-2294,,
2.2,0.0,C book Rw 0.054,0.054,TEC-12 window 2294-2311,0.127,0.764
2.2,0.0,C book Rw 0.054,0.054,lower 2328-2340,0.014,1.5
2.2,0.0,C book Rw 0.054,0.054,produced 2323-2328,0.048,0.897
2.2,0.0,C book Rw 0.054,0.054,tight 2311-2320,0.03,1.226
2.2,0.0,C book Rw 0.054,0.054,upper 2270-2294,,
2.2,0.2,B produced Sw=0.55,0.0203,TEC-12 window 2294-2311,0.102,0.599
2.2,0.2,B produced Sw=0.55,0.0203,lower 2328-2340,0.014,1.5
2.2,0.2,B produced Sw=0.55,0.0203,produced 2323-2328,0.048,0.55
2.2,0.2,B produced Sw=0.55,0.0203,tight 2311-2320,0.03,0.751
2.2,0.2,B produced Sw=0.55,0.0203,upper 2270-2294,,
2.2,0.2,B' produced Sw=0.70,0.0329,TEC-12 window 2294-2311,0.102,0.762
2.2,0.2,B' produced Sw=0.70,0.0329,lower 2328-2340,0.014,1.5
2.2,0.2,B' produced Sw=0.70,0.0329,produced 2323-2328,0.048,0.7
2.2,0.2,B' produced Sw=0.70,0.0329,tight 2311-2320,0.03,0.956
2.2,0.2,B' produced Sw=0.70,0.0329,upper 2270-2294,,
2.2,0.2,C book Rw 0.054,0.054,TEC-12 window 2294-2311,0.102,0.977
2.2,0.2,C book Rw 0.054,0.054,lower 2328-2340,0.014,1.5
2.2,0.2,C book Rw 0.054,0.054,produced 2323-2328,0.048,0.897
2.2,0.2,C book Rw 0.054,0.054,tight 2311-2320,0.03,1.226
2.2,0.2,C book Rw 0.054,0.054,upper 2270-2294,,
2.2,0.4,B produced Sw=0.55,0.0203,TEC-12 window 2294-2311,0.076,0.821
2.2,0.4,B produced Sw=0.55,0.0203,lower 2328-2340,0.014,1.5
2.2,0.4,B produced Sw=0.55,0.0203,produced 2323-2328,0.048,0.55
2.2,0.4,B produced Sw=0.55,0.0203,tight 2311-2320,0.03,0.751
2.2,0.4,B produced Sw=0.55,0.0203,upper 2270-2294,,
2.2,0.4,B' produced Sw=0.70,0.0329,TEC-12 window 2294-2311,0.076,1.046
2.2,0.4,B' produced Sw=0.70,0.0329,lower 2328-2340,0.014,1.5
2.2,0.4,B' produced Sw=0.70,0.0329,produced 2323-2328,0.048,0.7
2.2,0.4,B' produced Sw=0.70,0.0329,tight 2311-2320,0.03,0.956
2.2,0.4,B' produced Sw=0.70,0.0329,upper 2270-2294,,
2.2,0.4,C book Rw 0.054,0.054,TEC-12 window 2294-2311,0.076,1.34
2.2,0.4,C book Rw 0.054,0.054,lower 2328-2340,0.014,1.5
2.2,0.4,C book Rw 0.054,0.054,produced 2323-2328,0.048,0.897
2.2,0.4,C book Rw 0.054,0.054,tight 2311-2320,0.03,1.226
2.2,0.4,C book Rw 0.054,0.054,upper 2270-2294,,
