file,page,engine,depth_m,pressure_kgcm2,line
"Tecolutla-2 Static Gradient Dec 5, 1964.pdf",1,rapidocr,250,61.6,0.0K | 250 61.6 20.8 0.0832 | 82-1 NIVELACEITE | 500 20.5 0
"Tecolutla-2 Static Gradient Dec 5, 1964.pdf",1,rapidocr,1000,122.0,AGUA | 1000 122.0 6-6E 0.0798 3165.0 | TIEMPO CERRADO | 1500 
"Tecolutla-2 Static Gradient Dec 5, 1964.pdf",1,rapidocr,1500,168.6,RADO | 1500 168.6 46.6 0.0932 75dan | TEMPERATURA BOCAPOZO | 
"Tecolutla-2 Static Gradient Dec 5, 1964.pdf",1,rapidocr,2000,218.5,POZO | 2000 218.5 49.9 0.0999 15 | 241-9 TEM.MAX.DE FONDO 1
"Tecolutla-2 Static Gradient Dec 5, 1964.pdf",1,rapidocr,2285,246.6,0995 | 2285 246.6 64 0.0980 ELEV.MESA ROTARIA 3.80 | 4.9 FE
"Tecolutla-2 Static Gradient Dec 5, 1964.pdf",1,rapidocr,2335,251.7,REG. | 2335 251.7 0.0930 | 0.19 PRESION ULTIMO REG. | 2337 25
"Tecolutla-2 Static Gradient Dec 5, 1964.pdf",1,rapidocr,2337,251.89,REG. | 2337 251.89 Hivol Hodio Perf 0.0980 VARIACION PRES.
"Tecolutla-2 Static Gradient Dec 5, 1964.pdf",1,rapidocr,2335,251.7,20-N | 2335 251.70 | -212 128 PROFUNDIDADESSUB-ROTARIA | 2313.
"Tecolutla-2 Static Gradient May 24, 1956.pdf",1,rapidocr,0,187.8,MTS. | 0 187.8 PRESION T.R. S/0 | 250 193.8 6-0 0.02/0 P
"Tecolutla-2 Static Gradient May 24, 1956.pdf",1,rapidocr,250,193.8, S/0 | 250 193.8 6-0 0.02/0 PRESION T.P. 187.8Kp/2 | 500 2
"Tecolutla-2 Static Gradient May 24, 1956.pdf",1,rapidocr,500,200.0,Kp/2 | 500 200.0 62 0.0218 NIVEL ACEITE 2210.0 | 750 206.2
"Tecolutla-2 Static Gradient May 24, 1956.pdf",1,rapidocr,750,206.2,10.0 | 750 206.2 62 0.0248 NIVEL AGUA | 1060 212.4 62 0.02
"Tecolutla-2 Static Gradient May 24, 1956.pdf",1,rapidocr,1060,212.4,AGUA | 1060 212.4 62 0.0248 HORAS CERRADO 2con5min | 1250 2
"Tecolutla-2 Static Gradient May 24, 1956.pdf",1,rapidocr,1250,218.6,5min | 1250 218.6 6-2 0.0248 TEMPERATURA MAXIMA 1O2P0 | 150
"Tecolutla-2 Static Gradient May 24, 1956.pdf",1,rapidocr,1500,225.4,O2P0 | 1500 225.4 6-8 0.0272 ELEVACION M.8.3.0 | 1750 232.2
"Tecolutla-2 Static Gradient May 24, 1956.pdf",1,rapidocr,1750,232.2,.3.0 | 1750 232.2 6-8 0.0272 FECHA ULTIMO REG. | 2000 239.0
"Tecolutla-2 Static Gradient May 24, 1956.pdf",1,rapidocr,2000,239.0,REG. | 2000 239.0 6.8 0-0272 PRESION ULTIMO REG | 2210 215.
"Tecolutla-2 Static Gradient May 24, 1956.pdf",1,rapidocr,2210,215.0, REG | 2210 215.0 6.0 0.0286 VARIACION PRES.FONDO | 2260 24
"Tecolutla-2 Static Gradient May 24, 1956.pdf",1,rapidocr,2260,248.5,ONDO | 2260 248.5 3.5 0.0700 PERDIDA DIB. | 2300 252.0 35 0
"Tecolutla-2 Static Gradient May 24, 1956.pdf",1,rapidocr,2300,252.0,"DIB. | 2300 252.0 35 0,0700 INSTRUMENTO AM8014 12778 | DIST"
"Tecolutla-6 Static Gradient Aug 12, 1971.pdf",1,tesseract,374,79.2,"m) | 0 374 79.2 PRESICIN T, P, T9062 kgicmi | 250 | 383 |"
"Tecolutla-6 Static Gradient Aug 12, 1971.pdf",1,tesseract,427,90.4," | 500 427 90.4 9.3 20372 NIVEL ACEITE 1000  ,, | 1000 | "
"Tecolutla-6 Static Gradient Aug 12, 1971.pdf",1,tesseract,2337,248.0,0 Ta | 2337 248.0 NIV.MED.PERF. 1.1005 GRADIENTE YACIMIEN
"Tecolutla-6 Static Gradient Aug 12, 1971.pdf",1,rapidocr,374,79.2,/m | 0 374 79.2 79.2 Kg/cm2 | PRESIONT.P | 250 383 81.1 1.9
"Tecolutla-6 Static Gradient Aug 12, 1971.pdf",1,rapidocr,383,81.1, | 250 383 81.1 1.9 0076 SIN CONBX | PRESIONT.R Kg/cm? | 50
"Tecolutla-6 Static Gradient Aug 12, 1971.pdf",1,rapidocr,427,90.4, | 500 427 90.4 9.3 0372 1000 | NIVELACEITE mi | 1000 615 1
"Tecolutla-6 Static Gradient Aug 12, 1971.pdf",1,rapidocr,615,130.2,1000 615 130.2 12.8 .0256 1786 | NIVEL AGUA m | 1500 798 1
"Tecolutla-6 Static Gradient Aug 12, 1971.pdf",1,rapidocr,798,168.9,1500 798 168.9 38.7 0774 10 DIAS | TIEMPOCERRADO | 1930 97
"Tecolutla-6 Static Gradient Aug 12, 1971.pdf",1,rapidocr,971,205.6,1930 971 205.6 36.7 0853 32C | TEMPERATURABOCAPOZO | 2130 
"Tecolutla-6 Static Gradient Aug 12, 1971.pdf",1,rapidocr,1067,225.9,2130 1067 225.9 20.3 .1015 66 | TEMPERATURA MAXIMA | 2330 1
