line,datetime,minutes,p_psi,t_degC,dp_psi,p_kpa
1,2018-05-10 20:00:05,0,15.3665,27.848,0.0,105.9482834405
2,2018-05-10 20:00:10,5,15.3647,27.8065,-0.0018,105.9358728779
3,2018-05-10 20:00:15,10,15.4767,27.8035,0.112,106.7080856619
4,2018-05-10 20:00:20,15,14.69,27.8336,-0.7868,101.28398033
5,2018-05-10 20:00:25,20,14.8867,27.8261,0.1967,102.6401790319
6,2018-05-10 20:00:30,25,15.0121,27.8246,0.1255,103.5047815597
7,2018-05-10 20:00:35,30,15.0675,27.8253,0.0553,103.88675109750001
8,2018-05-10 20:00:40,35,14.9409,27.8306,-0.1266,103.0138748613
9,2018-05-10 20:00:45,40,15.0785,27.8351,0.1376,103.9625934245
10,2018-05-10 20:00:50,45,14.8816,27.8434,-0.1969,102.6050157712
11,2018-05-10 20:00:55,50,15.0073,27.8412,0.1257,103.4716867261
12,2018-05-10 20:01:00,55,14.8549,27.8397,-0.1524,102.4209257593
13,2018-05-10 20:01:10,65,15.0902,27.8427,0.2353,104.0432620814
14,2018-05-10 20:01:20,75,15.1583,27.8472,0.0681,104.5127950331
15,2018-05-10 20:01:30,85,14.7124,27.8517,-0.4459,101.43842288680001
16,2018-05-10 20:01:40,95,14.8937,27.8495,0.1813,102.6884423309
17,2018-05-10 20:01:50,105,15.114,27.8563,0.2203,104.207357298
18,2018-05-10 20:02:00,115,15.0163,27.8578,-0.0977,103.5337395391
19,2018-05-10 20:02:10,125,14.9843,27.8721,-0.032,103.3131073151
20,2018-05-10 20:02:20,135,15.0787,27.8819,0.0944,103.9639723759
21,2018-05-10 20:02:30,145,15.035,27.8887,-0.0437,103.662671495
22,2018-05-10 20:02:40,155,14.7415,27.8948,-0.2936,101.6390603155
23,2018-05-10 20:02:50,165,14.8923,27.9016,0.1508,102.6787896711
24,2018-05-10 20:03:00,175,14.8226,27.9023,-0.0697,102.1982251082
25,2018-05-10 20:03:10,185,14.7243,27.9061,-0.0984,101.5204704951
26,2018-05-10 20:03:20,195,15.0708,27.9091,0.3465,103.9095037956
27,2018-05-10 20:03:30,205,14.9195,27.9038,-0.1513,102.8663270615
28,2018-05-10 20:03:40,215,14.8484,27.9091,-0.071,102.3761098388
29,2018-05-10 20:03:50,225,14.7102,27.9068,-0.1383,101.4232544214
30,2018-05-10 20:04:00,235,14.9192,27.9046,0.2091,102.8642586344
31,2018-05-10 20:04:10,245,14.8789,27.9,-0.0404,102.58639992730001
32,2018-05-10 20:04:20,255,14.9345,27.9,0.0556,102.9697484165
33,2018-05-10 20:04:30,265,14.8518,27.8978,-0.0827,102.39955201260001
34,2018-05-10 20:04:40,275,14.867,27.8933,0.0152,102.504352319
35,2018-05-10 20:04:50,285,14.9504,27.8933,0.0834,103.0793750528
36,2018-05-10 20:05:00,295,14.8829,27.8865,-0.0675,102.6139789553
37,2018-05-10 20:05:10,305,14.899,27.8789,0.0161,102.72498454299999
38,2018-05-10 20:05:20,315,14.9557,27.8751,0.0567,103.1159172649
39,2018-05-10 20:05:30,325,14.777,27.8683,-0.1786,101.883824189
40,2018-05-10 20:05:40,335,14.8886,27.8668,0.1116,102.6532790702
41,2018-05-10 20:05:50,345,14.7806,27.8563,-0.1081,101.9086453142
42,2018-05-10 20:06:00,355,14.8933,27.851,0.1127,102.6856844281
43,2018-05-10 20:06:10,365,14.8545,27.8412,-0.0388,102.4181678565
44,2018-05-10 20:06:20,375,14.7596,27.8329,-0.0948,101.7638554172
45,2018-05-10 20:06:30,385,14.9286,27.8253,0.1689,102.9290693502
46,2018-05-10 20:06:40,395,14.8745,27.8201,-0.054,102.5560629965
47,2018-05-10 20:06:50,405,14.7661,27.811,-0.1085,101.8086713377
48,2018-05-10 20:07:00,415,14.7522,27.811,-0.0139,101.71283421540001
49,2018-05-10 20:07:10,425,14.9222,27.7997,0.17,102.88494290540001
50,2018-05-10 20:07:20,435,14.8964,27.7929,-0.0258,102.7070581748
51,2018-05-10 20:07:30,445,14.8847,27.7853,-0.0117,102.62638951790001
52,2018-05-10 20:07:40,455,14.8591,27.7778,-0.0256,102.4498837387
53,2018-05-10 20:07:50,465,14.7383,27.7635,-0.1208,101.61699709310001
54,2018-05-10 20:08:00,475,14.7419,27.7514,0.0035,101.6418182183
55,2018-05-10 20:08:10,485,14.7571,27.7469,0.0152,101.7466185247
56,2018-05-10 20:08:20,495,14.8296,27.7363,0.0725,102.2464884072
57,2018-05-10 20:08:30,505,14.7068,27.7287,-0.1228,101.3998122476
58,2018-05-10 20:08:40,515,14.6839,27.7121,-0.0229,101.2419223123
59,2018-05-10 20:08:50,525,14.6985,27.7099,0.0146,101.3425857645
60,2018-05-10 20:09:00,535,14.7851,27.6986,0.0866,101.9396717207
61,2018-05-10 20:09:10,545,14.732,27.6903,-0.0531,101.573560124
62,2018-05-10 20:09:20,555,14.8054,27.6767,0.0734,102.0796352878
63,2018-05-10 20:09:30,565,14.6685,27.6699,-0.1369,101.1357430545
64,2018-05-10 20:09:40,575,14.6985,27.6623,0.03,101.3425857645
65,2018-05-10 20:09:50,585,14.7413,27.6586,0.0428,101.6376813641
66,2018-05-10 20:10:00,595,14.7439,27.6495,0.0027,101.6556077323
67,2018-05-10 20:10:10,605,14.7197,27.6374,-0.0242,101.4887546129
68,2018-05-10 20:10:20,615,14.79,27.6344,0.0703,101.97345603
69,2018-05-10 20:10:30,625,14.5568,27.6246,-0.2332,100.3655986976
70,2018-05-10 20:10:40,635,14.6979,27.6171,0.1411,101.3384489103
71,2018-05-10 20:10:50,645,14.6875,27.605,-0.0103,101.2667434375
72,2018-05-10 20:11:00,655,14.8705,27.5967,0.1829,102.5284839685
73,2018-05-10 20:11:10,665,14.6373,27.5869,-0.2332,100.9206266361
74,2018-05-10 20:11:20,675,14.666,27.5839,0.0287,101.118506162
75,2018-05-10 20:11:30,685,14.7665,27.5725,0.1005,101.8114292405
