md_m,tvd_m,p_psi,p_kgcm2,grad_kgcm2_m,t_degC,t_degF,whp_psi,whp_kgcm2,p_kpa
0.0,0.0,643.79,45.27,,31.09,87.96,643.79,45.27,4438.77560903
100.0,100.0,1206.66,84.86,0.3958,28.41,83.14,643.79,45.27,8319.62748162
200.0,200.0,1220.09,85.8,0.0094,29.84,85.71,643.79,45.27,8412.224068129999
400.0,400.0,1233.17,86.72,0.0046,33.17,91.71,643.79,45.27,8502.40748969
600.0,600.0,1259.67,88.58,0.0093,39.37,102.87,643.79,45.27,8685.11855019
800.0,800.0,1285.83,90.42,0.0092,45.4,113.71,643.79,45.27,8865.48539331
1000.0,1000.0,1429.91,100.56,0.0507,51.2,124.16,643.79,45.27,9858.881981870001
1200.0,1200.0,1650.82,116.09,0.0777,56.9,134.41,643.79,45.27,11382.00275074
1400.0,1400.0,1930.41,135.75,0.0983,62.75,144.95,643.79,45.27,13309.707860370001
1600.0,1600.0,2217.04,155.91,0.1008,69.12,156.42,643.79,45.27,15285.95205928
1800.0,1800.0,2503.95,176.09,0.1009,75.64,168.15,643.79,45.27,17264.12679015
2000.0,2000.0,2789.13,196.14,0.1003,82.65,180.76,643.79,45.27,19230.37359141
2100.0,2100.0,3072.9,216.1,0.1996,89.76,193.57,643.79,45.27,21186.8987853
2125.0,2125.0,3214.85,226.08,0.3993,93.42,200.16,643.79,45.27,22165.60954145
2150.0,2150.0,3250.16,228.56,0.0993,94.31,201.75,643.79,45.27,22409.06341112
2175.0,2175.0,3285.27,231.03,0.0988,95.43,203.77,643.79,45.27,22651.13832939
2200.0,2200.0,3319.47,233.44,0.0962,96.46,205.63,643.79,45.27,22886.93901879
2225.0,2225.0,3355.08,235.94,0.1002,97.37,207.27,643.79,45.27,23132.461315560002
