date,well,kind,shut_in_days,gauge_depth_mkb,gauge_depth_mss,p_gauge_kpa,p_gauge_source,ifr_datum_2300mkb_kpa,comment,source,quality_flag,p_2300mss_kpa,p_2300mss_oilgrad_kpa,p_2300mss_mpa,p_2300mss_psia,usable_static,np_recorded_bbl,np_with_allocations_bbl
1956-05-24,TEC-2,static gradient,0.11458333333333333,2310.0,2306.2,24712.758,"scan read: 252.0 kg/cm2 at 2310 m, 2 h 45 min shut-in, oil level 2210 m, water gradient 0.070 kg/cm2/m below 2260 m",24712.758,oil @ 2210m,geology/Tecolutla Pressure Summary.xlsx!all; scans in pressures/ folder,shut-in only 2.8 h,24647.658000000003,24658.818000000003,24.647658000000003,3574.8396267066,False,0.0,0.0
1964-12-02,TEC-6,flowing survey,,2337.0,2331.0,18988.616395,IFR summary transcription of PEMEX scan,18712.853397,"rates: 9m3/d oil, 1.1e3m3/d gas, 3% wcut",geology/Tecolutla Pressure Summary.xlsx!all; scans in pressures/ folder,"flowing, not static",18663.116395,18718.916395,18.663116395,2706.8554767630917,False,153255.811,582255.811
1964-12-05,TEC-2,static gradient,75.0,2335.0,2331.2,24683.33805,IFR summary transcription of PEMEX scan,24346.969955,oil @ 0m; wat @ 1165m,geology/Tecolutla Pressure Summary.xlsx!all; scans in pressures/ folder,,24355.73805,24411.89805,24.35573805,3532.500228574485,True,153255.811,582255.811
1964-12-08,TEC-2,static gradient,78.0,2335.0,2331.2,24712.758,IFR summary transcription of PEMEX scan,24376.389905,oil @ 0m; wat @ 1151m,geology/Tecolutla Pressure Summary.xlsx!all; scans in pressures/ folder,,24385.158000000003,24441.318000000003,24.385158000000004,3536.7672304566004,True,153255.811,582255.811
1964-12-08,TEC-7,static gradient,95.0,2310.0,2305.2,24712.758,IFR summary transcription of PEMEX scan,24630.38214,oil @ 0m; wat? @ 2045m,geology/Tecolutla Pressure Summary.xlsx!all; scans in pressures/ folder,,24658.158000000003,24667.518000000004,24.658158000000004,3576.3625225566,True,153255.811,582255.811
1971-08-06,TEC-6,static gradient,4.0,2337.0,2331.0,23565.379950000002,IFR summary transcription of PEMEX scan,23200.71966975,oil @ 471m; wat @ 1722m,geology/Tecolutla Pressure Summary.xlsx!all; scans in pressures/ folder,,23239.879950000002,23295.67995,23.239879950000002,3370.6587362241153,True,298713.3542567362,727713.3542567361
1971-08-09,TEC-6,static gradient,7.0,2337.0,2331.0,24320.492000000002,IFR summary transcription of PEMEX scan,23955.83171975,oil @ 1000m; wat @ 1786m,geology/Tecolutla Pressure Summary.xlsx!all; scans in pressures/ folder,,23994.992000000002,24050.792,23.994992000000003,3480.1784511984,True,298713.3542567362,727713.3542567361
1971-08-12,TEC-6,static gradient,10.0,2337.0,2331.0,24320.492000000002,IFR summary transcription of PEMEX scan,23955.83171975,oil @ 1000m; wat @ 1786m,geology/Tecolutla Pressure Summary.xlsx!all; scans in pressures/ folder,,23994.992000000002,24050.792,23.994992000000003,3480.1784511984,True,298713.3542567362,727713.3542567361
1971-08-17,TEC-6,static gradient,15.0,2337.0,2331.0,24379.3319,IFR summary transcription of PEMEX scan,24011.04315925,oil @ 368m; wat @ 1930m,geology/Tecolutla Pressure Summary.xlsx!all; scans in pressures/ folder,,24053.8319,24109.6319,24.053831900000002,3488.71245496263,True,298713.3542567362,727713.3542567361
1971-08-24,TEC-6,static gradient,22.0,2337.0,2331.0,24487.20505,IFR summary transcription of PEMEX scan,24120.730539499997,oil @ 342m; wat @ 1930m,geology/Tecolutla Pressure Summary.xlsx!all; scans in pressures/ folder,,24161.70505,24217.50505,24.161705050000002,3504.358128530385,True,298713.3542567362,727713.3542567361
