month,drive_id,precio_venta_usd_bbl,tarifa_pep,tarifa_pl,tarifa_tri,margen_comercial,constante_rendimiento,precio_compra_usd_bbl,volume_bbl,api,bsw_pct,sulphur_pct,ajuste_comercial_usd,note,cadusd,brent_usd_bbl,wti_usd_bbl,lls_usd_bbl,venta_over_wti,compra_over_wti,compra_over_brent,deductions_usd_bbl,revenue_usd,db_sales_bbl
2019-12,15BYJHdXu3Fv18TPAXu_tlsNC5_4P65GK,,,,,,,51.34,2378.84,,,,,"CFDI TNFA 00020, 15 Jan 2020, CR-2019-12_A24-TECOLUTLA, subtotal USD 122,129.65",0.7592,65.33,59.86,63.71,,0.8576678917474106,0.785856421245982,,122129.64560000002,2378.84
2020-01,1v-lxXBZyuhzbN5uwFNHKQtT1s1KSoSsV,60.0,0.59,2.2,0.0,1.8,0.916,50.37,2851.263,28.9,,1.42,,,0.7642,63.91,57.73,61.56,1.0393209769617184,0.8725099601593626,0.7881395712721014,4.59,143618.11731,2851.63
2020-02,1xLu28JIy44W1zjVZCowQFCvtsDKm4qwJ,50.42,0.59,2.2,0.0,1.51,0.916,41.88,2208.233,29.9,0.3,1.61,,,0.7527,55.9,50.62,54.21,0.9960489924930859,0.8273409719478468,0.7491949910554563,4.3,92480.79804000001,2208.0
2020-03,1pltGgJroZJcIPxIyKh6YZGqTE-Q68psz,34.28,0.59,2.2,0.0,1.03,0.916,27.58,1966.634,28.4,0.5,1.69,,,0.7173,34.19,30.45,31.44,1.1257799671592776,0.9057471264367816,0.8066686165545481,3.8200000000000003,54239.765719999996,1494.3768195932162
2020-04,18Z21TgwTtXEgu5ouyQq6ajrC4djcgeTR,0.0,0.59,2.2,0.0,0.0,0.916,0.0,0.0,,,,,no deliveries,0.7114,27.02,17.08,14.98,0.0,0.0,0.0,2.79,0.0,
2020-05,1ABr7dD8kpu3-MH9WNSB3fi101O8Oo5Yy,0.0,0.59,2.2,0.0,0.0,0.916,0.0,0.0,,,,,no deliveries,0.7159,32.03,28.14,32.35,0.0,0.0,0.0,2.79,0.0,
2020-06,1EYUDH0sTfQ-4asJHLG_ksUrBJHkHhJbK,0.0,0.59,2.2,0.0,0.0,0.916,0.0,0.0,,,,,no deliveries,0.738,40.72,38.31,39.69,0.0,0.0,0.0,2.79,0.0,
2020-07,1IYnJ3Es6EMrLpYDmFdVXfZDaXwXC4ATh,38.03,0.59,2.2,0.0,1.14,0.916,30.91,1333.017,28.1,0.16,1.73,,,0.7409,43.21,40.76,42.28,0.9330225711481845,0.7583415112855741,0.7153436704466558,3.9299999999999997,41203.55547,1333.0
2020-08,1PGoCxhZzNYbbBqcNIpUKnSXvUd4i26kg,40.44,0.59,2.2,0.0,1.21,0.913,32.94,2234.363,29.5,0.08,1.53,,,0.7563,44.88,42.39,43.95,0.953998584571833,0.7770700636942675,0.7339572192513368,4.0,73599.91721999999,2234.0
2020-09,1sr5fL_ILoL1aMKY_fUAZYHsSqXxrqnBn,39.16,0.59,2.2,0.0,1.17,0.913,31.8,2588.75,29.8,0.09,1.55,,,0.756,41.88,39.6,41.04,0.9888888888888888,0.803030303030303,0.7593123209169054,3.96,82322.25,2589.0
2020-10,1J0HeKkcy8ViwX3BLurpMcvK8EtuCGueH,38.92,0.59,2.2,0.0,1.17,0.907,31.34,2161.51,29.3,0.05,1.69,,,0.7568,41.56,39.55,40.75,0.9840707964601771,0.7924146649810367,0.7540904716073147,3.96,67741.7234,2162.0
2020-11,1nd-u_hQUytDystdeFtqLat6sdwxH82lb,38.66,0.59,2.2,0.0,1.16,0.907,31.11,1908.847,29.3,0.09,1.77,,,0.7652,43.73,41.55,42.83,0.930445246690734,0.7487364620938628,0.7114109307111823,3.95,59384.230169999995,1908.0
2020-12,14dVYty5UZVuDJOT7mlqgu4LQ8ppeEG6k,45.9,0.59,2.2,0.0,1.38,0.911,37.63,1788.039,29.7,1.57,1.55,,,0.7808,50.35,47.14,48.95,0.9736953754773016,0.7982605006364023,0.7473684210526316,4.17,67283.90757000001,1811.761648591
2021-01,1i44IMMql5OYi-FzlkU5oeOEWMuRQevu8,50.69,0.59,2.2,0.0,1.52,0.911,41.87,1982.23,30.4,0.19,1.61,0.0,,0.7859,55.05,51.94,54.1,0.9759337697343088,0.8061224489795918,0.7605812897366031,4.3100000000000005,82995.97009999999,2051.032415166
2021-02,1YZF625k-9x-5Ys3sXSI_Cnje-H_cD1-9,56.48,0.59,2.2,0.0,1.69,0.912,47.02,2247.902,29.1,1.61,1.52,,,0.7875,62.24,59.08,61.05,0.955991875423155,0.7958700067704808,0.7554627249357326,4.48,105696.35204000001,2335.23323734
2021-03,1NaK1vfyTHVAJnvKFCSuHZfXv4yc6RhXq,62.65,0.55,2.2,0.0,1.88,0.91,52.36,2148.077,28.8,0.23,1.6,,"two comprobantes: 1-18 Mar at PEP 0.59 (1,061.352 bbl, 52.32) and 19-31 Mar at PEP 0.51 (1,086.725 bbl, 52.40) after Comité de Precios acuerdo 2021-069; volume-weighted here",0.7953,65.92,62.36,64.57,1.004650416933932,0.8396407953816549,0.7942961165048543,4.63,112473.31172000001,2224.162420265
2021-04,1aiHFBQj5FNaTIXaJmAlhopHlMySCYtrl,60.16,0.51,2.2,0.0,1.8,0.907,50.04,1580.546,28.4,0.41,1.7,,,0.8003,65.18,61.59,63.63,0.9767819451209611,0.812469556746225,0.7677201595581465,4.51,79090.52184,1614.87103137
2021-05,1KI5LhiM1ZqCYKAI2DwywMQSN0S4GD14h,63.38,0.51,2.2,0.0,1.9,0.9095,53.03,1440.048,29.9,2.46,1.58,807.92,,0.8247,68.46,65.42,67.18,0.9688168755732192,0.8106083766432284,0.7746129126497225,4.609999999999999,76365.74544,1462.161377923
2021-06,1crhAiY-ERYLo7GfC5BKqsR955Q0R5K5X,67.27,0.51,2.2,0.0,2.02,0.911,56.57,1421.147,29.0,0.08,1.65,774.31,,0.8185,73.41,71.35,73.26,0.9428170988086896,0.7928521373510863,0.770603460019071,4.73,80394.28579,1456.615823325
2021-07,1gUJnVR7GlPkwxPvauYGo1hy6MpwDq8KT,69.59,0.51,2.2,0.0,2.09,0.912,58.65,1251.249,29.6,0.42,1.71,,,0.7982,74.29,72.43,73.11,0.9607897280132541,0.8097473422614938,0.7894736842105262,4.8,73385.75385,1268.400731376
2021-08,1hhlsGEgjmRZ3Iky15HgYL-82NZCFu2uk,66.32,0.51,2.2,0.0,1.99,0.907,55.45,729.377,29.2,0.3,1.73,,,0.7935,70.51,67.71,68.42,0.9794712745532418,0.818933687786147,0.7864132747128066,4.7,40443.95465,730.040495622
2021-09,1vQmB54SyIee5I0TZYsdZ2wRnJ_lR6yRf,67.52,0.51,2.2,0.0,2.03,0.9078,56.55,1469.716,29.6,0.23,1.7,284.33,,0.7892,74.88,71.54,73.19,0.9438076600503214,0.7904668716801788,0.7552083333333334,4.74,83112.4398,1469.731808692
