top_mmd,base_mmd,pct,desc,gas_units,calcimetry_pct
470,480,100,"Lutita arenosa gris claro, semidura, calcarea Gas: 0 units ChromatographyC 1 : 100 % -",,
480,490,100,"Lutita arenosa gris claro, semidura, calcarea",12.0,
490,500,100,"Lutita arenosa gris claro, semidura, calcarea",18.0,
500,510,100 TRZ,"Lutita arenosa gris claro, semidura, calcárea. Arenisca gris oscuro de grano fino a medio, subredondeado, bien clasificado, bien consolidado y cementado en material calcáreo y arcilloso.",22.0,
510,520,70 30,"Lutita arenosa gris claro, semidura, calcárea. Arenisca gris claro a gris oscuro de grano fino a medio, subredondeado, bien clasificado, bien consolidado y cementado en material calcáreo y arcilloso.",27.0,
520,530,60 40,"Lutita arenosa gris claro, semidura, calcárea. Arenisca gris claro a gris oscuro de grano fino a medio, subredondeado, bien clasificado, bien consolidado y cementado en material calcáreo y arcilloso.",19.0,
530,540,60 40,"Lutita arenosa gris claro, semidura, calcárea. Arenisca gris claro a gris oscuro de grano fino a medio, subredondeado, bien clasificado, bien consolidado y cementado en material calcáreo y arcilloso.",16.0,
540,550,70 30,"Lutita arenosa gris claro, semidura, calcárea. Arenisca gris claro a gris oscuro de grano fino a medio, subredondeado, bien clasificado, bien consolidado y cementado en material calcáreo y arcilloso.",16.0,
550,560,80 20,"Lutita arenosa gris claro, semidura, calcárea. Arenisca gris claro a gris oscuro de grano fino a medio, subredondeado, bien clasificado, bien consolidado y cementado en material calcáreo y arcilloso.",12.0,
560,570,80 20,"Lutita arenosa gris claro, semidura, calcárea. Arenisca gris claro a gris oscuao de grano fino a medio, subredondeado, bien clasificado, bien consolidado y cementado en material calcáreo y arcilloso.",17.0,
570,580,90 10,"Lutita arenosa gris claro, semidura, calcárea. Arenisca gris claro a gris oscuro de grano fino a medio, subredondeado, bien clasificado, bien consolidado y cementado en material calcáreo y arcilloso.",20.0,
580,590,90 10,"Lutita arenosa gris claro, semidura, calcárea. Arenisca gris claro a gris oscuro de grano fino a medio, subredondeado, bien clasificado, bien consolidado y cementado en material calcáreo y arcilloso.",13.0,
590,600,90 10,"Lutita arenosa gris claro, semidura, calcárea. Arenisca gris claro a gris oscuro de grano fino a medio, subredondeado, bien clasificado, bien consolidado y cementado en material calcáreo y arcilloso.",12.0,
600,610,90 10,"Lutita arenosa gris claro, semidura, calcárea. Arenisca gris claro a gris oscuro de grano fino a medio, subredondeado, bien clasificado, bien consolidado y cementado en material calcáreo y arcilloso.",12.0,
610,620,90 10,"Lutita arenosa gris claro, semidura, calcárea. Arenisca gris claro a gris oscuro de grano fino a medio, subredondeado, bien clasificado, bien consolidado y cementado en material calcáreo y arcilloso.",13.0,
620,630,90 10,"Lutita arenosa gris claro, semidura, calcárea. Arenisca gris claro a gris oscuro de grano fino a medio, subredondeado, bien clasificado, bien consolidado y cementado en material calcáreo y arcilloso.",13.0,
