mMD,mTVD,mSS,inclination_deg,north_m,east_m,vs_m,dominant,grainstone_pct,mudwack_pct,oil_show
40.5,40.49920743639922,35.799207436399215,0.05151663405088063,-0.056272015655577295,-0.22271037181996087,0.22970948927313986,gravel,0.0,0.0,none
41.5,41.49918786692759,36.79918786692759,0.05278864970645793,-0.05766144814090019,-0.22820939334637966,0.23538132851445195,gravel,0.0,0.0,none
42.5,42.49916829745597,37.799168297455964,0.05406066536203523,-0.05905088062622309,-0.23370841487279845,0.24105316775576405,gravel,0.0,0.0,none
43.5,43.49914872798434,38.79914872798434,0.05533268101761253,-0.06044031311154598,-0.23920743639921724,0.24672500699707614,gravel,0.0,0.0,none
44.5,44.499129158512716,39.79912915851271,0.056604696673189826,-0.06182974559686888,-0.244706457925636,0.2523968462383882,gravel,0.0,0.0,none
45.5,45.4991095890411,40.799109589041095,0.05787671232876713,-0.06321917808219177,-0.2502054794520548,0.2580686854797003,shale,0.0,0.0,none
46.5,46.49909001956947,41.79909001956947,0.05914872798434443,-0.06460861056751467,-0.2557045009784736,0.26374052472101245,shale,0.0,0.0,none
47.5,47.49907045009785,42.799070450097844,0.060420743639921726,-0.06599804305283756,-0.26120352250489237,0.26941236396232454,shale,0.0,0.0,none
48.5,48.49905088062622,43.79905088062622,0.06169275929549903,-0.06738747553816046,-0.26670254403131116,0.27508420320363663,shale,0.0,0.0,none
49.5,49.499031311154596,44.79903131115459,0.06296477495107633,-0.06877690802348337,-0.27220156555772995,0.28075604244494873,shale,0.0,0.0,none
50.5,50.49901174168297,45.79901174168297,0.06423679060665363,-0.07016634050880625,-0.27770058708414874,0.2864278816862608,shale,0.0,0.0,none
51.5,51.49899217221135,46.79899217221135,0.06550880626223092,-0.07155577299412916,-0.28319960861056753,0.2920997209275729,shale,0.0,0.0,none
52.5,52.49897260273973,47.798972602739724,0.06678082191780822,-0.07294520547945205,-0.2886986301369863,0.297771560168885,shale,0.0,0.0,none
53.5,53.4989530332681,48.7989530332681,0.06805283757338552,-0.07433463796477495,-0.2941976516634051,0.3034433994101971,shale,0.0,0.0,none
54.5,54.498933463796476,49.79893346379647,0.06932485322896283,-0.07572407045009784,-0.2996966731898239,0.3091152386515092,shale,0.0,0.0,none
55.5,55.49891389432485,50.79891389432485,0.07059686888454013,-0.07711350293542074,-0.3051956947162427,0.3147870778928213,shale,0.0,0.0,none
56.5,56.498894324853225,51.79889432485322,0.07186888454011742,-0.07850293542074363,-0.31069471624266143,0.3204589171341334,shale,0.0,0.0,none
57.5,57.4988747553816,52.7988747553816,0.07314090019569472,-0.07989236790606653,-0.3161937377690802,0.3261307563754455,shale,0.0,0.0,none
58.5,58.49885518590998,53.79885518590998,0.07441291585127202,-0.08128180039138942,-0.321692759295499,0.33180259561675757,shale,0.0,0.0,none
59.5,59.498835616438356,54.79883561643835,0.07568493150684932,-0.08267123287671233,-0.3271917808219178,0.33747443485806966,shale,0.0,0.0,none
60.5,60.49881604696673,55.79881604696673,0.07695694716242663,-0.08406066536203521,-0.3326908023483366,0.34314627409938175,shale,0.0,0.0,none
61.5,61.498796477495105,56.7987964774951,0.07822896281800391,-0.08545009784735812,-0.3381898238747554,0.34881811334069385,shale,0.0,0.0,none
62.5,62.49877690802348,57.79877690802348,0.07950097847358122,-0.086839530332681,-0.34368884540117417,0.35448995258200594,shale,0.0,0.0,none
63.5,63.498757338551854,58.79875733855185,0.08077299412915852,-0.08822896281800391,-0.34918786692759296,0.36016179182331803,shale,0.0,0.0,none
64.5,64.49873776908024,59.79873776908023,0.08204500978473582,-0.0896183953033268,-0.35468688845401175,0.3658336310646301,shale,0.0,0.0,none
65.5,65.4987181996086,60.7987181996086,0.08331702544031312,-0.0910078277886497,-0.36018590998043054,0.3715054703059422,shale,0.0,0.0,none
66.5,66.49869863013699,61.79869863013698,0.08458904109589042,-0.09239726027397259,-0.36568493150684933,0.3771773095472543,shale,0.0,0.0,none
67.5,67.49867906066537,62.798679060665364,0.08586105675146771,-0.09378669275929549,-0.3711839530332681,0.38284914878856646,shale,0.0,0.0,none
68.5,68.49865949119373,63.79865949119373,0.08713307240704501,-0.09517612524461838,-0.3766829745596869,0.38852098802987856,shale,0.0,0.0,none
69.5,69.49863992172212,64.79863992172211,0.08840508806262232,-0.09656555772994128,-0.3821819960861057,0.39419282727119065,shale,0.0,0.0,none
70.5,70.49862035225048,65.79862035225048,0.08967710371819962,-0.09795499021526417,-0.3876810176125245,0.39986466651250274,shale,0.0,0.0,none
71.5,71.49860078277887,66.79860078277886,0.09094911937377692,-0.09934442270058708,-0.3931800391389433,0.40553650575381484,shale,0.0,0.0,none
72.5,72.49858121330723,67.79858121330723,0.09222113502935421,-0.10073385518590997,-0.398679060665362,0.4112083449951269,shale,0.0,0.0,none
73.5,73.49856164383561,68.79856164383561,0.09349315068493151,-0.10212328767123287,-0.4041780821917808,0.41688018423643897,shale,0.0,0.0,none
74.5,74.498542074364,69.798542074364,0.09476516634050881,-0.10351272015655576,-0.4096771037181996,0.42255202347775106,shale,0.0,0.0,none
75.5,75.49852250489236,70.79852250489236,0.09603718199608612,-0.10490215264187866,-0.4151761252446184,0.42822386271906315,shale,0.0,0.0,none
76.5,76.49850293542075,71.79850293542074,0.09730919765166342,-0.10629158512720155,-0.4206751467710372,0.43389570196037525,shale,0.0,0.0,none
77.5,77.49848336594911,72.79848336594911,0.0985812133072407,-0.10768101761252445,-0.42617416829745597,0.4395675412016874,shale,0.0,0.0,none
78.5,78.4984637964775,73.79846379647749,0.09985322896281801,-0.10907045009784734,-0.43167318982387476,0.4452393804429995,shale,0.0,0.0,none
79.5,79.49844422700586,74.79844422700586,0.10112524461839531,-0.11045988258317024,-0.43717221135029355,0.4509112196843116,shale,0.0,0.0,none
80.5,80.49842465753424,75.79842465753424,0.10239726027397261,-0.11184931506849315,-0.44267123287671234,0.4565830589256237,shale,0.0,0.0,none
81.5,81.49840508806263,76.79840508806262,0.10366927592954991,-0.11323874755381604,-0.44817025440313113,0.46225489816693577,shale,0.0,0.0,none
82.5,82.498385518591,77.79838551859099,0.10494129158512722,-0.11462818003913894,-0.4536692759295499,0.46792673740824786,shale,0.0,0.0,none
83.5,83.49836594911937,78.79836594911937,0.1062133072407045,-0.11601761252446183,-0.4591682974559687,0.47359857664955995,shale,0.0,0.0,none
84.5,84.49834637964774,79.79834637964774,0.1074853228962818,-0.11740704500978473,-0.4646673189823875,0.47927041589087205,shale,0.0,0.0,none
85.5,85.49832681017612,80.79832681017612,0.10875733855185911,-0.11879647749510762,-0.4701663405088063,0.48494225513218414,shale,0.0,0.0,none
86.5,86.4983072407045,81.7983072407045,0.11002935420743641,-0.12018590998043052,-0.4756653620352251,0.49061409437349623,shale,0.0,0.0,none
87.5,87.49828767123287,82.79828767123287,0.11130136986301371,-0.12157534246575341,-0.48116438356164387,0.4962859336148084,shale,0.0,0.0,none
88.5,88.49826810176125,83.79826810176125,0.112573385518591,-0.12296477495107631,-0.4866634050880626,0.5019577728561204,shale,0.0,0.0,none
89.5,89.49824853228962,84.79824853228962,0.1138454011741683,-0.1243542074363992,-0.4921624266144814,0.5076296120974325,shale,0.0,0.0,none
90.5,90.498228962818,85.798228962818,0.1151174168297456,-0.1257436399217221,-0.4976614481409002,0.5133014513387446,shale,0.0,0.0,none
91.5,91.49820939334637,86.79820939334637,0.11638943248532291,-0.127133072407045,-0.503160469667319,0.5189732905800567,shale,0.0,0.0,none
92.5,92.49818982387475,87.79818982387475,0.11766144814090021,-0.12852250489236788,-0.5086594911937378,0.5246451298213688,shale,0.0,0.0,none
93.5,93.49817025440314,88.79817025440313,0.1189334637964775,-0.1299119373776908,-0.5141585127201566,0.5303169690626809,shale,0.0,0.0,none
94.5,94.4981506849315,89.7981506849315,0.1202054794520548,-0.1313013698630137,-0.5196575342465753,0.535988808303993,shale,0.0,0.0,none
95.5,95.49813111545988,90.79813111545988,0.1214774951076321,-0.13269080234833658,-0.5251565557729941,0.5416606475453051,shale,0.0,0.0,none
96.5,96.49811154598825,91.79811154598825,0.1227495107632094,-0.13408023483365947,-0.5306555772994129,0.5473324867866172,shale,0.0,0.0,none
97.5,97.49809197651663,92.79809197651663,0.1240215264187867,-0.13546966731898238,-0.5361545988258317,0.5530043260279293,shale,0.0,0.0,none
98.5,98.498072407045,93.798072407045,0.125293542074364,-0.13685909980430527,-0.5416536203522505,0.5586761652692414,shale,0.0,0.0,none
99.5,99.49805283757338,94.79805283757338,0.1265655577299413,-0.13824853228962816,-0.5471526418786693,0.5643480045105534,shale,0.0,0.0,none
100.5,100.49803326810176,95.79803326810176,0.1278375733855186,-0.13963796477495105,-0.5526516634050881,0.5700198437518655,shale,0.0,0.0,none
101.5,101.49801369863013,96.79801369863013,0.1291095890410959,-0.14102739726027397,-0.5581506849315069,0.5756916829931776,shale,0.0,0.0,none
102.5,102.49799412915851,97.79799412915851,0.1303816046966732,-0.14241682974559686,-0.5636497064579257,0.5813635222344897,shale,0.0,0.0,none
103.5,103.49797455968688,98.79797455968688,0.1316536203522505,-0.14380626223091975,-0.5691487279843445,0.5870353614758019,shale,0.0,0.0,none
104.5,104.49795499021526,99.79795499021526,0.1329256360078278,-0.14519569471624263,-0.5746477495107633,0.592707200717114,shale,0.0,0.0,none
105.5,105.49793542074363,100.79793542074363,0.1341976516634051,-0.14658512720156555,-0.580146771037182,0.5983790399584261,shale,0.0,0.0,none
106.5,106.49791585127201,101.79791585127201,0.1354696673189824,-0.14797455968688844,-0.5856457925636008,0.6040508791997382,shale,0.0,0.0,none
107.5,107.4978962818004,102.79789628180039,0.1367416829745597,-0.14936399217221133,-0.5911448140900196,0.6097227184410503,shale,0.0,0.0,none
108.5,108.49787671232876,103.79787671232876,0.138013698630137,-0.15075342465753422,-0.5966438356164384,0.6153945576823624,shale,0.0,0.0,none
109.5,109.49785714285714,104.79785714285714,0.1392857142857143,-0.15214285714285714,-0.6021428571428572,0.6210663969236745,shale,0.0,0.0,none
110.5,110.49783757338551,105.79783757338551,0.1405577299412916,-0.15353228962818002,-0.607641878669276,0.6267382361649866,shale,0.0,0.0,none
111.5,111.49781800391389,106.79781800391389,0.1418297455968689,-0.1549217221135029,-0.6131409001956948,0.6324100754062987,shale,0.0,0.0,none
112.5,112.49779843444227,107.79779843444227,0.1431017612524462,-0.15631115459882583,-0.6186399217221135,0.6380819146476107,shale,0.0,0.0,none
113.5,113.49777886497064,108.79777886497064,0.1443737769080235,-0.15770058708414872,-0.6241389432485323,0.6437537538889228,shale,0.0,0.0,none
114.5,114.49775929549902,109.79775929549902,0.1456457925636008,-0.1590900195694716,-0.629637964774951,0.6494255931302348,shale,0.0,0.0,none
115.5,115.49773972602739,110.79773972602739,0.1469178082191781,-0.1604794520547945,-0.6351369863013698,0.6550974323715469,shale,0.0,0.0,none
116.5,116.49772015655577,111.79772015655577,0.1481898238747554,-0.1618688845401174,-0.6406360078277886,0.660769271612859,shale,0.0,0.0,none
117.5,117.49770058708414,112.79770058708414,0.14946183953033268,-0.1632583170254403,-0.6461350293542074,0.6664411108541711,shale,0.0,0.0,none
118.5,118.49768101761252,113.79768101761252,0.15073385518590998,-0.1646477495107632,-0.6516340508806262,0.6721129500954832,shale,0.0,0.0,none
119.5,119.4976614481409,114.7976614481409,0.15200587084148728,-0.16603718199608608,-0.657133072407045,0.6777847893367953,shale,0.0,0.0,none
120.5,120.49764187866927,115.79764187866927,0.15327788649706459,-0.167426614481409,-0.6626320939334638,0.6834566285781074,shale,0.0,0.0,none
121.5,121.49762230919765,116.79762230919765,0.1545499021526419,-0.1688160469667319,-0.6681311154598826,0.6891284678194195,shale,0.0,0.0,none
122.5,122.49760273972602,117.79760273972602,0.1558219178082192,-0.17020547945205478,-0.6736301369863014,0.6948003070607316,shale,0.0,0.0,none
123.5,123.4975831702544,118.7975831702544,0.1570939334637965,-0.17159491193737766,-0.6791291585127202,0.7004721463020438,shale,0.0,0.0,none
124.5,124.49756360078277,119.79756360078277,0.1583659491193738,-0.17298434442270058,-0.684628180039139,0.7061439855433559,shale,0.0,0.0,none
125.5,125.49754403131115,120.79754403131115,0.1596379647749511,-0.17437377690802347,-0.6901272015655577,0.711815824784668,shale,0.0,0.0,none
126.5,126.49752446183953,121.79752446183953,0.1609099804305284,-0.17576320939334636,-0.6956262230919765,0.7174876640259801,shale,0.0,0.0,none
127.5,127.4975048923679,122.7975048923679,0.1621819960861057,-0.17715264187866925,-0.7011252446183953,0.7231595032672922,shale,0.0,0.0,none
128.5,128.49748532289627,123.79748532289626,0.16345401174168298,-0.17854207436399216,-0.7066242661448141,0.7288313425086043,shale,0.0,0.0,none
129.5,129.49746575342465,124.79746575342465,0.16472602739726028,-0.17993150684931505,-0.7121232876712329,0.7345031817499164,shale,0.0,0.0,none
130.5,130.49744618395303,125.79744618395303,0.16599804305283758,-0.18132093933463794,-0.7176223091976517,0.7401750209912284,shale,0.0,0.0,none
131.5,131.4974266144814,126.79742661448141,0.16727005870841488,-0.18271037181996083,-0.7231213307240705,0.7458468602325405,shale,0.0,0.0,none
132.5,132.4974070450098,127.79740704500979,0.16854207436399218,-0.18409980430528375,-0.7286203522504893,0.7515186994738526,shale,0.0,0.0,none
133.5,133.49738747553815,128.79738747553816,0.16981409001956949,-0.18548923679060664,-0.7341193737769081,0.7571905387151647,shale,0.0,0.0,none
134.5,134.49736790606653,129.79736790606654,0.1710861056751468,-0.18687866927592953,-0.7396183953033268,0.7628623779564768,shale,0.0,0.0,none
135.5,135.4973483365949,130.79734833659492,0.1723581213307241,-0.18826810176125242,-0.7451174168297456,0.7685342171977889,shale,0.0,0.0,none
136.5,136.4973287671233,131.7973287671233,0.1736301369863014,-0.18965753424657533,-0.7506164383561644,0.774206056439101,shale,0.0,0.0,none
137.5,137.49730919765165,132.79730919765166,0.1749021526418787,-0.19104696673189822,-0.7561154598825832,0.7798778956804131,shale,0.0,0.0,none
