top_mMD,base_mMD,thickness_m,pct_raw,components,dominant,dominant_pct,grainstone_pct,mudwack_pct,oil_show,fluorescence,vuggy,cement_contaminated,description_es,description_en
40,45,5,100,gravel,gravel,100.0,0.0,0.0,none,False,False,False,GRAVILLA CONSTITUIDA POR FRAGMENTOS SUBANGULARES DE TAMAÑO MEDIO A GRUESO CONSTITUIDA POR OXIDO DE SILICE Y ARENISCA DE COLOR GRIS Y CAFÉ CLARO,"GRAVLE COMPOSED OF SILICE, SUBANGULAR FRAGS, V PRLY SORTED SUBANGULAR FRAGS, SDST LIGHT GRAY,LIGHT BROWN."
45,50,5,90 10,shale,shale,100.0,0.0,0.0,none,False,False,False,"LUTITA GRIS VERDOSO A GRIS CLARO, PLASTICA, LIGERAMENTE CALCAREA CON TRAZAS DE GRAVILLA COMPUESTA POR FRAGMENTOS DE ARENISCA.","SHALE GREENISH GRAY TO LIGHT GRAY, PLASTIC, SLIGHTLY CALCAREOUS. TRACES OF GRAVEL COMPOSED MAINLY OF SDST FRAGMENTS."
50,65,15,100,shale,shale,100.0,0.0,0.0,none,False,False,False,"LUTITA GRIS VERDOSO A GRIS CLARO, PLASTICA, LIGERAMENTE CALCAREA CON ESPORADICOS FRAGMENTOS DE ARENISCA","SHALE GREENISH GRAY TO LIGHT GRAY, PLASTIC, SLIGHTLY CALCAREOUS OCC FRAGMENTS OF SDST."
65,225,160,100,shale,shale,100.0,0.0,0.0,none,False,False,False,"LUTITA GRIS VERDOSO A GRIS CLARO, PLASTICA, LIGERAMENTE CALCAREA EN PARTES ARENOSA","SHALE GREENISH GRAY TO LIGHT GRAY, PLASTIC, SLIGHTLY CALCAREOUS, IN PART SANDLY."
225,240,15,100,shale,shale,100.0,0.0,0.0,none,False,False,False,"LUTITA GRIS VERDOSO A GRIS CLARO, PLASTICA, LIGERAMENTE CALCAREA EN PARTES ARENOSA, TRAZAS DE ARENISCA GRIS CLARO MUY FINA","SHALE GREENISH GRAY TO GRAY, PLASTIC, SLIGHTLY CALCAREOUS, IN PART SANDLY, TRACE OF SDST LIGHT GRAY, VF GRAIN."
240,255,15,100,shale,shale,100.0,0.0,0.0,none,False,False,False,"LUTITA GRIS VERDOSO A GRIS CLARO, PLASTICA, LIGERAMENTE CALCAREA EN PARTES ARENOSA","SHALE GREENISH GRAY TO LIGHT GRAY, PLASTIC, SLIGHTLY CALCAREOUS, IN PART SANDLY."
255,265,10,100,shale,shale,100.0,0.0,0.0,none,False,False,False,"LUTITA GRIS VERDOSO A GRIS CLARO, PLASTICA, LIGERAMENTE CALCAREA EN PARTES ARENOSA, TRAZAS DE ARENISCA GRIS CLARO MUY FINA","SHALE GREENISH GRAY TO GRAY, PLASTIC, SLIGHTLY CALCAREOUS, IN PART SANDLY, TRACE OF SDST LIGHT GRAY, VF GRAIN."
265,280,15,100,shale,shale,100.0,0.0,0.0,none,False,False,False,"LUTITA GRIS VERDOSO A GRIS CLARO, PLASTICA, LIGERAMENTE CALCAREA EN PARTES ARENOSA","SHALE GREENISH GRAY TO LIGHT GRAY, PLASTIC, SLIGHTLY CALCAREOUS, IN PART SANDLY."
280,285,5,100,shale,shale,100.0,0.0,0.0,none,False,False,False,"LUTITA GRIS CLARO, SUAVE, PLASTICA, LIGERAMENTE CALCAREA EN PARTES ARENOSA, TRAZAS DE ARENISCA GRIS CLARO MUY FINA","SHALE LIGHT GRAY, SOFT, PLASTIC, SLIGHTLY CALCAREOUS, IN PART SANDLY, TRACE OF SDST LIGHT GRAY, VF GRAIN."
285,295,10,100,shale,shale,100.0,0.0,0.0,none,False,False,False,"LUTITA GRIS CLARO, SUAVE, PLASTICA, LIGERAMENTE CALCAREA EN PARTES ARENOSA","SHALE LIGHT GRAY, SOFT,PLASTIC, SLIGHTLY CALCAREOUS, IN PART SANDLY."
