date,oil_bbl,basis,cum_oil_bbl_records_only
1960-01-01,3490.9410000000003,CNH field-level monthly,3490.9410000000003
1960-02-01,3019.19,CNH field-level monthly,6510.131
1960-03-01,3031.769,CNH field-level monthly,9541.9
1960-04-01,2132.31,CNH field-level monthly,11674.21
1960-05-01,3579.0119999999997,CNH field-level monthly,15253.221999999998
1960-06-01,3195.33,CNH field-level monthly,18448.551999999996
1960-07-01,3340.002,CNH field-level monthly,21788.553999999996
1960-08-01,3295.951,CNH field-level monthly,25084.504999999997
1960-09-01,3031.77,CNH field-level monthly,28116.274999999998
1960-10-01,3214.2039999999997,CNH field-level monthly,31330.479
1960-11-01,3201.6,CNH field-level monthly,34532.079
1960-12-01,3264.5170000000003,CNH field-level monthly,37796.596
1961-01-01,3277.103,CNH field-level monthly,41073.699
1961-02-01,2629.228,CNH field-level monthly,43702.927
1961-03-01,3157.567,CNH field-level monthly,46860.494000000006
1961-04-01,2905.98,CNH field-level monthly,49766.47400000001
1961-05-01,3031.769,CNH field-level monthly,52798.24300000001
1961-06-01,3019.2,CNH field-level monthly,55817.44300000001
1961-07-01,3126.1330000000003,CNH field-level monthly,58943.57600000001
1961-08-01,3075.82,CNH field-level monthly,62019.39600000001
1961-09-01,2817.93,CNH field-level monthly,64837.32600000001
1961-10-01,3088.375,CNH field-level monthly,67925.701
1961-11-01,2685.8399999999997,CNH field-level monthly,70611.541
1961-12-01,1415.243,CNH field-level monthly,72026.784
1962-01-01,2063.112,CNH field-level monthly,74089.896
1962-02-01,2629.228,CNH field-level monthly,76719.124
1962-03-01,3302.2439999999997,CNH field-level monthly,80021.368
1962-04-01,3245.64,CNH field-level monthly,83267.008
1962-05-01,2968.87,CNH field-level monthly,86235.878
1962-06-01,3094.68,CNH field-level monthly,89330.55799999999
1962-07-01,3295.951,CNH field-level monthly,92626.50899999999
1962-08-01,3012.9210000000003,CNH field-level monthly,95639.43
1962-09-01,2534.8799999999997,CNH field-level monthly,98174.31
1962-10-01,2893.385,CNH field-level monthly,101067.69499999999
1962-11-01,2723.58,CNH field-level monthly,103791.275
1962-12-01,1195.112,CNH field-level monthly,104986.38699999999
1963-01-01,,no record,104986.38699999999
1963-02-01,,no record,104986.38699999999
1963-03-01,37.727000000000004,CNH field-level monthly,105024.11399999999
1963-04-01,,no record,105024.11399999999
1963-05-01,,no record,105024.11399999999
1963-06-01,1905.8700000000001,CNH field-level monthly,106929.98399999998
1963-07-01,2547.456,CNH field-level monthly,109477.43999999999
1963-08-01,1578.799,CNH field-level monthly,111056.23899999999
1963-09-01,2371.3199999999997,CNH field-level monthly,113427.55899999998
1963-10-01,3038.0620000000004,CNH field-level monthly,116465.62099999998
1963-11-01,2459.4,CNH field-level monthly,118925.02099999998
1963-12-01,2220.375,CNH field-level monthly,121145.39599999998
1964-01-01,2220.375,CNH field-level monthly,123365.77099999998
1964-02-01,2434.2309999999998,CNH field-level monthly,125800.00199999998
1964-03-01,2786.466,CNH field-level monthly,128586.46799999998
1964-04-01,2566.3199999999997,CNH field-level monthly,131152.78799999997
1964-05-01,2503.4049999999997,CNH field-level monthly,133656.19299999997
1964-06-01,2654.37,CNH field-level monthly,136310.56299999997
1964-07-01,3063.234,CNH field-level monthly,139373.79699999996
1964-08-01,3069.527,CNH field-level monthly,142443.32399999996
1964-09-01,3000.33,CNH field-level monthly,145443.65399999995
1964-10-01,2975.163,CNH field-level monthly,148418.81699999995
1964-11-01,2899.6800000000003,CNH field-level monthly,151318.49699999994
1964-12-01,1937.314,CNH field-level monthly,153255.81099999996
1965-01-01,3283.365,CNH field-level monthly,156539.17599999995
1965-02-01,2314.7320000000004,CNH field-level monthly,158853.90799999994
1965-03-01,1522.193,CNH field-level monthly,160376.10099999994
1965-04-01,220.14000000000001,CNH field-level monthly,160596.24099999995
1965-05-01,912.0509999999999,CNH field-level monthly,161508.29199999996
1965-06-01,2792.7599999999998,CNH field-level monthly,164301.05199999997
1965-07-01,2817.931,CNH field-level monthly,167118.98299999998
1965-08-01,3069.527,CNH field-level monthly,170188.50999999998
1965-09-01,2773.8900000000003,CNH field-level monthly,172962.4
1965-10-01,3094.668,CNH field-level monthly,176057.068
1965-11-01,3100.98,CNH field-level monthly,179158.048
1965-12-01,2641.789,CNH field-level monthly,181799.837
1966-01-01,2570.077318876161,sum of CNH monthly well records,184369.91431887617
1966-02-01,2930.0881495358562,sum of CNH monthly well records,187300.002468412
1966-03-01,3080.0926623107293,sum of CNH monthly well records,190380.09513072274
1966-04-01,2880.0866452775654,sum of CNH monthly well records,193260.1817760003
1966-05-01,2960.089052090831,sum of CNH monthly well records,196220.27082809113
1966-06-01,2710.0815307993757,sum of CNH monthly well records,198930.3523588905
1966-07-01,2860.086043574249,sum of CNH monthly well records,201790.43840246473
1966-08-01,3150.094768272337,sum of CNH monthly well records,204940.53317073706
1966-09-01,1990.0598694799846,sum of CNH monthly well records,206930.59304021706
1966-10-01,,no record,206930.59304021706
1966-11-01,,no record,206930.59304021706
1966-12-01,,no record,206930.59304021706
1967-01-01,,no record,206930.59304021706
1967-02-01,1660.0499413752634,sum of CNH monthly well records,208590.64298159233
1967-03-01,2510.0755137662113,sum of CNH monthly well records,211100.71849535854
1967-04-01,2400.0722043979713,sum of CNH monthly well records,213500.7906997565
1967-05-01,2640.0794248377683,sum of CNH monthly well records,216140.87012459428
1967-06-01,2550.0767171728444,sum of CNH monthly well records,218690.94684176712
1967-07-01,2780.0836367609836,sum of CNH monthly well records,221471.0304785281
1967-08-01,2890.0869461292236,sum of CNH monthly well records,224361.1174246573
1967-09-01,2080.0625771449086,sum of CNH monthly well records,226441.18000180222
1967-10-01,370.0111315113539,sum of CNH monthly well records,226811.19113331358
1967-11-01,2850.085742722591,sum of CNH monthly well records,229661.27687603617
1967-12-01,2660.0800265410844,sum of CNH monthly well records,232321.35690257724
1968-01-01,2300.069195881389,sum of CNH monthly well records,234621.42609845864
1968-02-01,1680.0505430785797,sum of CNH monthly well records,236301.4766415372
1968-03-01,1750.0526490401871,sum of CNH monthly well records,238051.5292905774
1968-04-01,1740.0523481885293,sum of CNH monthly well records,239791.58163876593
1968-05-01,1620.0487379686303,sum of CNH monthly well records,241411.63037673457
1968-06-01,1790.05385244682,sum of CNH monthly well records,243201.68422918138
1968-07-01,1880.0565601117441,sum of CNH monthly well records,245081.74078929314
1968-08-01,1790.0538524468202,sum of CNH monthly well records,246871.79464173995
1968-09-01,1500.045127748732,sum of CNH monthly well records,248371.8397694887
1968-10-01,1690.0508439302382,sum of CNH monthly well records,250061.89061341895
1968-11-01,1810.0544541501367,sum of CNH monthly well records,251871.9450675691
1968-12-01,1880.0565601117441,sum of CNH monthly well records,253752.00162768085
1969-01-01,1210.0364030506437,sum of CNH monthly well records,254962.0380307315
1969-02-01,910.0273775008973,sum of CNH monthly well records,255872.0654082324
1969-03-01,1230.0370047539602,sum of CNH monthly well records,257102.10241298634
