well,date,oil_bbl,gas_mcf,gor,days_on,flag
TEC-2,1972-10-01,5540.16667181865,8414.722498261082,1518.8572829522498,31.0,GOR > 1500 scf/bbl
TEC-2,1973-02-01,2020.060772034959,3604.8751514030173,1784.537970989633,28.0,GOR > 1500 scf/bbl
TEC-2,1973-03-01,1940.0583652216935,3273.507797652879,1687.3243899952517,31.0,GOR > 1500 scf/bbl
TEC-2,1973-04-01,2380.0716026946548,3956.3253750774065,1662.2715764509599,30.0,GOR > 1500 scf/bbl
TEC-2,1973-05-01,2230.0670899197817,3404.04645216051,1526.432306699328,31.0,GOR > 1500 scf/bbl
TEC-2,1976-07-01,1210.0364030506437,180.74582931825714,149.37222455669573,31.0,GOR < 150 scf/bbl
TEC-2,1987-09-01,2350.07070013968,4890.178826555069,2080.864557080948,30.0,GOR > 1500 scf/bbl
TEC-2,1988-04-01,10.000300851658212,0.0,0.0,1.0,GOR < 150 scf/bbl
TEC-2,1993-03-01,530.0159451378853,1345.5522849248032,2538.70151882837,28.0,GOR > 1500 scf/bbl
TEC-2,1993-04-01,570.0171485445181,1064.3921059852921,1867.2983939222024,30.0,GOR > 1500 scf/bbl
TEC-2,1993-05-01,580.0174493961764,1104.5578458337936,1904.3527862544254,31.0,GOR > 1500 scf/bbl
TEC-2,1993-06-01,570.0171485445181,1064.3921059852921,1867.2983939222024,30.0,GOR > 1500 scf/bbl
TEC-2,1993-07-01,580.0174493961764,1104.5578458337936,1904.3527862544254,31.0,GOR > 1500 scf/bbl
TEC-2,1993-08-01,580.0174493961764,1104.5578458337936,1904.3527862544254,31.0,GOR > 1500 scf/bbl
TEC-2,1993-09-01,570.0171485445181,1064.3921059852921,1867.2983939222024,30.0,GOR > 1500 scf/bbl
TEC-2,1993-10-01,580.0174493961764,1104.5578458337936,1904.3527862544254,31.0,GOR > 1500 scf/bbl
TEC-2,1993-11-01,570.0171485445181,1064.3921059852921,1867.2983939222024,30.0,GOR > 1500 scf/bbl
TEC-2,1993-12-01,580.0174493961764,1104.5578458337936,1904.3527862544254,31.0,GOR > 1500 scf/bbl
TEC-2,1994-01-01,580.0174493961764,1104.5578458337936,1904.3527862544254,31.0,GOR > 1500 scf/bbl
TEC-2,1994-02-01,530.0159451378853,994.1020612504143,1875.6078385373776,28.0,GOR > 1500 scf/bbl
TEC-2,1994-03-01,580.0174493961764,1104.5578458337936,1904.3527862544254,31.0,GOR > 1500 scf/bbl
TEC-2,1994-04-01,570.0171485445181,1064.3921059852921,1867.2983939222024,30.0,GOR > 1500 scf/bbl
TEC-2,1994-05-01,580.0174493961764,1104.5578458337936,1904.3527862544254,31.0,GOR > 1500 scf/bbl
TEC-2,1994-06-01,570.0171485445181,1064.3921059852921,1867.2983939222024,30.0,GOR > 1500 scf/bbl
TEC-2,1994-07-01,580.0174493961764,1104.5578458337936,1904.3527862544254,31.0,GOR > 1500 scf/bbl
TEC-2,1994-08-01,580.0174493961764,1104.5578458337936,1904.3527862544254,31.0,GOR > 1500 scf/bbl
TEC-2,1994-09-01,570.0171485445181,1064.3921059852921,1867.2983939222024,30.0,GOR > 1500 scf/bbl
TEC-2,1994-10-01,580.0174493961764,1104.5578458337936,1904.3527862544254,31.0,GOR > 1500 scf/bbl
TEC-2,1998-05-01,460.0138391762778,702.9004473487778,1527.9984806705468,31.0,GOR > 1500 scf/bbl
TEC-2,1998-07-01,460.0138391762778,702.9004473487778,1527.9984806705468,31.0,GOR > 1500 scf/bbl
TEC-2,1998-08-01,460.0138391762778,702.9004473487778,1527.9984806705468,31.0,GOR > 1500 scf/bbl
TEC-2,1998-10-01,430.01293662130314,702.9004473487778,1634.6030258336084,31.0,GOR > 1500 scf/bbl
TEC-2,1998-11-01,360.01083065969567,672.7761424624016,1868.7663958042167,30.0,GOR > 1500 scf/bbl
TEC-2,1998-12-01,370.0111315113539,702.9004473487778,1899.673786779599,31.0,GOR > 1500 scf/bbl
TEC-2,1999-01-01,130.0039110715568,251.03587405313493,1930.9870909572844,11.0,GOR > 1500 scf/bbl
TEC-2,2008-08-01,640.0192545061255,1094.5164108716683,1710.1304424290454,31.0,GOR > 1500 scf/bbl
TEC-2,2008-09-01,520.0156442862271,903.7291465912857,1737.888381861556,30.0,GOR > 1500 scf/bbl
TEC-2,2008-10-01,480.0144408795942,913.7705815534111,1903.6314405020566,31.0,GOR > 1500 scf/bbl
