well,interval_mss,interval_mmd,start,end,oil_bbl,zone,comment,test_info,source_file,source_sheet,monthly_records_bbl,not_in_monthly_bbl
TEC-2,2303-2307mSS,2307-2311mD,2019-06-01,2020-03-01,7812.0,3,TONALLI,currently producing,appraisal_plan/Tecolutla Production Summary (by well by perf interval).xlsx,By Zone (last updated 2020-03-01),0.0,7812.0
TEC-2,2303-2307mSS,2307-2311mD,1972-01-01,2016-01-01,320333.51503539464,3,,peak montly reported rate of 269 bbl/d (Mar-72),appraisal_plan/Tecolutla Production Summary (by well by perf interval).xlsx,By Zone (last updated 2020-03-01),320333.51503539435,0.0
TEC-2,2331-2335mSS,2335-2339mD,1956-06-01,1972-01-01,40885.0,2,,"initial test 453bbl/d oil, 541scf/bbl GOR upto 9.4% wcut",appraisal_plan/Tecolutla Production Summary (by well by perf interval).xlsx,By Zone (last updated 2020-03-01),2730.0821325026923,38155.0
TEC-2,2341-2345mSS,2345-2349mD,1956-06-01,1956-06-01,0.0,1,,"initial test 353bbl/d oil (0.881 SG), 431scf/bbl GOR, 9.6% wcut @ 580psi Ptbg;",appraisal_plan/Tecolutla Production Summary (by well by perf interval).xlsx,By Zone (last updated 2020-03-01),0.0,0.0
TEC-6,2308-2310mSS,2314-2316mD,1976-03-01,2006-12-01,305499.1907173067,3,,peak montly reported rate of 293 bbl/d (Aug-77),appraisal_plan/Tecolutla Production Summary (by well by perf interval).xlsx,By Zone (last updated 2020-03-01),305499.1907173068,-0.0
TEC-6,2318-2321mSS,2324-2327mD,1972-02-01,1976-01-01,84292.53587862708,2,," initial test oil 264bbl/d oil, 532scf/bbl GOR, 2% wcut",appraisal_plan/Tecolutla Production Summary (by well by perf interval).xlsx,By Zone (last updated 2020-03-01),84292.53587862708,0.0
TEC-6,2330-2332mSS,2336-2338mD,1956-10-01,1972-02-01,509993.0,1,"missing 1956-10 to 1965-12 data derived from wellfile summary; 117,394 bbl accounted for in CNH monthly data","initial test oil 579bbl/d oil, 576scf/bbl GOR, 3.4% wcut
*cited elsewhere as oil 484bbl/d oil (0.880 SG), 543scf/bbl GOR, 3.4% wcut (ph 8 sal 5200ppm)",appraisal_plan/Tecolutla Production Summary (by well by perf interval).xlsx,By Zone (last updated 2020-03-01),122003.6703902302,387989.0
TEC-7,2305-2308mSS,2310-2313mD,1971-10-01,2006-12-01,266988.0321375709,2,,"initial test oil 478bbl/d oil, 437scf/bbl GOR, 0.2% wcut",appraisal_plan/Tecolutla Production Summary (by well by perf interval).xlsx,By Zone (last updated 2020-03-01),266988.032137571,-0.0
TEC-7,2330-2332mSS,2335-2337mD,1968-06-01,1968-06-01,40.00120340663285,1,missing 1957-3 to 1968-5 data,,appraisal_plan/Tecolutla Production Summary (by well by perf interval).xlsx,By Zone (last updated 2020-03-01),40.00120340663285,0.0
TEC-7,2330-2332mSS,2335-2337mD,1957-01-01,1957-03-01,,1,no data,"initial test oil 352bbl/d oil, 521scf/bbl GOR, 7.5% wcut",appraisal_plan/Tecolutla Production Summary (by well by perf interval).xlsx,By Zone (last updated 2020-03-01),0.0,
TEC-9,2314-2319mSS,2328-2333mD,1973-05-01,2012-07-01,352600.6077286167,1,,"initial test 189bbl/d oil, 765scf/bbl GOR, 0.6% wcut",appraisal_plan/Tecolutla Production Summary (by well by perf interval).xlsx,By Zone (last updated 2020-03-01),352600.6077286169,-0.0
TEC-10,2311.5-2315mSS,2349.5-2353mD,2018-07-01,2020-03-01,47811.0,3,TONALLI,"peak initial daily test 232bbl/d oil, 762scf/bbl GOR, 25.3% wcut @ 772psi Ptbg (2018-10-20\)",appraisal_plan/Tecolutla Production Summary (by well by perf interval).xlsx,By Zone (last updated 2020-03-01),0.0,47811.0
