field,play,area_km2,ooip_mmbbl,prod_mmbbl,rf_current,rf_3p_eur,ooip_per_km2,api,max_wells
Aguacate,Reef Interior,21.3,30.862409,5.874023,0.19032937448272427,0.29883830520164517,1.4455908447563646,15.0,28.0
Chiconcoa,Reef Interior,1.5,0.62709,0.115516,0.18420960308727613,0.20651900046245353,0.41898539908477855,17.0,1.0
Copal,Reef Interior,4.1,11.000231,4.102894,0.3729825310032126,0.37945003154933754,2.709127573340085,22.0,13.0
Frijolillo,Reef Interior,3.1,0.449577,0.043341,0.09640395304919958,0.09640395304919958,0.14436105725480325,25.5,1.0
Muro,Reef Interior,5.1,73.899524,23.046723,0.3118656488233943,0.31901066101589504,14.445415427607577,17.0,8.0
Solís Tierra Amarilla,Reef Interior,31.3,83.341233,13.506238,0.16205949340826287,0.17297099504155403,2.661622784073729,18.0,31.0
Sur Amatlán,Reef Interior,1.9,451.532132,135.62222,0.30036006385476904,0.3054818853954784,238.32420235689293,19.0,32.0
Tamiahua,Reef Interior,41.4,7.631623,0.245018,0.03210562156961894,0.03210562156961894,0.18451213447227818,26.0,2.0
Temapache,Reef Interior,45.0,18.345501,3.867587,0.21081937200842868,0.22815037866777255,0.4076370634694573,18.0,16.0
Vara Alta,Reef Interior,17.6,1.606592,0.200535,0.12482011612157909,0.44938602955822016,0.0913358327162193,13.0,4.0
Acuatempa,Reef Rim,6.6,101.725835,30.168553,0.2965672682853869,0.3176347286802807,15.374097190096034,20.0,9.0
Álamo San Isidro,Reef Rim,7.0,211.114874,72.852775,0.34508594122079717,0.34800495392854225,30.012613223527033,26.5,20.0
Alazán,Reef Rim,15.7,66.315077,19.712042,0.29724827130940373,0.2985342232204601,4.236298832765758,16.0,12.0
Arrecife Medio,Reef Rim,1.8,2.356834,0.015372,0.006522309165600972,0.006522309165600972,1.3272068409182418,20.0,
Atún,Reef Rim,18.3,309.446181,41.032163,0.132598705427229,0.1438642378979626,16.905053774795686,40.0,2.0
Bagre,Reef Rim,34.5,216.696181,73.870202,0.3408929574074958,0.37466171588875397,6.272301681782205,36.0,11.0
Caristay,Reef Rim,2.1,0.439511,0.19885,0.4524346375858625,0.4524346375858625,0.21233071940388493,17.0,1.0
Cerro Viejo,Reef Rim,12.9,89.227118,26.484172,0.2968175213279891,0.3059964348506695,6.895511428077717,22.0,5.0
Chichimantla,Reef Rim,5.7,14.616134,5.965731,0.40816066683570357,0.43572944801956515,2.5651012193069485,20.0,5.0
Escualo,Reef Rim,2.0,5.182392,1.8915,0.3649858984036715,0.3649858984036715,2.594257223523758,36.0,
Ezequiel Ordóñez,Reef Rim,5.2,175.017519,65.745218,0.37564935427978496,0.37703023889854137,33.76662555268022,21.0,11.0
Gutiérrez Zamora,Reef Rim,2.3,2.622279,1.036907,0.3954220737000144,0.5298543747633262,1.1498853306555226,18.0,1.0
Horcón,Reef Rim,5.7,11.348631,3.966691,0.3495303530443452,0.35327106855443624,1.9932549599834337,21.0,5.0
Ignacio Allende,Reef Rim,2.2,0.288475,0.077931,0.27014819308432275,0.27014819308432275,0.13259341176557107,20.0,
Isla de Lobos,Reef Rim,2.2,57.682704,22.487859,0.3898544527316195,0.3898544527316195,25.654293468157345,41.0,
Juan Felipe,Reef Rim,5.4,48.416235,14.464766,0.2987585878992862,0.33913998062839873,8.985252795304591,18.0,24.0
Marsopa,Reef Rim,4.8,68.64341,19.122305,0.2785745201178088,0.334980430022343,14.361062783012276,35.1,2.0
Mesa Cerrada,Reef Rim,2.9,37.824772,13.65179,0.36092193761273694,0.3790214254298743,12.840150450468801,23.0,6.0
Miguel Hidalgo,Reef Rim,5.7,38.085296,8.5317,0.2240155885883098,0.2384802785831046,6.720812032251177,30.0,4.0
Morsa,Reef Rim,4.0,33.190291,11.508799,0.34675197635356675,0.34675197635356675,8.258312731275517,35.0,
Ocotepec,Reef Rim,2.8,81.619035,20.18852,0.2473506333418424,0.26457547556155253,29.137365632567118,20.0,12.0
Potrero del Llano Horcones,Reef Rim,7.6,401.127147,119.666396,0.2983253486954849,0.30150025473095193,52.530389150373544,19.0,12.0
San Diego Chiconcillo,Reef Rim,46.7,44.556955,0.815543,0.018303382715448128,0.06363767452241742,0.9546329601068988,11.0,7.0
Santa Águeda,Reef Rim,11.0,386.451516,124.537826,0.32225989766850854,0.331196938557229,35.04660477315744,16.0,32.0
Sur Chinampa Norte de Amatlán,Reef Rim,22.7,718.753578,214.756776,0.2987905487685795,0.30399543555385267,31.59884886241413,27.5,16.0
Tecolutla,Reef Rim,3.1,7.818298,1.912948,0.24467575935325053,0.27226181452791903,2.509856380564218,28.0,4.0
Tepetate Norte Chinampa,Reef Rim,8.8,560.649364,167.556447,0.29886138781029636,0.3011644582905475,63.806350323834806,23.0,6.0
Tiburón,Reef Rim,2.5,62.537064,0.0,0.0,0.0,32.463985813600004,33.0,
Tierra Blanca-Chapopote-Núñez,Reef Rim,29.2,352.509223,105.334264,0.2988127887933304,0.3104182837224659,12.060777990494303,18.0,18.0
Tihuatlán,Reef Rim,2.6,3.793874,0.807103,0.21273848314414237,0.22204480169873853,1.451485526555913,19.0,1.0
Tintorera,Reef Rim,4.5,0.750527,0.072389,0.09645089383859606,0.09645089383859606,0.5430463624076384,33.0,
Toteco Cerro Azul,Reef Rim,36.5,1256.860147,377.381699,0.30025751067115347,0.303393154688037,34.46031410794994,19.0,28.0
Vicente Guerrero,Reef Rim,1.6,13.58964,4.964988,0.3653509585242876,0.3657230802287625,8.347808780358356,27.0,1.0
Xocotla,Reef Rim,5.1,4.327139,1.744557,0.40316638776799174,0.4077312977466173,0.848586081752671,16.0,1.0
