date,hora,choke_in,whp_psig,wht_degF,p_choke_psig,t_choke_degF,p_abs_psia,dp_inH2O,t_gas_degF,orifice_in,gas_sg,gas_mmscfd,gor_scf_bbl,liq_bbl_h,liq_cum_bbl,bsw_pct,oil_sg,oil_bbl_h,oil_bopd,oil_cum_bbl,t_oil_degF,api,wat_bbl_h,wat_bwpd,wat_cum_bbl,ph,salinity_ppm,hour
2018-06-30,0:00,M/C,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0
2018-06-30,1:00,M/C,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1
2018-06-30,2:00,M/C,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2
2018-06-30,3:00,M/C,0.0,,,,,,,,,,,,,,,,,,,,,,,,,3
2018-06-30,4:00,M/C,0.0,,,,,,,,,,,,,,,,,,,,,,,,,4
2018-06-30,5:00,M/C,0.0,,,,,,,,,,,,,,,,,,,,,,,,,5
2018-06-30,6:00,M/C,0.0,,,,,,,,,,,,,,,,,,,,,,,,,6
2018-06-30,7:00,M/C,0.0,,,,,,,,,,,,,,,,,,,,,,,,,7
2018-06-30,8:00,M/C,0.0,,,,,,,,,,,,,,,,,,,,,,,,,8
2018-06-30,9:00,M/C,0.0,,,,,,,,,,,,,,,,,,,,,,,,,9
2018-06-30,10:00,M/C,0.0,,,,,,,,,,,,,,,,,,,,,,,,,10
2018-06-30,11:00,M/C,0.0,,,,,,,,,,,,,,,,,,,,,,,,,11
2018-06-30,12:00,M/C,0.0,,,,,,,,,,,,,,,,,,,,,,,,,12
2018-06-30,13:00,M/C,0.0,,,,,,,,,,,,,,,,,,,,,,,,,13
2018-06-30,14:00,M/C,0.0,,,,,,,,,,,,,,,,,,,,,,,,,14
2018-06-30,15:00,M/C,0.0,,,,,,,,,,,,,,,,,,,,,,,,,15
2018-06-30,16:00,M/C,0.0,,,,,,,,,,,,,,,,,,,,,,,,,16
2018-06-30,17:00,M/C,0.0,,,,,,,,,,,,,,,,,,,,,,,,,17
2018-06-30,18:00,M/C,0.0,,,,,,,,,,,,,,,,,,,,,,,,,18
2018-06-30,19:00,M/C,0.0,,,,,,,,,,,,,,,,,,,,,,,,,19
2018-06-30,20:00,M/C,0.0,,,,,,,,,,,,,,,,,,,,,,,,,20
2018-06-30,21:00,M/C,0.0,,,,,,,,,,,,,,,,,,,,,,,,,21
2018-06-30,22:00,M/C,0.0,,,,,,,,,,,,,,,,,,,,,,,,,22
2018-06-30,23:00,M/C,0.0,,,,,,,,,,,,,,,,,,,,,,,,,23
2018-07-01,0:00,M/F,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0
2018-07-01,1:00,M/F,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1
2018-07-01,2:00,M/F,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2
2018-07-01,3:00,M/F,0.0,,,,,,,,,,,,,,,,,,,,,,,,,3
2018-07-01,4:00,M/F,0.0,,,,,,,,,,,,,,,,,,,,,,,,,4
2018-07-01,5:00,M/F,0.0,,,,,,,,,,,,,,,,,,,,,,,,,5
2018-07-01,6:00,M/F,0.0,,,,,,,,,,,,,,,,,,,,,,,,,6
2018-07-01,7:00,M/F,0.0,,,,,,,,,,,,,,,,,,,,,,,,,7
2018-07-01,8:00,M/F,0.0,,,,,,,,,,,,,,,,,,,,,,,,,8
2018-07-01,9:00,M/F,0.0,,,,,,,,,,,,,,,,,,,,,,,,,9
2018-07-01,10:00,M/F,0.0,,,,,,,,,,,,,,,,,,,,,,,,,10
2018-07-01,11:00,M/F,0.0,,,,,,,,,,,,,,,,,,,,,,,,,11
2018-07-01,12:00,M/F,0.0,,,,,,,,,,,,,,,,,,,,,,,,,12
2018-07-01,13:00,M/F,0.0,,,,,,,,,,,,,,,,,,,,,,,,,13
2018-07-01,14:00,M/F,0.0,,,,,,,,,,,,,,,,,,,,,,,,,14
2018-07-01,15:00,M/F,0.0,,,,,,,,,,,,,,,,,,,,,,,,,15
2018-07-01,16:00,M/F,0.0,,,,,,,,,,,,,,,,,,,,,,,,,16
2018-07-01,17:00,M/F,0.0,,,,,,,,,,,,,,,,,,,,,,,,,17
2018-07-01,18:00,M/F,0.0,,,,,,,,,,,,,,,,,,,,,,,,,18
2018-07-01,19:00,M/F,0.0,,,,,,,,,,,,,,,,,,,,,,,,,19
2018-07-01,20:00,M/F,0.0,,,,,,,,,,,,,,,,,,,,,,,,,20
2018-07-01,21:00,M/F,0.0,,,,,,,,,,,,,,,,,,,,,,,,,21
2018-07-01,22:00,M/F,0.0,,,,,,,,,,,,,,,,,,,,,,,,,22
2018-07-01,23:00,M/F,0.0,,,,,,,,,,,,,,,,,,,,,,,,,23
2018-07-02,0:00,"""8/64""""""",0.0,,,,,,,,,,,,,,,,,,,,,,,,,0
2018-07-02,19:00,"""8/64""""""",0.0,,,,,,,,,,,,,,,,,,,,,,,,,19
2018-07-02,20:00,"""8/64""""""",0.0,,,,,,,,,,,,,,,,,,,,,,,,,20
2018-07-02,21:00,"""8/64""""""",0.0,,,,,,,,,,,,,,,,,,,,,,,,,21
2018-07-02,22:00,"""8/64""""""",0.0,,,,,,,,,,,,,,,,,,,,,,,,,22
2018-07-02,23:00,"""8/64""""""",0.0,,,,,,,,,,,,,,,,,,,,,,,,,23
2018-07-03,0:00,"""8/64""""""",500.0,,,,,,,,,,,12.0,12.0,,,0.0,0.0,0.0,,,12.0,288.0,12.0,4.0,,0
2018-07-03,23:00,M/C,3500.0,,,,,,,,,,,,,,,,,,,,,,,,,23
2018-07-04,1:00,"""8/64""""""",30.0,,,,,,,,,,,0.0,12.0,100.0,,0.0,0.0,0.0,,,0.0,0.0,12.0,6.0,,1
2018-07-04,2:00,"""8/64""""""",60.0,,,,,,,,,,,4.0,16.0,100.0,,0.0,0.0,0.0,,,4.0,96.0,16.0,6.0,,2
2018-07-04,3:00,"""8/64""""""",60.0,,,,,,,,,,,2.0,18.0,100.0,,0.0,0.0,0.0,,,2.0,48.0,18.0,6.0,,3
2018-07-04,4:00,"""8/64""""""",40.0,,,,,,,,,,,1.0,19.0,100.0,,0.0,0.0,0.0,,,1.0,24.0,19.0,6.0,,4
2018-07-04,5:00,"""8/64""""""",30.0,,,,,,,,,,,2.0,21.0,100.0,,0.0,0.0,0.0,,,2.0,48.0,21.0,6.0,,5
2018-07-04,6:00,"""8/64""""""",30.0,,,,,,,,,,,1.0,22.0,100.0,,0.0,0.0,0.0,,,1.0,24.0,22.0,6.0,,6
2018-07-04,7:00,"""8/64""""""",30.0,,,,,,,,,,,1.0,23.0,100.0,,0.0,0.0,0.0,,,1.0,24.0,23.0,6.0,,7
2018-07-04,8:00,"""8/64""""""",40.0,,,,,,,,,,,1.0,24.0,100.0,,0.0,0.0,0.0,,,1.0,24.0,24.0,6.0,,8
2018-07-04,9:00,"""8/64""""""",40.0,,,,,,,,,,,1.0,25.0,100.0,,0.0,0.0,0.0,,,1.0,24.0,25.0,6.0,,9
2018-07-04,10:00,"""8/64""""""",50.0,,,,,,,,,,,1.0,26.0,100.0,,0.0,0.0,0.0,,,1.0,24.0,26.0,6.0,,10
2018-07-04,11:00,"""8/64""""""",50.0,,,,,,,,,,,1.0,27.0,100.0,,0.0,0.0,0.0,,,1.0,24.0,27.0,6.0,,11
2018-07-11,1:00,"""8/64""""""",1900.0,,,,,,,,,,,,,,,,,,,,,,,,,1
2018-07-11,2:00,"""8/64""""""",500.0,,,,,,,,,,,10.0,10.0,,,0.0,0.0,0.0,,,10.0,240.0,10.0,6.0,,2
2018-07-11,3:00,"""8/64""""""",0.0,,,,,,,,,,,4.0,14.0,,,0.0,0.0,0.0,,,4.0,96.0,14.0,6.0,,3
2018-07-11,4:00,"""8/64""""""",0.0,,,,,,,,,,,0.0,14.0,,,0.0,0.0,0.0,,,0.0,0.0,14.0,0.0,,4
2018-07-11,5:00,"""8/64""""""",0.0,,,,,,,,,,,0.0,14.0,,,0.0,0.0,0.0,,,0.0,0.0,14.0,0.0,,5
2018-07-11,6:00,"""8/64""""""",0.0,,,,,,,,,,,0.0,14.0,,,0.0,0.0,0.0,,,0.0,0.0,14.0,0.0,,6
2018-07-11,7:00,"""8/64""""""",0.0,,,,,,,,,,,0.0,14.0,,,0.0,0.0,0.0,,,0.0,0.0,14.0,0.0,,7
2018-07-11,8:00,"""8/64""""""",0.0,,,,,,,,,,,0.0,14.0,,,0.0,0.0,0.0,,,0.0,0.0,14.0,0.0,,8
2018-07-11,9:00,"""8/64""""""",0.0,,,,,,,,,,,0.0,14.0,,,0.0,0.0,0.0,,,0.0,0.0,14.0,0.0,,9
2018-07-11,10:00,"""8/64""""""",0.0,,,,,,,,,,,0.0,14.0,,,0.0,0.0,0.0,,,0.0,0.0,14.0,0.0,,10
2018-07-11,11:00,"""8/64""""""",0.0,,,,,,,,,,,0.0,14.0,,,0.0,0.0,0.0,,,0.0,0.0,14.0,0.0,,11
2018-07-20,0:00,"""12/64""""""",170.0,,,,,,,,,,,17.0,486.8,100.0,,0.0,0.0,0.0,,,17.0,408.0,486.8,7.0,19000.0,0
2018-07-20,12:00,"""18/64""""""",50.0,,,,,,,,,,,24.0,249.8,100.0,,0.0,0.0,0.0,,,24.0,576.0,249.8,7.0,20000.0,12
2018-07-20,13:00,"""18/64""""""",70.0,,,,,,,,,,,22.0,271.8,100.0,,0.0,0.0,0.0,,,22.0,528.0,271.8,7.0,20000.0,13
2018-07-20,14:00,"""18/64""""""",70.0,,,,,,,,,,,25.0,296.8,100.0,,0.0,0.0,0.0,,,25.0,600.0,296.8,7.0,20000.0,14
2018-07-20,15:00,"""18/64""""""",70.0,,,,,,,,,,,24.0,320.8,100.0,,0.0,0.0,0.0,,,24.0,576.0,320.8,7.0,20000.0,15
2018-07-20,16:00,"""18/64""""""",80.0,,,,,,,,,,,23.0,343.8,100.0,,0.0,0.0,0.0,,,23.0,552.0,343.8,7.0,20000.0,16
2018-07-20,17:00,"""18/64""""""",90.0,,,,,,,,,,,24.0,367.8,100.0,,0.0,0.0,0.0,,,24.0,576.0,367.8,7.0,20000.0,17
2018-07-20,18:00,"""14/64""""""",140.0,,,,,,,,,,,19.0,386.8,100.0,,0.0,0.0,0.0,,,19.0,456.0,386.8,7.0,20000.0,18
2018-07-20,19:00,"""12/64""""""",140.0,,,,,,,,,,,17.0,403.8,100.0,,0.0,0.0,0.0,,,17.0,408.0,403.8,7.0,19000.0,19
2018-07-20,20:00,"""12/64""""""",140.0,,,,,,,,,,,16.0,419.8,100.0,,0.0,0.0,0.0,,,16.0,384.0,419.8,7.0,19000.0,20
2018-07-20,21:00,"""12/64""""""",150.0,,,,,,,,,,,16.0,435.8,100.0,,0.0,0.0,0.0,,,16.0,384.0,435.8,7.0,19000.0,21
2018-07-20,22:00,"""12/64""""""",160.0,,,,,,,,,,,17.0,452.8,100.0,,0.0,0.0,0.0,,,17.0,408.0,452.8,7.0,19000.0,22
2018-07-20,23:00,"""12/64""""""",170.0,,,,,,,,,,,17.0,469.8,100.0,,0.0,0.0,0.0,,,17.0,408.0,469.8,7.0,19000.0,23
2018-07-21,1:00,"""12/64""""""",170.0,,,,,,,,,,,16.0,502.8,100.0,,0.0,0.0,0.0,,,16.0,384.0,502.8,7.0,19000.0,1
2018-07-21,2:00,"""12/64""""""",170.0,,,,,,,,,,,14.0,516.8,100.0,,0.0,0.0,0.0,,,14.0,336.0,516.8,7.0,19000.0,2
2018-07-21,3:00,"""12/64""""""",170.0,,,,,,,,,,,17.0,533.8,100.0,,0.0,0.0,0.0,,,17.0,408.0,533.8,7.0,19000.0,3
2018-07-21,4:00,"""12/64""""""",170.0,,,,,,,,,,,16.0,549.8,100.0,,0.0,0.0,0.0,,,16.0,384.0,549.8,7.0,19000.0,4
2018-07-21,5:00,"""12/64""""""",170.0,,,,,,,,,,,13.0,562.8,100.0,,0.0,0.0,0.0,,,13.0,312.0,562.8,7.0,19000.0,5
2018-07-21,6:00,"""12/64""""""",180.0,,,,,,,,,,,15.0,577.8,100.0,,0.0,0.0,0.0,,,15.0,360.0,577.8,7.0,19000.0,6
2018-07-21,7:00,"""12/64""""""",180.0,,,,,,,,,,,13.0,590.8,100.0,,0.0,0.0,0.0,,,13.0,312.0,590.8,7.0,19000.0,7
