id,kind,local_dir,name,priority,size_bytes_observed,modified_time_observed,notes
1RjSZUq4t8TQQWcoJJT_22gbVyufKuGH4,file,tec12_drill,2023-09-29 Tec-12 Economics.xlsm,highest,4017136,2025-08-18T17:53:20Z,Never parsed. Drive modifiedTime is Aug 2025 - later than the date in the filename; confirm nothing changed after Sept 2023.
1FY4O-cKf7cINcYyidWWQmVOeh4xOyfrR,file,tec12_drill,Tecolutla Work Program - Tec-12 Drill.pdf,high,14487956,2023-09-29T15:38:20Z,"Re-extract figures and tables. A byte-identical-size copy (14,487,956 B) dated 2021-02-18 sits in the YE2020 reserves folder (1lICyY42pTUT5X-lDgkDERvcCQjwKDmu9): the Sept 2023 date is a copy timestamp - see G-08."
1h9rLxnpQemUlPl_yZGnUoUXDRjcCazIl,file,tec12_drill,Petrel Robertson Tec-12 Assessment.pdf,high,159613,2023-09-29T15:37:26Z,
1b3DRPagxiPj9T_iJK31sQySMXa1R6YeN,file,tec12_drill,Tec 12 Seismic images.pptx,high,5173134,2023-09-29T15:38:32Z,Unopened.
1a3MvVcryjl3TnZ-Js45WO9mR8L9UofjL,file,tec12_drill,TEC-12 Build&Hold Well Design.pdf,medium,243995,2023-09-29T15:37:47Z,
1Uz55PMIH68jU9xtmowolvBaQQ_Fy7s6I,file,tec12_drill,TEC-12 S-Shape Deviation Plan.pdf,high,418799,2023-09-29T15:37:55Z,Full survey listing.
1OZOfd3wCVZq708P5wE9mFBcYsjF7lvD6,file,tec12_drill,TEC-12 Rough Drilling & Completion Cost Estimate (2).xlsx,high,43103,2023-09-29T15:36:56Z,AFE - $5k discrepancy and currency label (task 8).
16RMFRj4lk_n_m4FD--Z2gnrFRD4r9pb9,file,tec12_drill,Simmons Scenarios - Tec 12 and Tec 13.xlsx,high,73185,2023-09-29T15:38:10Z,
11GIzxACj0ZFeS8VETnHkcm4B0kFo6TV-,file,tec12_drill,Tecolutla Type Curve.xlsx,medium,146818,2021-03-03T19:17:15Z,A second file of the same name (different ID and date) sits in Appraisal Plan - see 1EGvc6_3ASOq3d5HsS7KEipxvSpjL_MsA.
1WnmrcP4TC7kiRVEJwsiaYXDeVf8hNyxQ,file,tec12_drill,Tec-12 Time vs Depth.pdf,medium,130100,2023-09-29T15:37:13Z,Unopened.
